crime_id,source_city,occurrence_timestamp,latitude,longitude,source_offense_code,source_offense_category,source_offense_description,lat_below_by,lat_above_by,lon_below_by,lon_above_by,max_bound_excess_degrees
marin_county_sheriff_ca:SO170001485,marin_county_sheriff_ca,2017-05-13T23:50:00.000000,45.101666,-75.233739,,ALL OTHER - NON-CRIMINAL,ACHP,0.0,6.671666000000002,0.0,47.006260999999995,47.006260999999995
marin_county_sheriff_ca:SO140000798,marin_county_sheriff_ca,2014-02-10T19:41:00.000000,41.125445,-76.304398,,DISORDERLY CONDUCT,INCORRIG,0.0,2.6954449999999994,0.0,45.93560199999999,45.93560199999999
marin_county_sheriff_ca:SO150001722,marin_county_sheriff_ca,2015-04-03T09:47:00.000000,41.125445,-76.304398,,TRAFFIC INCIDENT,VTOW,0.0,2.6954449999999994,0.0,45.93560199999999,45.93560199999999
marin_county_sheriff_ca:SO180000666,marin_county_sheriff_ca,2018-02-27T08:55:00.000000,43.076817,-79.955873,,TRAFFIC INCIDENT,VTOW,0.0,4.646816999999999,0.0,42.284127,42.284127
marin_county_sheriff_ca:SO180000668,marin_county_sheriff_ca,2018-02-27T09:10:00.000000,43.076817,-79.955873,,TRAFFIC INCIDENT,VTOW,0.0,4.646816999999999,0.0,42.284127,42.284127
marin_county_sheriff_ca:SO180000672,marin_county_sheriff_ca,2018-02-27T11:56:00.000000,43.076817,-79.955873,,TRAFFIC INCIDENT,VTOW,0.0,4.646816999999999,0.0,42.284127,42.284127
marin_county_sheriff_ca:SO180001169,marin_county_sheriff_ca,2018-04-16T16:09:00.000000,44.675554,-93.632552,,THEFT,THEFT,0.0,6.2455539999999985,0.0,28.60744799999999,28.60744799999999
marin_county_sheriff_ca:SO170001738,marin_county_sheriff_ca,2017-06-06T09:12:00.000000,33.727858,-111.752179,,THEFT,THEFT,3.972142000000005,0.0,0.0,10.487820999999997,10.487820999999997
marin_county_sheriff_ca:SO150003794,marin_county_sheriff_ca,2015-07-10T12:34:00.000000,32.446626,-116.970951,,ALL OTHER - NON-CRIMINAL,LOST,5.253374000000001,0.0,0.0,5.269048999999995,5.269048999999995
marin_county_sheriff_ca:SO170150091,marin_county_sheriff_ca,2017-12-01T15:48:00.000000,32.685867,-117.180422,,FRAUD,IDENT THEF,5.014133000000001,0.0,0.0,5.059578000000002,5.059578000000002
marin_county_sheriff_ca:SO170000748,marin_county_sheriff_ca,2017-03-04T10:46:00.000000,34.112062,-117.318569,,ALL OTHER - NON-CRIMINAL,ALAW,3.587938000000001,0.0,0.0,4.921430999999998,4.921430999999998
marin_county_sheriff_ca:SO170002993,marin_county_sheriff_ca,2017-09-23T22:58:00.000000,33.978342,-117.325671,,ALL OTHER - CRIMINAL,DOM VIOL,3.721658000000005,0.0,0.0,4.914328999999995,4.914328999999995
marin_county_sheriff_ca:SO150003202,marin_county_sheriff_ca,2015-06-12T15:07:00.000000,33.530981,-117.773675,,ALL OTHER - NON-CRIMINAL,ALAW,4.169019000000006,0.0,0.0,4.466324999999998,4.466324999999998
marin_county_sheriff_ca:SO160001091,marin_county_sheriff_ca,2016-02-19T17:19:00.000000,34.038751,-117.775666,,THEFT,THEFT,3.661249000000005,0.0,0.0,4.464333999999994,4.464333999999994
marin_county_sheriff_ca:SO180002850,marin_county_sheriff_ca,2018-09-14T18:54:00.000000,42.427172,-123.332857,,ALL OTHER - NON-CRIMINAL,MENTAL,0.0,3.997171999999999,0.1928570000000036,0.0,3.997171999999999
marin_county_sheriff_ca:SO160004367,marin_county_sheriff_ca,2016-10-19T17:33:00.000000,34.161478,-118.260844,,ASSAULT - OTHER,CHILD ABUS,3.5385220000000004,0.0,0.0,3.979155999999989,3.979155999999989
marin_county_sheriff_ca:SO170001686,marin_county_sheriff_ca,2017-05-31T14:16:00.000000,33.985384,-118.453498,,THEFT,THEFT,3.7146159999999995,0.0,0.0,3.7865019999999987,3.7865019999999987
marin_county_sheriff_ca:SO170001555,marin_county_sheriff_ca,2017-05-19T19:42:00.000000,34.195866,-118.782389,,SEXUAL ASSAULT,RAPE,3.5041340000000005,0.0,0.0,3.457611,3.5041340000000005
marin_county_sheriff_ca:SO180000286,marin_county_sheriff_ca,2018-01-25T09:20:00.000000,35.461093,-120.645025,,ALL OTHER - NON-CRIMINAL,MCSO,2.2389070000000046,0.0,0.0,1.594974999999991,2.2389070000000046
marin_county_sheriff_ca:SO150005393,marin_county_sheriff_ca,2015-09-16T20:06:00.000000,40.602293,-122.356662,,ALL OTHER - NON-CRIMINAL,CIV,0.0,2.1722930000000034,0.0,0.0,2.1722930000000034
marin_county_sheriff_ca:SO160004902,marin_county_sheriff_ca,2016-12-06T21:09:00.000000,40.602293,-122.356662,,ALL OTHER - CRIMINAL,THREATS,0.0,2.1722930000000034,0.0,0.0,2.1722930000000034
marin_county_sheriff_ca:SO140005298,marin_county_sheriff_ca,2014-09-18T14:13:00.000000,40.320276,-123.898077,,DRUGS / NARCOTICS VIOLATION,DRUGS,0.0,1.890276,0.7580770000000001,0.0,1.890276
marin_county_sheriff_ca:SO220001140,marin_county_sheriff_ca,2022-04-22T17:53:00.000000,40.242146,-124.123391,,ASSAULT - OTHER,ASSAULT,0.0,1.8121459999999985,0.9833909999999975,0.0,1.8121459999999985
marin_county_sheriff_ca:SO150001991,marin_county_sheriff_ca,2015-04-02T18:43:00.000000,39.960759,-123.768948,,ALL OTHER - NON-CRIMINAL,AOTH,0.0,1.5307590000000033,0.6289479999999941,0.0,1.5307590000000033
marin_county_sheriff_ca:SO140002708,marin_county_sheriff_ca,2014-05-13T05:26:00.000000,38.716071,-121.098057,,ALL OTHER - NON-CRIMINAL,AOTH,0.0,0.28607099999999974,0.0,1.1419429999999977,1.1419429999999977
marin_county_sheriff_ca:SO160000748,marin_county_sheriff_ca,2016-02-04T13:08:00.000000,37.397021,-121.14104,,ALL OTHER - NON-CRIMINAL,MCSO,0.30297900000000055,0.0,0.0,1.098959999999991,1.098959999999991
marin_county_sheriff_ca:SO200001607,marin_county_sheriff_ca,2020-06-27T15:14:00.000000,39.494458,-123.781466,,ALL OTHER - CRIMINAL,TRO,0.0,1.064458000000002,0.6414659999999941,0.0,1.064458000000002
marin_county_sheriff_ca:SO190002553,marin_county_sheriff_ca,2019-08-28T16:22:00.000000,39.494444,-123.781361,,ALL OTHER - CRIMINAL,DOM VIOL,0.0,1.0644440000000017,0.6413610000000034,0.0,1.0644440000000017
marin_county_sheriff_ca:SO200001473,marin_county_sheriff_ca,2020-06-17T07:31:00.000000,39.494444,-123.781361,,ALL OTHER - CRIMINAL,DOM VIOL,0.0,1.0644440000000017,0.6413610000000034,0.0,1.0644440000000017
marin_county_sheriff_ca:SO200001567,marin_county_sheriff_ca,2020-06-23T10:58:00.000000,39.494444,-123.781361,,ALL OTHER - CRIMINAL,THREATS,0.0,1.0644440000000017,0.6413610000000034,0.0,1.0644440000000017
marin_county_sheriff_ca:SO150002686,marin_county_sheriff_ca,2015-05-19T14:44:00.000000,37.907244,-121.18396,,ALL OTHER - NON-CRIMINAL,SUS CIRC,0.0,0.0,0.0,1.0560399999999959,1.0560399999999959
marin_county_sheriff_ca:SO180002180,marin_county_sheriff_ca,2018-07-12T11:58:00.000000,36.754605,-121.76527,,ALL OTHER - CRIMINAL,MISC PC,0.9453950000000049,0.0,0.0,0.4747299999999939,0.9453950000000049
marin_county_sheriff_ca:SO160000898,marin_county_sheriff_ca,2016-02-09T08:00:00.000000,38.568002,-121.326538,,ASSAULT - OTHER,CHILD ABUS,0.0,0.13800200000000018,0.0,0.9134619999999956,0.9134619999999956
marin_county_sheriff_ca:SO150001878,marin_county_sheriff_ca,2015-04-11T08:11:00.000000,38.71765,-121.379948,,ALL OTHER - NON-CRIMINAL,ALAW,0.0,0.2876499999999993,0.0,0.860051999999996,0.860051999999996
marin_county_sheriff_ca:SO140002176,marin_county_sheriff_ca,2014-04-18T14:38:00.000000,38.464796,-121.418771,,THEFT,THEFT,0.0,0.03479600000000005,0.0,0.8212289999999882,0.8212289999999882
marin_county_sheriff_ca:SO140002329,marin_county_sheriff_ca,2014-04-25T08:40:00.000000,38.464796,-121.418771,,SEXUAL ASSAULT,RAPE,0.0,0.03479600000000005,0.0,0.8212289999999882,0.8212289999999882
marin_county_sheriff_ca:SO150004418,marin_county_sheriff_ca,2015-08-06T15:53:00.000000,38.464796,-121.418771,,THEFT,THEFT,0.0,0.03479600000000005,0.0,0.8212289999999882,0.8212289999999882
marin_county_sheriff_ca:SO150006575,marin_county_sheriff_ca,2015-11-14T10:30:00.000000,38.464796,-121.418771,,TRAFFIC INCIDENT,VTOW,0.0,0.03479600000000005,0.0,0.8212289999999882,0.8212289999999882
marin_county_sheriff_ca:SO160003627,marin_county_sheriff_ca,2016-08-15T12:38:00.000000,38.464796,-121.418771,,ALL OTHER - NON-CRIMINAL,LOST,0.0,0.03479600000000005,0.0,0.8212289999999882,0.8212289999999882
marin_county_sheriff_ca:SO180150066,marin_county_sheriff_ca,2018-05-20T10:18:00.000000,38.441587,-121.444658,,FRAUD,IDENT THEF,0.0,0.011586999999998682,0.0,0.7953419999999909,0.7953419999999909
marin_county_sheriff_ca:SO200000834,marin_county_sheriff_ca,2020-03-20T16:35:00.000000,39.219941,-123.769268,,ALL OTHER - NON-CRIMINAL,MENTAL,0.0,0.7899409999999989,0.6292679999999962,0.0,0.7899409999999989
marin_county_sheriff_ca:SO200000844,marin_county_sheriff_ca,2020-03-22T17:32:00.000000,39.160839,-123.732882,,ALL OTHER - NON-CRIMINAL,SUS CIRC,0.0,0.7308390000000031,0.592882000000003,0.0,0.7308390000000031
marin_county_sheriff_ca:SO200002023,marin_county_sheriff_ca,2020-08-13T15:09:00.000000,39.160839,-123.732882,,TRAFFIC INCIDENT,VEH CODE,0.0,0.7308390000000031,0.592882000000003,0.0,0.7308390000000031
