source_city,rows,already_excluded_rows,globally_invalid_coordinate_rows,inside_source_bounds_rows,outside_source_bounds_rows,outside_source_bounds_pct,modeled_rows_before,modeled_rows_after,newly_excluded_rows,newly_excluded_modeled_pct,safety_threshold_exceeded
atlanta,484580,37241,0,484580,0,0.0,447339,447339,0,0.0,false
baltimore,232961,0,0,232961,0,0.0,232961,232961,0,0.0,false
chandler_az,135119,60216,0,135119,0,0.0,74903,74903,0,0.0,false
chicago,2985140,13109,0,2985140,0,0.0,2972031,2972031,0,0.0,false
dallas,1499093,188509,0,1499093,0,0.0,1310584,1310584,0,0.0,false
denver,375776,117,0,375756,20,0.005322319679809248,375659,375639,20,0.005323977330504527,false
fort_worth,619208,15085,0,619208,0,0.0,604123,604123,0,0.0,false
los_angeles_county_sheriff,1827660,2752,0,1827467,193,0.010559950975564383,1824908,1824715,193,0.010575875605783963,false
marin_county_sheriff_ca,45370,20952,0,45279,91,0.20057306590257878,24418,24381,37,0.15152756163485953,false
montgomery_county_md,481031,106209,0,481031,0,0.0,374822,374822,0,0.0,false
new_york,5932869,17366,0,5932869,0,0.0,5915503,5915503,0,0.0,false
san_francisco,944100,229065,0,944100,0,0.0,715035,715035,0,0.0,false
seattle,814011,1057,0,814011,0,0.0,812954,812954,0,0.0,false
sonoma_county_sheriff_ca,118535,53295,0,118535,0,0.0,65240,65240,0,0.0,false
washington_dc,205027,0,0,205027,0,0.0,205027,205027,0,0.0,false
