rank,candidate_name,group,score,best_iteration,max_depth,max_bin,max_cat_to_onehot,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,reg_alpha,max_delta_step,gamma
1,low_reg_d10,low_reg,15.606044187187917,70,10,128,1,0.12,0.65,0.75,40.0,0.001,0.05,10.0,0.0
2,slow_deep_d24,interaction_probe,15.66102471300704,160,24,128,1,0.04,0.85,0.85,150.0,10.0,1.0,10.0,0.1
3,low_reg_d12,low_reg,15.681387471650066,56,12,128,1,0.12,0.65,0.75,40.0,0.001,0.05,10.0,0.0
4,high_reg_d14,high_reg,15.68167154191873,80,14,128,1,0.12,0.65,0.75,200.0,10.0,1.0,10.0,0.1
5,high_reg_d16,high_reg,15.681897042575228,76,16,128,1,0.12,0.65,0.75,200.0,10.0,1.0,10.0,0.1
6,slow_deep_d20,interaction_probe,15.683341637227763,193,20,128,1,0.04,0.85,0.85,150.0,10.0,1.0,10.0,0.1
7,balanced_d16,interaction_probe,15.694461464599724,89,16,128,1,0.07,0.75,0.8,80.0,1.0,0.0,10.0,0.0
8,high_reg_d10,high_reg,15.700596138581162,112,10,128,1,0.12,0.65,0.75,200.0,10.0,1.0,10.0,0.1
9,low_reg_d14,low_reg,15.702188040594692,45,14,128,1,0.12,0.65,0.75,40.0,0.001,0.05,10.0,0.0
10,balanced_d20_bin256,interaction_probe,15.704189918692174,79,20,256,1,0.07,0.75,0.8,80.0,1.0,0.0,10.0,0.0
11,high_reg_d24,high_reg,15.705379647605703,53,24,128,1,0.12,0.65,0.75,200.0,10.0,1.0,10.0,0.1
12,high_reg_d18,high_reg,15.708300561260598,72,18,128,1,0.12,0.65,0.75,200.0,10.0,1.0,10.0,0.1
13,balanced_d24,interaction_probe,15.708713862557477,55,24,128,1,0.07,0.75,0.8,80.0,1.0,0.0,10.0,0.0
14,balanced_d20,interaction_probe,15.710188502255578,53,20,128,1,0.07,0.75,0.8,80.0,1.0,0.0,10.0,0.0
15,high_reg_d20,high_reg,15.712209885741416,58,20,128,1,0.12,0.65,0.75,200.0,10.0,1.0,10.0,0.1
16,high_reg_d22,high_reg,15.726127001758435,53,22,128,1,0.12,0.65,0.75,200.0,10.0,1.0,10.0,0.1
17,high_reg_d12,high_reg,15.750734369990079,79,12,128,1,0.12,0.65,0.75,200.0,10.0,1.0,10.0,0.1
18,low_reg_d18,low_reg,15.763814851988318,37,18,128,1,0.12,0.65,0.75,40.0,0.001,0.05,10.0,0.0
19,low_reg_d16,low_reg,15.776029237654416,37,16,128,1,0.12,0.65,0.75,40.0,0.001,0.05,10.0,0.0
20,low_reg_d20,low_reg,15.860584607290068,31,20,128,1,0.12,0.65,0.75,40.0,0.001,0.05,10.0,0.0
21,low_reg_d22,low_reg,15.868502497738366,17,22,128,1,0.12,0.65,0.75,40.0,0.001,0.05,10.0,0.0
22,low_reg_d24,low_reg,15.90203895572762,15,24,128,1,0.12,0.65,0.75,40.0,0.001,0.05,10.0,0.0
