column,dtype,null_count,null_pct,n_unique,uniqueness_ratio,avg_string_length,max_string_length,taxonomy_name_score,taxonomy_name_reasons,profile_status
reportnumber,String,0,0.0,385908,0.9987861596316551,8.897990822435084,9,-100,excluded:report.*(?:id|number|num|no),profiled
reportdate,String,0,0.0,4747,0.012285927992608256,23.0,23,-100,excluded:date,profiled
occurdate,String,6,0.0015528874648335692,4924,0.012744227698248574,23.0,23,-100,excluded:date,profiled
occurtime,String,6,0.0015528874648335692,2880,0.007453975583053594,3.772511394488717,5,-100,excluded:time,profiled
possibledate,String,566,0.14648905084930003,4829,0.012516491235345805,23.0,23,-100,excluded:date,profiled
possibletime,String,566,0.14648905084930003,2894,0.0075010821360718075,3.7620622532794554,5,-100,excluded:time,profiled
beat,String,24,0.006211549859334277,95,0.00024588912212406786,2.9996402253897343,19,-100,excluded:beat,profiled
location,String,2,0.0005176291549445231,109054,0.2822491103202847,22.173419605305725,85,-100,excluded:location,profiled
ucrliteral,String,0,0.0,13,0.000033645895071394004,16.95400864958318,20,0,"",profiled
neighborhood,String,12640,3.271416259249386,245,0.0006555411960817366,12.226217901893577,32,0,"",profiled
npu,String,166,0.04296321986039542,27,0.00006990997149226718,1.001209183580996,2,0,"",profiled
latitude,String,0,0.0,32076,0.08301736387000261,7.9760958856246615,10,-100,excluded:latitude,profiled
longitude,String,0,0.0,34050,0.08812636362930505,8.944642150024459,10,-100,excluded:longitude,profiled
geometry,String,0,0.0,97834,0.25320865372421236,25.92073803564912,28,0,"",profiled
source_city,String,0,0.0,1,2.5881457747226153e-6,7.0,7,-100,ingestion_metadata,profiled
source_file_uri,String,0,0.0,8,0.000020705166197780923,59.0,59,-100,ingestion_metadata,profiled
ingestion_run_id,String,0,0.0,1,2.5881457747226153e-6,36.0,36,-100,ingestion_metadata,profiled
ingested_at_utc,"Datetime(time_unit='us', time_zone='UTC')",0,0.0,1,2.5881457747226153e-6,,,-100,ingestion_metadata,profiled
snapshot_id,String,0,0.0,1,2.5881457747226153e-6,36.0,36,-100,ingestion_metadata,profiled
occurrence_year,Int64,6,0.0015528874648335692,35,0.00009058650882183187,,,-100,ingestion_metadata,profiled
