ucrliteral,source_file_uri
BURGLARY-RESIDENCE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
AUTO THEFT,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
BURGLARY-NONRES,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
LARCENY-NON VEHICLE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
LARCENY-NON VEHICLE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
AUTO THEFT,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
BURGLARY-RESIDENCE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
LARCENY-FROM VEHICLE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
BURGLARY-NONRES,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
BURGLARY-RESIDENCE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
AUTO THEFT,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
LARCENY-FROM VEHICLE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
BURGLARY-RESIDENCE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
LARCENY-FROM VEHICLE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
LARCENY-FROM VEHICLE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
LARCENY-NON VEHICLE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
BURGLARY-RESIDENCE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
LARCENY-FROM VEHICLE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
AUTO THEFT,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
AUTO THEFT,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
LARCENY-NON VEHICLE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
LARCENY-FROM VEHICLE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
LARCENY-NON VEHICLE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
LARCENY-NON VEHICLE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
BURGLARY-RESIDENCE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
BURGLARY-RESIDENCE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
LARCENY-NON VEHICLE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
LARCENY-NON VEHICLE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
LARCENY-NON VEHICLE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
BURGLARY-RESIDENCE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
LARCENY-NON VEHICLE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
AGG ASSAULT,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
BURGLARY,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
AUTO THEFT,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
LARCENY-NON VEHICLE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
AGG ASSAULT,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
LARCENY-NON VEHICLE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
BURGLARY-NONRES,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
BURGLARY-RESIDENCE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
LARCENY-FROM VEHICLE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
BURGLARY-RESIDENCE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
LARCENY-NON VEHICLE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
HOMICIDE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
LARCENY-FROM VEHICLE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
BURGLARY-RESIDENCE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
LARCENY-NON VEHICLE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
BURGLARY-NONRES,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
BURGLARY-RESIDENCE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
AGG ASSAULT,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
AGG ASSAULT,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
LARCENY-NON VEHICLE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
AUTO THEFT,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
LARCENY-FROM VEHICLE,s3://crimenet-data/raw_files/landing/atlanta/part-00000.csv
