description,crime_code,weapon,source_file_uri
COMMON ASSAULT,13B,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
SHOPLIFTING,23C,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
AGG. ASSAULT,13A,BLUNT_OBJECT,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
AGG. ASSAULT,13A,BLUNT_OBJECT,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
ROBBERY - COMMERCIAL,120,OTHER,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
INTIMIDATION,13C,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
SHOPLIFTING,23C,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
BURGLARY,220,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
LARCENY FROM AUTO,23F,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
LARCENY FROM AUTO,23F,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
SHOPLIFTING,23C,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
RAPE,11A,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
