column,dtype
row_id,String
ccnumber,String
crime_date_time,String
crime_code,String
description,String
inside_outside,String
weapon,String
shooting,String
post,String
gender,String
age,String
race,String
ethnicity,String
location,String
old_district,String
new_district,String
neighborhood,String
latitude,String
longitude,String
geo_location,String
premise_type,String
total_incidents,String
geometry_x,String
geometry_y,String
geometry_json,String
source_city,String
source_dataset_id,String
source_dataset_kind,String
source_dataset,String
source_record_id,String
occurred_at_raw,String
occurred_at_end_raw,String
latitude_raw,String
longitude_raw,String
downloaded_at_utc,String
source_url,String
source_file_uri,String
ingestion_run_id,String
ingested_at_utc,"Datetime(time_unit='us', time_zone='UTC')"
snapshot_id,String
occurrence_year,Int64
