description,crime_code,weapon,row_count
COMMON ASSAULT,13B,PERSONAL_WEAPONS,35944
VANDALISM,290,"",32023
AUTO THEFT,240,"",25342
LARCENY FROM AUTO,23F,"",16395
LARCENY,23H,"",15057
BURGLARY,220,"",13292
SHOPLIFTING,23C,"",12136
LARCENY OF MOTOR VEHICLE PARTS OR ACCESSORIES,23G,"",8796
LARCENY,23D,"",5711
INTIMIDATION,13C,"",5420
ROBBERY,120,PERSONAL_WEAPONS,4385
AGG. ASSAULT,13A,KNIFE_CUTTING_INSTRUMENT,4014
AGG. ASSAULT,13A,PERSONAL_WEAPONS,3996
AGG. ASSAULT,13A,BLUNT_OBJECT,3760
ROBBERY,120,HANDGUN,3450
AGG. ASSAULT,13A,HANDGUN,3242
FRAUD,26A,"",3236
AGG. ASSAULT,13A,OTHER,2484
FRAUD,26D,"",2444
AGG. ASSAULT,13A,FIREARM,2227
FRAUD,26B,"",1952
FRAUD,26F,"",1304
AGG. ASSAULT,13A,ASPHYXIATION,1277
COMMON ASSAULT,13B,OTHER,1227
VANDALISM,290,PERSONAL_WEAPONS,1225
ROBBERY - CARJACKING,120,HANDGUN,1153
ROBBERY,120,KNIFE_CUTTING_INSTRUMENT,1104
ROBBERY,120,FIREARM,1065
FRAUD,26E,"",984
FRAUD,250,"",926
LARCENY,23H,PERSONAL_WEAPONS,693
RAPE,11A,PERSONAL_WEAPONS,685
AGG. ASSAULT,13A,MOTOR_VEHICLE_VESSEL,607
VANDALISM,290,FIREARM,600
ROBBERY - COMMERCIAL,120,PERSONAL_WEAPONS,581
VANDALISM,290,HANDGUN,565
ROBBERY - COMMERCIAL,120,HANDGUN,564
COMMON ASSAULT,13B,"",543
HOMICIDE,09A,FIREARM,470
ARSON,200,"",467
COMMON ASSAULT,13B,UNKNOWN,464
ROBBERY,120,BLUNT_OBJECT,441
SEX OFFENSES,11D,PERSONAL_WEAPONS,425
ROBBERY,120,"",423
BURGLARY,220,PERSONAL_WEAPONS,410
ROBBERY,120,OTHER,404
ROBBERY - CARJACKING,120,FIREARM,362
STOLEN PROPERTY,280,"",354
SEX OFFENSES,11D,"",325
ROBBERY - COMMERCIAL,120,KNIFE_CUTTING_INSTRUMENT,307
ROBBERY - CARJACKING,120,PERSONAL_WEAPONS,306
AGG. ASSAULT,13A,UNKNOWN,299
HOMICIDE,09A,HANDGUN,286
ROBBERY,120,UNKNOWN,267
LARCENY,23D,PERSONAL_WEAPONS,264
VANDALISM,290,BLUNT_OBJECT,240
ROBBERY - COMMERCIAL,120,FIREARM,212
RAPE,11B,PERSONAL_WEAPONS,206
FRAUD,270,"",201
SHOPLIFTING,23C,PERSONAL_WEAPONS,191
LARCENY,23B,"",178
ROBBERY - COMMERCIAL,120,OTHER,159
EXTORTION,210,"",153
VANDALISM,290,KNIFE_CUTTING_INSTRUMENT,142
VANDALISM,290,OTHER,139
LARCENY,23A,"",137
RAPE,11A,"",136
PORNOGRAPHY,370,"",123
BURGLARY,220,HANDGUN,118
FRAUD,26C,"",103
COMMON ASSAULT,13B,BLUNT_OBJECT,99
AGG. ASSAULT,13A,FIRE_INCENDIARY_DEVICE,99
ROBBERY - COMMERCIAL,120,"",96
VANDALISM,290,MOTOR_VEHICLE_VESSEL,93
ROBBERY,120,ASPHYXIATION,92
ROBBERY - COMMERCIAL,120,BLUNT_OBJECT,91
COMMON ASSAULT,13B,KNIFE_CUTTING_INSTRUMENT,91
BURGLARY,220,KNIFE_CUTTING_INSTRUMENT,83
INTIMIDATION,13C,PERSONAL_WEAPONS,82
BURGLARY,220,BLUNT_OBJECT,78
RAPE,11C,PERSONAL_WEAPONS,77
KIDNAPPING,100,"",71
FRAUD,26G,"",70
ROBBERY - CARJACKING,120,KNIFE_CUTTING_INSTRUMENT,67
KIDNAPPING,100,HANDGUN,66
KIDNAPPING,100,PERSONAL_WEAPONS,65
AUTO THEFT,240,PERSONAL_WEAPONS,59
ROBBERY,120,MOTOR_VEHICLE_VESSEL,56
RAPE,11B,"",55
ROBBERY - CARJACKING,120,"",55
COMMON ASSAULT,13B,HANDGUN,52
WEAPON VIOLATIONS,520,HANDGUN,51
BURGLARY,220,FIREARM,50
HOMICIDE,09A,KNIFE_CUTTING_INSTRUMENT,49
ROBBERY - CARJACKING,120,UNKNOWN,48
VANDALISM,290,ASPHYXIATION,48
LARCENY FROM AUTO,23F,PERSONAL_WEAPONS,47
AGG. ASSAULT,13A,SHOTGUN,47
ROBBERY - COMMERCIAL,120,UNKNOWN,46
AGG. ASSAULT,13A,RIFLE,44
LARCENY,23H,KNIFE_CUTTING_INSTRUMENT,44
LARCENY,23H,BLUNT_OBJECT,43
STOLEN PROPERTY,280,HANDGUN,41
AGG. ASSAULT,13A,AUTOMATIC_HANDGUN,40
BURGLARY,220,OTHER,40
AGG. ASSAULT,13A,OTHER_FIREARM,40
LARCENY,23E,"",39
LARCENY,23H,OTHER,38
COMMON ASSAULT,13B,ASPHYXIATION,36
HUMAN TRAFFICKING,64A,"",36
ROBBERY,120,RIFLE,33
VANDALISM,290,UNKNOWN,32
ARSON,200,FIRE_INCENDIARY_DEVICE,32
AUTO THEFT,240,HANDGUN,31
SHOPLIFTING,23C,OTHER,31
AGG. ASSAULT,13A,POISON,31
AGG. ASSAULT,13A,"",31
SEX OFFENSES,36B,"",30
LARCENY,23H,HANDGUN,29
BURGLARY,220,ASPHYXIATION,28
ANIMAL CRUELTY,720,"",28
COMMON ASSAULT,13B,FIREARM,23
ROBBERY,120,OTHER_FIREARM,22
FRAUD,26A,PERSONAL_WEAPONS,22
DRUG/NARCOTIC VIOLATIONS,35A,"",22
VANDALISM,290,RIFLE,22
KIDNAPPING,100,FIREARM,22
ROBBERY - CARJACKING,120,OTHER,22
SHOPLIFTING,23C,KNIFE_CUTTING_INSTRUMENT,21
