description,row_count
COMMON ASSAULT,38488
VANDALISM,35181
AUTO THEFT,25495
LARCENY,22378
AGG. ASSAULT,22287
LARCENY FROM AUTO,16497
BURGLARY,14115
SHOPLIFTING,12411
ROBBERY,11805
FRAUD,11323
LARCENY OF MOTOR VEHICLE PARTS OR ACCESSORIES,8821
INTIMIDATION,5567
ROBBERY - COMMERCIAL,2093
ROBBERY - CARJACKING,2091
RAPE,1312
HOMICIDE,901
SEX OFFENSES,799
ARSON,512
STOLEN PROPERTY,405
KIDNAPPING,272
EXTORTION,169
PORNOGRAPHY,126
WEAPON VIOLATIONS,83
HUMAN TRAFFICKING,45
ANIMAL CRUELTY,31
DRUG/NARCOTIC VIOLATIONS,23
PROSTITUTION,2
DRUG VIOLOATION,1
