report_summary_offense_description,report_primary_offense_description,report_summary_offense_code,report_primary_offense_code,event_type,source_file_uri
,Suspicious Activity,NONCRIM ,0005-6,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Theft From Building,LARCENYT,2308-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Welfare Check,NONCRIM ,0005-1,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Burglary - No Forced Entry,BURGLARY,2204-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Drugs,DRUGNARC,3599-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Disturbance,NONCRIM ,0005-5,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Welfare Check,NONCRIM ,0005-1,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Drugs,DRUGNARC,3599-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Non Criminal Incident,NONCRIM ,0005-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Theft-Shoplift,SHOPTHEF,2303-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Damage of Property - Substantial Damage,DESTRUCT,2999-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Damage of Property - Substantial Damage,DESTRUCT,2999-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Welfare Check,NONCRIM ,0005-1,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Theft,LARCENYT,2399-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Drugs,DRUGNARC,3599-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Non Criminal Incident,NONCRIM ,0005-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Damage of Property - Substantial Damage,DESTRUCT,2999-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Child/Adult Abuse,FAMILYOF,1313-2,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Theft-Shoplift,SHOPTHEF,2303-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Public Order,OTHER   ,7399-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Non-Injury Collision,NONINJUR,5499-3,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Theft-Shoplift,SHOPTHEF,2303-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Disturbance,NONCRIM ,0005-5,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Non Criminal Incident,NONCRIM ,0005-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Burglary - No Forced Entry,BURGLARY,2204-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Theft,LARCENYT,2399-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Nonviolent Family Offenses,FAMILYOF,3899-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Liquor Violation - Possession,LIQORLA ,4104-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Non Criminal Incident,NONCRIM ,0005-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Fraud,FRAUDOFF,2699-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Theft-Vehicle Parts/Accessory,VEHBURG ,2304-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Mental Health Pick Up,NONCRIM ,0005-3,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Drugs - Civil,DRUGNARC,3599-1,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Assault - Dv,ASSAULDV,1313-1,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Disturbance,NONCRIM ,0005-5,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Suspicious Activity,NONCRIM ,0005-6,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Found/Seized Property,OTHER   ,0004-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Drugs,DRUGNARC,3599-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Runaway,RUNAWAY ,7399-4,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Disorderly Conduct - Dv,DISCCOND,5311-1,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Assault,ASSAULTO,1313-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Runaway,RUNAWAY ,7399-4,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Trespassing,TRESPASS,5707-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Theft-Shoplift,SHOPTHEF,2303-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Found/Seized Property,OTHER   ,0004-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Disturbance,NONCRIM ,0005-5,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Welfare Check,NONCRIM ,0005-1,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Vehicle Burglary,VEHBURG ,2305-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Assault,ASSAULTO,1313-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Suspicious Activity,NONCRIM ,0005-6,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Non Criminal Incident,NONCRIM ,0005-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Non-Injury Collision,NONINJUR,5499-3,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Found/Seized Property,OTHER   ,0004-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Assist Other Agency,OTHER   ,0007-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Welfare Check,NONCRIM ,0005-1,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Damage of Property - Substantial Damage,DESTRUCT,2999-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Disturbance,NONCRIM ,0005-5,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Graffiti - Substantial Damage,GRAFFITI,2999-2,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Disturbance,NONCRIM ,0005-5,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Found/Seized Property,OTHER   ,0004-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Theft,LARCENYT,2399-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Stolen Vehicle,MOTORVEH,2499-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Non-Injury Collision,NONINJUR,5499-3,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Disorderly Conduct - Dv,DISCCOND,5311-1,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Injury Collision,INJURYCO,5499-4,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Theft-Vehicle Parts/Accessory,VEHBURG ,2304-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Burglary - Forced Entry,BURGLARY,2202-0,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Disorderly Conduct - Dv,DISCCOND,5311-1,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
,Disturbance,NONCRIM ,0005-5,General Offense,s3://crimenet-data/raw_files/landing/chandler_az/general_offenses.csv
