column,dtype
id,Int64
event_type,String
agency,String
report_id,Int64
report_number,String
report_year,String
reported_date,String
report_event_date,String
report_event_time,String
report_event_date_time,String
report_event_day,String
report_event_end_date,String
report_event_end_time,String
report_event_end_date_time,String
report_place_name,String
report_address,String
report_city,String
report_district,String
report_beat,String
report_location_type,String
report_latitude,Float64
report_longitude,Float64
report_status,String
report_primary_offense_code,String
report_primary_offense_description,String
report_summary_offense_code,String
report_summary_offense_description,String
source_city,String
source_file_uri,String
ingestion_run_id,String
ingested_at_utc,"Datetime(time_unit='us', time_zone='UTC')"
snapshot_id,String
occurrence_year,Int64
