report_summary_offense_description,report_primary_offense_description,report_summary_offense_code,report_primary_offense_code,event_type,row_count
,Disturbance,NONCRIM ,0005-5,General Offense,14142
,Non-Injury Collision,NONINJUR,5499-3,General Offense,13780
,Non Criminal Incident,NONCRIM ,0005-0,General Offense,9659
,Theft-Shoplift,SHOPTHEF,2303-0,General Offense,6709
,Welfare Check,NONCRIM ,0005-1,General Offense,6597
,Suspicious Activity,NONCRIM ,0005-6,General Offense,5783
,Hit and Run Collision,HRCOLLIS,5401-0,General Offense,4938
,Disorderly Conduct,DISORDER,5311-0,General Offense,4522
,Criminal Traffic,TRAFFIC ,5499-2,General Offense,4306
,Theft,LARCENYT,2399-0,General Offense,4007
,Trespassing,TRESPASS,5707-0,General Offense,3696
,Injury Collision,INJURYCO,5499-4,General Offense,3660
,Drugs,DRUGNARC,3599-0,General Offense,3598
,Assault - Dv,ASSAULDV,1313-1,General Offense,3576
,DUI,DRIVINGU,5404-0,General Offense,3534
,Assault,ASSAULTO,1313-0,General Offense,3126
,Disorderly Conduct - Dv,DISCCOND,5311-1,General Offense,3075
,Found/Seized Property,OTHER   ,0004-0,General Offense,2815
,Vehicle Burglary,VEHBURG ,2305-0,General Offense,2779
,Damage of Property - Substantial Damage,DESTRUCT,2999-0,General Offense,2721
,Identity Theft,IDTHEFT ,2610-0,General Offense,2055
,Mental Health Pick Up,NONCRIM ,0005-3,General Offense,2029
,Possess Drug Paraphernalia,POSSPARA,3550-0,General Offense,1863
,Assist Other Agency,OTHER   ,0007-0,General Offense,1604
,Stolen Vehicle,MOTORVEH,2499-0,General Offense,1545
,Order of Protection Service,NONCRIM ,0005-2,General Offense,1524
,Threats,OTHER   ,1316-1,General Offense,1498
,Civil Traffic,TRAFFIC ,5499-1,General Offense,1345
,Fraud,FRAUDOFF,2699-0,General Offense,1280
,Missing and Overdue Party,OTHER   ,0002-0,General Offense,1218
,Runaway,RUNAWAY ,7399-4,General Offense,1173
,Abandoned Vehicle,TRAFFIC ,5499-8,General Offense,1126
,Theft From Building,LARCENYT,2308-0,General Offense,1103
,Theft-Vehicle Parts/Accessory,VEHBURG ,2304-0,General Offense,1074
,Lost Property,OTHER   ,0004-1,General Offense,1049
,Burglary - No Forced Entry,BURGLARY,2204-0,General Offense,918
