report_primary_offense_code,row_count
0005-5,14142
5499-3,13780
0005-0,9659
2303-0,6709
0005-1,6597
0005-6,5783
5401-0,4938
5311-0,4522
5499-2,4306
2399-0,4007
5707-0,3696
5499-4,3660
3599-0,3598
1313-1,3576
5404-0,3534
1313-0,3126
5311-1,3075
0004-0,2815
2305-0,2779
2999-0,2721
2610-0,2055
0005-3,2029
3550-0,1863
0007-0,1604
2499-0,1545
0005-2,1524
1316-1,1498
5499-1,1345
2699-0,1280
0002-0,1218
7399-4,1173
5499-8,1126
2308-0,1103
2304-0,1074
0004-1,1049
2204-0,918
2999-4,859
2999-1,842
3699-0,838
4199-0,832
2605-0,798
2202-0,785
5499-6,759
0006-1,748
1315-0,719
5309-0,709
0001-3,698
3700-0,683
5007-4,621
2608-0,616
5399-1,594
5404-2,577
7399-0,564
0006-0,542
5399-0,539
5007-0,493
0001-0,457
2310-0,451
2499-1,425
5404-1,403
1313-2,390
0003-0,382
5499-0,374
7201-0,365
2699-4,362
0005-4,356
1316-2,349
1313-3,341
7399-5,324
1299-0,311
3605-0,307
5403-0,285
2305-1,272
5707-1,268
1315-1,263
1103-0,257
2699-2,255
5007-2,254
5212-0,253
1199-1,253
5599-0,250
2303-1,248
4104-0,247
2999-5,242
2602-0,234
5203-0,233
1311-0,228
0001-2,224
2309-1,213
1316-0,207
3806-0,202
2589-0,201
1302-1,200
4899-0,182
0001-1,170
5213-0,168
3599-1,166
0005-7,166
2999-2,164
5309-1,162
5311-2,160
2199-0,154
0010-0,153
4803-0,149
7399-2,140
0008-0,138
2999-3,132
5007-3,126
3699-2,125
4813-0,122
5007-7,119
2599-0,119
2799-0,118
5007-1,116
1399-0,114
2304-1,110
5299-0,109
6205-0,108
2399-3,107
2804-0,96
1116-0,90
5499-7,90
2399-2,87
3899-0,86
2804-1,83
4004-0,73
2309-0,70
2501-0,66
3805-0,64
2007-0,59
5499-5,58
4099-0,57
3899-1,55
1302-2,55
1199-0,54
1316-4,51
4801-0,50
1103-1,50
5007-6,50
0005-8,49
4005-0,49
2606-0,48
1302-3,46
3811-0,45
0008-2,43
2411-0,43
3611-0,41
0001-4,40
2609-0,40
1010-1,38
2099-0,38
2399-1,37
5005-0,37
1602-0,36
2604-0,34
5007-5,33
1199-4,32
3700-1,30
1010-0,30
1203-0,28
5202-0,27
3699-1,26
1199-2,26
1399-1,22
1316-3,22
3899-3,19
0008-3,19
5015-0,17
5802-0,16
2699-1,16
2401-0,15
4001-0,15
0999-2,14
5311-3,14
5006-0,12
2301-0,12
0999-0,11
5005-1,11
5399-2,10
2699-3,9
3611-1,9
0008-4,9
1099-0,8
1212-0,8
1199-3,8
2307-1,8
4002-0,8
6201-0,7
4802-0,7
4102-0,7
3707-0,7
7399-7,6
2801-0,6
2307-0,6
0999-7,6
1099-3,6
3599-2,5
7399-6,5
1311-1,5
6411-1,5
1199-5,5
2302-0,5
0909-0,5
7201-1,5
1099-1,4
3801-1,4
5999-0,4
0012-0,4
5405-1,4
5003-0,4
7399-1,4
4901-0,4
7201-2,3
2206-0,3
0999-6,3
1099-2,3
6411-0,2
5799-0,2
4805-0,2
5405-0,2
5201-0,2
1112-0,2
0011-0,1
3801-0,1
0909-1,1
0008-1,1
6299-0,1
5214-0,1
2902-1,1
0009-0,1
5206-0,1
2410-0,1
0999-3,1
2508-0,1
