report_primary_offense_description,row_count
Disturbance,14142
Non-Injury Collision,13782
Non Criminal Incident,9659
Theft-Shoplift,6709
Welfare Check,6597
Suspicious Activity,5783
Hit and Run Collision,4938
Disorderly Conduct,4522
Criminal Traffic,4306
Theft,4007
Trespassing,3696
Injury Collision,3664
Drugs,3598
Assault - Dv,3576
DUI,3534
Assault,3126
Disorderly Conduct - Dv,3075
Found/Seized Property,2815
Vehicle Burglary,2779
Damage of Property - Substantial Damage,2721
Identity Theft,2055
Mental Health Pick Up,2029
Possess Drug Paraphernalia,1863
Assist Other Agency,1604
Stolen Vehicle,1545
Order of Protection Service,1524
Threats,1498
Civil Traffic,1345
Fraud,1280
Missing and Overdue Party,1218
Runaway,1173
Abandoned Vehicle,1126
Theft From Building,1103
Theft-Vehicle Parts/Accessory,1074
Lost Property,1049
Burglary - No Forced Entry,918
Damage of Property - Insubstantial Damage,859
Damage of Property - Substantial Damage - Dv,842
Sex Offense,838
Liquor Violation,832
Fraudulent Use of Credit Cards,798
Burglary - Forced Entry,785
Private Property Collision,759
Warrant Arrest - Other Agency,748
Aggravated Assault,719
Harassment,709
Death Investigation-Natural,698
Obscene Material,683
Order of Protection Violation - Dv,621
Fraud-By Wire,616
Barking Dog,594
DUI - Extreme,577
Public Order,564
Warrant Arrest,542
Public Peace,539
Order of Protection Violation,493
Death Investigation,457
Theft - Mail/Package,451
Stolen Veh-Recovery Other Jur,425
Aggravated DUI,403
Child/Adult Abuse,390
Swat/Sau Operation,382
Traffic Related,374
Animal Cruelty,365
Theft By Fraud,362
Neighborhood Complaint,356
Threats - Dv,349
Child/Adult Abuse - Dv,341
Dog at Large,324
Robbery,311
Public Sexual Indecency,307
DUI - Drugs,285
Theft From Vehicle,272
Trespassing - Dv,268
Aggravated Assault - Dv,263
Sexual Assault - Rape,257
Stolen Veh-Fail to Return/Pay,255
Family Court Order Violation,254
Unlawful Possession of Weapon,253
Sexual Assault - Force Fondle,253
Health and Safety,250
Organized Retail Theft,248
Liquor Violation - Possession,247
Damage of Property - Insubstantial Damage - Dv,242
Theft-Obt Service W/Out Paying,234
Prohibited Possesser,233
Agg Assault - Officer - No/Minor Injury,228
Death Investigation-Accidental,224
Burglary From Yard,213
Intimidation/Stalking,207
Neglect of Child - Nonviolent,202
Forgery,201
Agg Aslt - Strangulation - Dv,200
Obstruction of Police,182
Death Investigation-Suicide,170
Discharging A Firearm,168
Drugs - Civil,166
Civil Standby,166
Graffiti - Substantial Damage,164
Harassment - Dv,162
Disorderly Conduct - Weapons,160
Extortion,154
Fire Investigation,153
False Reporting,149
Curfew,140
Icac Investigation,138
Graffiti - Insubstantial Damage,132
All Other Court Order Violatio,126
Sexual Exploitation,125
Failure to Obey Police,122
All Other Court Order Violatio - Dv,119
Counterfeiting,119
Theft By Embezzlement,118
Injunc Agnst Harassment Violat,116
Endangerment,114
Vehicle Burglary-Parts/Access,110
Weapons Violation,109
Conservation - Environment,108
Stolen Veh-Trailer Theft,107
Stolen Prop-Possession,96
Sexual Conduct With Minor,90
Vehicle Impound,90
Burglary From Locker,87
Nonviolent Family Offenses,86
Stolen Veh - Possession/Use,83
Prostitution,73
Theft From Yard,70
Forgery of Checks,66
Contrib Delinquency of Minor,64
Reckless Burning,59
Fatal Injury Collision,58
Commercial Sexual Exploitation,57
Nonviolent Family Offenses -Dv,55
Child/Adult Abuse-Sr Inj,55
Sexual Assault - Oral/Sodomy,54
Intimidation/Stalking - Dv,51
Sexual Assault - Rape - Dv,50
Family Court Order Violation - Dv,50
Resisting Arrest,50
Vdo - Tipsoft,49
Purchasing Prostitution,49
Fraud-Bad Checks,48
Child/Adult Abuse-Sr Inj-Dv,46
Vulnerable Adult Abuse,45
Cybertip - Ncmec,43
Stolen Veh-Unauth Use Joyride,43
