report_summary_offense_code,row_count
NONCRIM ,40305
OTHER   ,14828
NONINJUR,13780
TRAFFIC ,7241
SHOPTHEF,6957
LARCENYT,5880
HRCOLLIS,4938
DRIVINGU,4799
DISORDER,4522
VEHBURG ,4272
ASSAULTO,4078
ASSAULDV,4039
DESTRUCT,3822
DRUGNARC,3769
TRESPASS,3696
INJURYCO,3660
DISCCOND,3075
IDTHEFT ,2055
FRAUDOFF,1979
BURGLARY,1930
POSSPARA,1863
FAMILYDV,1778
MOTORVEH,1751
SEXOFFEN,1363
RUNAWAY ,1173
LIQORLA ,1086
WEAPONLA,954
FAMILYOF,892
CRIMDADV,842
CCFRUAD ,798
PPCOLLIS,759
WOA     ,748
PORNOGRA,713
SEXOFFEF,592
WARRANT ,542
MAILTHEF,451
OTHVEHTF,425
CADVABUS,391
COUNTERF,386
SAU     ,382
ANIMCRUE,370
ROBBERY ,311
GRAFFITI,296
FAILPAY ,271
TRESPADV,268
EXTORTIO,154
FIRE    ,153
CURFEW  ,140
PROSTIT ,130
EMBEZZLE,118
STOLENPR,102
EXPIRED ,102
RECKBURN,59
FATALCOL,58
PEEPINGT,50
JOHN    ,49
BADCHECK,48
JOYRIDE ,43
ARSON   ,38
HOMICIDE,35
SHOPLIFT,28
REGVIOL ,26
PANDERER,23
BOMBTHRT,22
CURFEWLO,10
CARJACK ,8
KIDNAPIN,8
VEHHOMI ,6
POSSTOOL,4
