column,dtype,null_count,null_pct,n_unique,uniqueness_ratio,avg_string_length,max_string_length,taxonomy_name_score,taxonomy_name_reasons,profile_status
id,String,0,0.0,3033860,1.0,7.887446355467952,8,0,"",profiled
case_number,String,0,0.0,3033509,0.9998843058018498,8.0000003296131,9,-100,excluded:case.*(?:id|number|num|no),profiled
date,String,0,0.0,1410294,0.4648513774531455,23.0,23,-100,excluded:date,profiled
block,String,0,0.0,40185,0.013245502429248547,18.505318636983908,35,0,"",profiled
iucr,String,0,0.0,389,0.00012821949595564726,4.0,4,15,iucr:15,profiled
primary_type,String,0,0.0,33,0.000010877232304720718,10.364474959292782,33,5,type:5,profiled
description,String,0,0.0,533,0.00017568378237624676,16.93460706822332,60,15,description:8; descr:7,profiled
location_description,String,14419,0.4752691290962668,202,0.00006689980032727912,11.632309424161624,53,-100,excluded:location,profiled
arrest,String,0,0.0,2,6.592262002861042e-7,4.81502244665212,5,0,"",profiled
domestic,String,0,0.0,2,6.592262002861042e-7,4.808725188373887,5,0,"",profiled
beat,String,0,0.0,275,0.00009064360253933932,4.0,4,-100,excluded:beat,profiled
district,String,1,0.00003296131001430521,25,8.240330219697092e-6,2.9999947261886595,3,-100,excluded:district,profiled
ward,String,58,0.0019117559808297022,51,0.000016810589484745542,1.7568206494688843,2,0,"",profiled
community_area,String,244,0.00804255964349047,78,0.000025711889705223074,1.861527958713298,2,0,"",profiled
fbi_code,String,0,0.0,26,8.569940603719354e-6,2.2824388732505785,3,5,code:5,profiled
x_coordinate,String,46817,1.5431496509397271,72005,0.02410577952845004,6.999981921920776,7,-100,excluded:coordinate,profiled
y_coordinate,String,46817,1.5431496509397271,120125,0.04021535679265414,6.999981921920776,7,-100,excluded:coordinate,profiled
year,String,0,0.0,12,3.955357201716625e-6,4.0,4,-100,excluded:year,profiled
updated_on,String,0,0.0,7460,0.0024589137270671687,23.0,23,-100,excluded:date,profiled
latitude,String,46817,1.5431496509397271,496328,0.1661603130587675,11.890410683743086,12,-100,excluded:latitude,profiled
longitude,String,46817,1.5431496509397271,496149,0.1661003875739318,12.889213178384107,13,-100,excluded:longitude,profiled
source_city,String,0,0.0,1,3.296131001430521e-7,7.0,7,-100,ingestion_metadata,profiled
source_dataset_id,String,0,0.0,1,3.296131001430521e-7,9.0,9,0,"",profiled
downloaded_at_utc,String,0,0.0,12,3.955357201716625e-6,32.0,32,0,"",profiled
source_dataset,String,0,0.0,1,3.296131001430521e-7,9.0,9,0,"",profiled
rescued_data,String,1684586,55.52616139175836,1349275,1.000000741139309,452.40184054535996,454,0,"",profiled
source_file,String,0,0.0,94,0.000030983631413446896,128.7225636647703,150,-100,excluded:source_file,profiled
source_row_hash,String,0,0.0,3033860,1.0,64.0,64,0,"",profiled
source_system,String,0,0.0,1,3.296131001430521e-7,7.0,7,0,"",profiled
ingested_at,"Datetime(time_unit='ns', time_zone=None)",0,0.0,3,9.888393004291562e-7,,,-100,excluded:ingest,profiled
source_file_uri,String,0,0.0,12,3.955357201716625e-6,163.0,163,-100,ingestion_metadata,profiled
ingestion_run_id,String,0,0.0,1,3.296131001430521e-7,36.0,36,-100,ingestion_metadata,profiled
ingested_at_utc,"Datetime(time_unit='us', time_zone='UTC')",0,0.0,1,3.296131001430521e-7,,,-100,ingestion_metadata,profiled
snapshot_id,String,0,0.0,1,3.296131001430521e-7,36.0,36,-100,ingestion_metadata,profiled
occurrence_year,Int64,0,0.0,12,3.955357201716625e-6,,,-100,ingestion_metadata,profiled
