iucr,description,fbi_code,primary_type,source_file_uri
0560,SIMPLE,08A,ASSAULT,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
0820,$500 AND UNDER,06,THEFT,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
0470,RECKLESS CONDUCT,24,PUBLIC PEACE VIOLATION,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
0486,DOMESTIC BATTERY SIMPLE,08B,BATTERY,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
0620,UNLAWFUL ENTRY,05,BURGLARY,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
0820,$500 AND UNDER,06,THEFT,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
0610,FORCIBLE ENTRY,05,BURGLARY,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
1320,TO VEHICLE,14,CRIMINAL DAMAGE,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
0484,PRO EMP HANDS NO/MIN INJURY,08B,BATTERY,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
0486,DOMESTIC BATTERY SIMPLE,08B,BATTERY,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
0870,POCKET-PICKING,06,THEFT,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
1150,CREDIT CARD FRAUD,11,DECEPTIVE PRACTICE,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
1130,FRAUD OR CONFIDENCE GAME,11,DECEPTIVE PRACTICE,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
0486,DOMESTIC BATTERY SIMPLE,08B,BATTERY,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
0460,SIMPLE,08B,BATTERY,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
2017,MANU/DELIVER:CRACK,18,NARCOTICS,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
2820,TELEPHONE THREAT,08A,OTHER OFFENSE,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
0520,AGGRAVATED:KNIFE/CUTTING INSTR,04A,ASSAULT,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
