column,dtype
id,String
case_number,String
date,String
block,String
iucr,String
primary_type,String
description,String
location_description,String
arrest,String
domestic,String
beat,String
district,String
ward,String
community_area,String
fbi_code,String
x_coordinate,String
y_coordinate,String
year,String
updated_on,String
latitude,String
longitude,String
source_city,String
source_dataset_id,String
downloaded_at_utc,String
source_dataset,String
rescued_data,String
source_file,String
source_row_hash,String
source_system,String
ingested_at,"Datetime(time_unit='ns', time_zone=None)"
source_file_uri,String
ingestion_run_id,String
ingested_at_utc,"Datetime(time_unit='us', time_zone='UTC')"
snapshot_id,String
occurrence_year,Int64
