description,row_count
SIMPLE,339678
DOMESTIC BATTERY SIMPLE,263832
$500 AND UNDER,256571
OVER $500,184981
TO VEHICLE,172113
TO PROPERTY,152547
AUTOMOBILE,137615
RETAIL THEFT,115547
FROM BUILDING,86546
FORCIBLE ENTRY,71337
FINANCIAL IDENTITY THEFT OVER $ 300,54389
TELEPHONE THREAT,44730
UNLAWFUL ENTRY,40951
AGGRAVATED - HANDGUN,39627
TO LAND,39518
CREDIT CARD FRAUD,36354
HARASSMENT BY TELEPHONE,31965
POSS: CANNABIS 30GMS OR LESS,30834
UNLAWFUL POSSESSION - HANDGUN,29773
HARASSMENT BY ELECTRONIC MEANS,29700
FRAUD OR CONFIDENCE GAME,26209
AGGRAVATED: HANDGUN,25586
FINANCIAL IDENTITY THEFT $300 AND UNDER,24819
ARMED: HANDGUN,22480
VIOLATE ORDER OF PROTECTION,20953
STRONGARM - NO WEAPON,20095
POCKET-PICKING,20091
ARMED - HANDGUN,20088
UNLAWFUL POSS OF HANDGUN,19108
POSS: HEROIN(WHITE),18607
AGGRAVATED: OTHER DANG WEAPON,17746
AGGRAVATED - OTHER DANGEROUS WEAPON,16600
ILLEGAL USE CASH CARD,15402
RECKLESS FIREARM DISCHARGE,14606
TO RESIDENCE,14492
AGGRAVATED:KNIFE/CUTTING INSTR,14061
ATTEMPT - AUTOMOBILE,13874
AGGRAVATED - KNIFE / CUTTING INSTRUMENT,13594
OTHER VEHICLE OFFENSE,13364
NON-AGGRAVATED,12811
STRONG ARM - NO WEAPON,12082
RECKLESS CONDUCT,10812
POSS: CRACK,9606
FORGERY,9541
FOUND SUSPECT NARCOTICS,9525
CRIMINAL DEFACEMENT,9306
THEFT / RECOVERY - AUTOMOBILE,8508
PRO EMP HANDS NO/MIN INJURY,8353
THEFT FROM MOTOR VEHICLE,8222
MANU/DELIVER: HEROIN (WHITE),8110
AGGRAVATED VEHICULAR HIJACKING,7765
FIRST DEGREE MURDER,7448
POSSESS - HEROIN (WHITE),7267
CHILD ABUSE,6985
ATTEMPT - FINANCIAL IDENTITY THEFT,6960
AGGRAVATED,6865
AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,6622
OBSTRUCTING IDENTIFICATION,6264
TO CITY OF CHICAGO PROPERTY,6109
AGG PO HANDS NO/MIN INJURY,5945
AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,5906
THEFT OF LABOR/SERVICES,5749
SOLICIT ON PUBLIC WAY,5725
LICENSE VIOLATION,5498
ATTEMPT FORCIBLE ENTRY,5475
PURSE-SNATCHING,5471
FALSE / STOLEN / ALTERED TRP,5460
COUNTERFEITING DOCUMENT,5310
"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",5238
POSS: CANNABIS MORE THAN 30GMS,5114
OTHER CRIME AGAINST PERSON,4989
TO STATE SUP LAND,4966
CRIMINAL SEXUAL ABUSE,4938
PAROLE VIOLATION,4848
OTHER OFFENSE,4826
FALSE/STOLEN/ALTERED TRP,4657
BOGUS CHECK,4581
AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,4450
ATTEMPT THEFT,4381
BURGLARY FROM MOTOR VEHICLE,4306
MANU/DEL:CANNABIS OVER 10 GMS,4218
COUNTERFEIT CHECK,4161
POSSESS - CRACK,4149
BY FIRE,4080
POSS: COCAINE,4006
"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",3982
MANU/DEL:CANNABIS 10GM OR LESS,3914
THEFT/RECOVERY: AUTOMOBILE,3904
VEHICULAR HIJACKING,3482
VEHICLE TITLE/REG OFFENSE,3450
AGGRAVATED OF A SENIOR CITIZEN,3435
POSSESS - CANNABIS MORE THAN 30 GRAMS,3300
"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",3272
AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,3248
MANU/DELIVER:CRACK,3210
THEFT OF LABOR / SERVICES,3097
VEHICLE TITLE / REGISTRATION OFFENSE,3050
HOME INVASION,3040
OTHER CRIME INVOLVING PROPERTY,3039
THEFT OF LOST / MISLAID PROPERTY,2948
MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,2920
SOLICIT NARCOTICS ON PUBLICWAY,2900
COMPUTER FRAUD,2665
ARMED: OTHER DANGEROUS WEAPON,2636
ARMED:KNIFE/CUTTING INSTRUMENT,2631
PUBLIC INDECENCY,2557
AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,2557
ATT: AUTOMOBILE,2400
MANUFACTURE / DELIVER -  HEROIN (WHITE),2398
UNLAWFUL USE HANDGUN,2383
POSS: SYNTHETIC DRUGS,2178
ATTEMPT: STRONGARM-NO WEAPON,2141
RESIST/OBSTRUCT/DISARM OFFICER,2119
ARMED - KNIFE / CUTTING INSTRUMENT,2074
OTHER WEAPONS VIOLATION,2041
POSSESSION OF DRUG EQUIPMENT,1975
ATTEMPT: ARMED-HANDGUN,1958
ENDANGERING LIFE/HEALTH CHILD,1952
ATTEMPT ARMED - HANDGUN,1929
"THEFT BY LESSEE,MOTOR VEH",1884
AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,1861
"TRUCK, BUS, MOTOR HOME",1809
"THEFT BY LESSEE, MOTOR VEHICLE",1804
POSSESS - COCAINE,1794
UNLAWFUL USE - OTHER FIREARM,1791
UNLAWFUL USE - HANDGUN,1781
ENDANGERING LIFE / HEALTH OF CHILD,1728
POSSESS - CANNABIS 30 GRAMS OR LESS,1702
THEFT OF LOST/MISLAID PROP,1701
LIQUOR LICENSE VIOLATION,1684
GUN OFFENDER: ANNUAL REGISTRATION,1679
"CYCLE, SCOOTER, BIKE WITH VIN",1674
GUN OFFENDER - ANNUAL REGISTRATION,1642
ARMED - OTHER DANGEROUS WEAPON,1638
SEX OFFENDER: FAIL TO REGISTER,1548
OTHER,1539
NON-CONSENSUAL DISSEMINATION OF PRIVATE SEXUAL IMAGES,1534
AGGRAVATED - OTHER,1512
BOMB THREAT,1486
PREDATORY,1464
GAME/DICE,1410
CHILD PORNOGRAPHY,1405
POSS: PCP,1395
ATTEMPT STRONG ARM - NO WEAPON,1387
AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,1380
"AGGRAVATED - HANDS, FISTS, FEET, NO / MINOR INJURY",1320
VIOLATION OF CIVIL NO CONTACT ORDER,1283
MANUFACTURE / DELIVER - CRACK,1241
RESIST / OBSTRUCT / DISARM OFFICER,1223
OTHER VIOLATION,1218
AGG CRIM SEX ABUSE FAM MEMBER,1199
SEX OFFENDER - FAIL TO REGISTER,1195
AGGRAVATED FINANCIAL IDENTITY THEFT,1162
"CYCLE, SCOOTER, BIKE W-VIN",1154
INTIMIDATION,1154
AGG CRIMINAL SEXUAL ABUSE,1133
POSS: BARBITUATES,1112
SEX OFFENDER: FAIL REG NEW ADD,1094
AGGRAVATED CRIMINAL SEXUAL ABUSE,1088
UNLAWFUL USE OTHER DANG WEAPON,1057
FORFEIT PROPERTY,1051
AGGRAVATED - OTHER FIREARM,1045
POSSESS - SYNTHETIC DRUGS,1036
AGGRAVATED: OTHER,1006
AGG: HANDS/FIST/FEET NO/MINOR INJURY,991
CHILD ABDUCTION,974
"AGGRAVATED - HANDS, FISTS, FEET, SERIOUS INJURY",961
SEX OFFENDER - FAIL TO REGISTER NEW ADDRESS,941
ARSON THREAT,939
AGG: HANDS/FIST/FEET SERIOUS INJURY,936
ANIMAL ABUSE/NEGLECT,910
OBSTRUCTING JUSTICE,904
POSS: HEROIN(BRN/TAN),864
POSS: HALLUCINOGENS,856
TO STATE SUP PROP,853
ANIMAL ABUSE / NEGLECT,836
AGGRAVATED OF A CHILD,818
GUN OFFENDER: DUTY TO REGISTER,817
FALSE POLICE REPORT,810
ATTEMPT NON-AGGRAVATED,770
"AGGRAVATED POLICE OFFICER - HANDS, FISTS, FEET, NO INJURY",770
PROHIBITED PLACES,744
AGGRAVATED POLICE OFFICER - OTHER DANGEROUS WEAPON,737
VIOLATION OF STALKING NO CONTACT ORDER,729
SEXUAL EXPLOITATION OF A CHILD,709
AGGRAVATED PO: OTHER DANG WEAP,707
AGG PRO.EMP: OTHER DANG WEAPON,698
EXTORTION,694
ATTEMPT ARSON,672
AGGRAVATED: OTHER FIREARM,665
CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,660
GUN OFFENDER - DUTY TO REGISTER,645
SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,634
CRIM SEX ABUSE BY FAM MEMBER,613
UNLAWFUL POSS OTHER FIREARM,608
SOLICIT NARCOTICS ON PUBLIC WAY,608
FINANCIAL EXPLOITATION OF AN ELDERLY OR DISABLED PERSON,597
SOLICIT FOR BUSINESS,593
AGG SEX ASSLT OF CHILD FAM MBR,591
AGGRAVATED PROTECTED EMPLOYEE - OTHER DANGEROUS WEAPON,589
UNLAWFUL POSS AMMUNITION,585
POSSESS - HALLUCINOGENS,581
DECEPTIVE COLLECTION PRACTICES,535
POSSESS - PCP,531
VIOLATION GPS MONITORING DEVICE,531
ATTEMPT: ARMED-KNIFE/CUT INSTR,522
EMBEZZLEMENT,507
PEEPING TOM,501
CHILD ABANDONMENT,501
UNAUTHORIZED VIDEOTAPING,496
UNLAWFUL POSSESSION - OTHER FIREARM,490
POSSESS - BARBITURATES,485
ARMED - OTHER FIREARM,469
POSS FIREARM/AMMO:NO FOID CARD,452
CHILD ABDUCTION/STRANGER,450
POSS: METHAMPHETAMINES,436
DELIVERY CONTAINER THEFT,435
"AGGRAVATED P.O. - HANDS, FISTS, FEET, SERIOUS INJURY",422
ALTER/FORGE PRESCRIPTION,421
GUN OFFENDER: DUTY TO REPORT CHANGE OF INFORMATION,416
FINANCIAL ID THEFT: OVER $300,412
MANU/DELIVER:COCAINE,412
OBSCENE MATTER,406
UNLAWFUL USE OTHER FIREARM,404
CYBERSTALKING,400
TO STATE SUPPORTED PROPERTY,398
UNLAWFUL RESTRAINT,397
LOOTING,397
ARMED WHILE UNDER THE INFLUENCE,397
FINAN EXPLOIT-ELDERLY/DISABLED,388
POSSESS - METHAMPHETAMINE,384
ATTEMPT: AGGRAVATED,384
SELL/GIVE/DEL LIQUOR TO MINOR,383
STATE BENEFITS FRAUD,376
ATTEMPT POSSESSION NARCOTICS,375
UNLAWFUL USE - OTHER DANGEROUS WEAPON,374
ATTEMPT AGGRAVATED,371
UNLAWFUL POSSESSION - AMMUNITION,370
STOLEN PROP: BUY/RECEIVE/POS.,364
ATTEMPT: ARMED-OTHER DANG WEAP,359
UNLAWFUL USE OF A COMPUTER,349
POSSESS - HEROIN (TAN / BROWN TAR),347
STOLEN PROPERTY BUY / RECEIVE / POSSESS,345
ATTEMPT ARMED - KNIFE / CUTTING INSTRUMENT,345
IMPERSONATION,340
SEX ASSLT OF CHILD BY FAM MBR,331
NON-CONSENSUAL DISSEMINATION PRIVATE SEXUAL IMAGES,325
CALL OPERATION,317
UNLAWFUL INTERFERE/VISITATION,313
ILLEGAL POSSESSION BY MINOR,313
AGGRAVATED POLICE OFFICER - HANDGUN,305
PROBATION VIOLATION,304
OBSCENE TELEPHONE CALLS,300
OBSTRUCTING SERVICE,300
ARMED: OTHER FIREARM,299
MANU/DELIVER:SYNTHETIC DRUGS,298
"CYCLE, SCOOTER, BIKE NO VIN",297
SOLICIT FOR PROSTITUTE,294
ILLEGAL POSSESSION CASH CARD,292
MANUFACTURE / DELIVER - CANNABIS 10 GRAMS OR LESS,290
AGG PRO.EMP:KNIFE/CUTTING INST,285
AGGRAVATED PO: HANDGUN,266
"AGG. PROTECTED EMPLOYEE - HANDS, FISTS, FEET, SERIOUS INJURY",259
UNLAWFUL USE/SALE AIR RIFLE,256
POSS: AMPHETAMINES,248
VIOLENT OFFENDER: ANNUAL REGISTRATION,245
MANU/DELIVER:PCP,243
POSSESS - AMPHETAMINES,238
TO AIRPORT,233
ATTEMPT ARMED - OTHER DANGEROUS WEAPON,232
CRIMINAL DRUG CONSPIRACY,228
POSSESS FIREARM / AMMUNITION - NO FOID CARD,226
MOB ACTION,209
KIDNAPPING,202
MANU/DELIVER: HEROIN(BRN/TAN),200
TAMPER WITH MOTOR VEHICLE,199
MANUFACTURE / DELIVER - COCAINE,194
ILLEGAL CONSUMPTION BY MINOR,190
VIOLENT OFFENDER - ANNUAL REGISTRATION,189
AGGRAVATED PROTECTED EMPLOYEE - HANDGUN,189
ATTEMPT CRIMINAL SEXUAL ABUSE,188
AGGRAVATED PO:KNIFE/CUT INSTR,186
ATT CRIM SEXUAL ABUSE,186
AGG PRO.EMP: HANDGUN,180
AGGRAVATED: KNIFE/CUT INSTR,176
AGG PRO EMP HANDS SERIOUS INJ,173
BOARD PLANE WITH WEAPON,172
"THEFT/RECOVERY: TRUCK,BUS,MHOME",172
AGGRAVATED PROTECTED EMPLOYEE - KNIFE / CUTTING INSTRUMENT,170
MANU/DELIVER: HALLUCINOGEN,167
CHILD ABDUCTION / STRANGER,164
INDECENT SOLICITATION OF A CHILD,162
GUN OFFENDER - DUTY TO REPORT CHANGE OF INFORMATION,161
INSTITUTIONAL VANDALISM,159
POSSESSION OF BURGLARY TOOLS,155
FALSE FIRE ALARM,154
INDECENT SOLICITATION/CHILD,154
VIO BAIL BOND: DOM VIOLENCE,145
SELL / GIVE / DELIVER LIQUOR TO MINOR,142
