iucr,row_count
0486,263832
0820,256571
0810,184981
0460,180181
1320,163731
0560,156906
1310,152547
0910,137615
0860,115547
0890,86546
0610,71337
1153,54389
143A,48881
2820,44730
031A,42568
051A,41268
0620,40951
1330,39518
1150,36354
1811,32536
0320,32183
2825,31965
2826,29700
1130,26209
2024,25874
1154,24819
041A,23249
0430,21955
4387,20953
0870,20091
0520,17372
0920,16274
1152,15402
1477,14606
1365,14492
2027,13755
5002,13364
0281,12811
0497,12531
0930,12412
0530,12258
0470,10812
2014,10508
502P,10117
0420,10091
1120,9541
2093,9525
1305,9306
1210,8846
1812,8414
1360,8382
0710,8222
0498,7795
0326,7765
0496,7700
0110,7448
0454,7290
1822,7138
1750,6985
1156,6960
0484,6935
502R,6500
3731,6264
0330,6131
1345,6109
2022,5800
1506,5725
5011,5498
0630,5475
0880,5471
0545,5401
1121,5310
5000,4989
1350,4966
1563,4938
4625,4848
1780,4826
0312,4705
1220,4649
1110,4581
2017,4451
0850,4381
0760,4306
0313,4274
1821,4204
141A,4164
1122,4161
1020,4080
033A,3888
1206,3688
1710,3680
0340,3529
2092,3508
0325,3482
0495,3435
3710,3342
5111,3321
2028,3214
1752,3060
0650,3040
5001,3039
0917,2828
4650,2743
0554,2697
1242,2665
0580,2591
1570,2557
0265,2518
0440,2312
1562,2221
141B,2195
5007,2041
4651,2035
2170,1975
1754,1971
2026,1926
0479,1898
1581,1859
0915,1809
501A,1746
2250,1684
2021,1597
051B,1523
2850,1486
0266,1464
5110,1462
2025,1437
141C,1431
1661,1410
1582,1405
4386,1283
1751,1273
1340,1251
2890,1218
2023,1211
1155,1162
3960,1154
143B,1098
2091,1051
1195,985
1790,974
1753,965
143C,955
2851,939
1585,933
3730,904
0334,867
0453,846
2031,820
0485,818
2860,810
0291,770
031B,768
0483,757
0331,755
1478,744
0584,729
1200,709
1544,709
0261,696
3970,694
1460,678
1090,672
1513,647
1792,614
2012,606
0553,599
0337,591
1025,588
5112,577
1480,555
0461,547
1185,535
4389,531
0558,530
0550,529
2210,525
2090,512
1140,507
2870,501
1755,501
1261,496
2020,486
4255,449
0865,435
5131,434
0462,432
0840,412
2018,406
1540,406
0583,400
1479,397
3400,397
4230,397
1187,376
2095,375
0557,375
5004,374
0263,370
0555,365
2900,353
1240,349
1170,340
1505,317
1565,316
1512,314
2220,313
2016,309
4510,304
2830,300
3760,300
0918,297
1151,292
0935,291
4388,278
2013,266
2015,265
0552,248
1335,233
5130,232
2050,228
3100,209
4210,202
502T,199
0895,198
2230,190
0488,174
4860,172
041B,167
033B,162
1375,159
1541,156
4310,155
1205,155
2840,154
2011,145
1192,141
2896,140
3750,140
1549,137
3800,137
0264,137
0275,135
1241,132
0925,132
0841,131
1720,129
500N,127
0937,126
1235,119
2034,113
5132,112
1536,112
4220,109
1135,101
2029,98
1535,96
2110,95
2032,93
3300,93
1245,89
1050,87
500E,80
1590,80
0482,80
1725,77
0452,72
1900,71
1537,71
4652,70
5003,70
142A,70
0142,70
1010,69
0927,68
0475,67
0271,65
2160,64
1791,62
1850,62
0487,61
1030,56
1680,51
0843,51
1507,50
1564,50
1566,50
0556,49
1370,48
1055,47
2033,43
1670,43
2010,42
0450,42
0551,42
5121,39
0273,39
0581,37
1580,35
5009,33
4800,33
1573,32
1518,28
1840,28
1450,27
1101,27
2040,27
4240,26
1481,26
501H,25
5013,23
3910,22
0262,20
2895,19
1651,19
1599,19
1255,19
2094,19
1435,18
1525,18
2080,16
3000,16
142B,16
3920,16
1726,15
1102,15
1265,14
2030,13
1715,13
1504,13
1263,13
0842,13
0938,12
3200,12
2019,12
3961,11
1262,11
1197,11
1577,11
2070,10
1519,10
0274,10
1260,9
1576,9
1530,8
5122,8
1515,8
4740,8
3610,8
3966,8
1682,7
0928,6
1520,6
1199,6
1230,5
4810,5
1574,5
1147,5
2240,5
0141,4
0480,4
1531,4
0489,4
3975,4
3751,4
1526,4
3740,3
3720,3
3980,3
0272,3
1160,3
1476,3
5120,3
2251,2
0451,2
1035,2
1511,2
1542,1
0830,1
1145,1
2111,1
2060,1
0130,1
1510,1
0481,1
0510,1
1860,1
4750,1
3770,1
