primary_type,row_count
THEFT,683051
BATTERY,553278
CRIMINAL DAMAGE,333165
ASSAULT,240162
DECEPTIVE PRACTICE,214181
OTHER OFFENSE,194174
MOTOR VEHICLE THEFT,171870
NARCOTICS,143280
BURGLARY,125109
ROBBERY,111668
WEAPONS VIOLATION,74495
CRIMINAL TRESPASS,67591
OFFENSE INVOLVING CHILDREN,26017
PUBLIC PEACE VIOLATION,16806
SEX OFFENSE,14211
CRIMINAL SEXUAL ASSAULT,11168
INTERFERENCE WITH PUBLIC OFFICER,11136
CRIM SEXUAL ASSAULT,7870
HOMICIDE,7523
PROSTITUTION,7241
ARSON,5467
STALKING,3757
LIQUOR LAW VIOLATION,2719
INTIMIDATION,1874
KIDNAPPING,1797
CONCEALED CARRY LICENSE VIOLATION,1696
GAMBLING,1523
OBSCENITY,687
HUMAN TRAFFICKING,134
PUBLIC INDECENCY,112
OTHER NARCOTIC VIOLATION,71
NON-CRIMINAL,26
RITUALISM,1
