column,dtype,null_count,null_pct,n_unique,uniqueness_ratio,avg_string_length,max_string_length,taxonomy_name_score,taxonomy_name_reasons,profile_status
incident_number_w_year,String,0,0.0,1259553,0.8370980669464186,11.000133584463264,13,-100,excluded:incident.*(?:id|number|num|no); excluded:year,profiled
year_of_incident,String,0,0.0,32,0.000021267178230916362,4.0,4,-100,excluded:year,profiled
service_number_id,String,0,0.0,1504666,1.0,14.000380815410198,19,0,"",profiled
watch,String,0,0.0,4,2.6583972788645453e-6,1.0,1,0,"",profiled
call_911_problem,String,133645,8.882037608346304,131,0.00009554922936993672,19.325978230822138,30,0,"",profiled
type_of_incident,String,48,0.003190076734637454,1315,0.0008739759859313128,33.95427876045614,77,5,type:5,profiled
type_location,String,1531,0.10175015584854047,74,0.0000492304417101591,23.443339420610922,40,-100,excluded:location,profiled
type_of_property,String,132837,8.82833798331324,42,0.000030616060748096155,6.204728869268692,36,5,type:5,profiled
incident_address,String,4219,0.28039445298823795,235746,0.15711717908063397,17.224590405392526,53,-100,excluded:address,profiled
apartment_number,String,1169556,77.72861219699256,18261,0.05449255468353675,3.5244158634478233,10,0,"",profiled
reporting_area,String,1179,0.07835625979453248,1154,0.0007675490376704288,4.0,4,0,"",profiled
beat,String,907,0.060279158298253574,273,0.00018154504810943774,2.9999986699996475,3,-100,excluded:beat,profiled
division,String,907,0.060279158298253574,16,0.000010640002819600747,9.443620287559376,13,0,"",profiled
sector,String,287,0.019074000475853115,45,0.000029912674930984813,2.9991750748980146,3,-100,excluded:sector,profiled
council_district,String,1676,0.11138684598442446,25,0.000016633510535665574,2.312042661627822,3,-100,excluded:district,profiled
target_area_action_grids,String,963026,64.00264244689518,32,0.00005907983162247988,16.635885458976443,25,0,"",profiled
community,String,1343196,89.26871478454355,28,0.00017340682479717595,14.455279618504985,22,0,"",profiled
date1_of_occurrence,String,0,0.0,5026,0.0033402761808933013,27.0,27,-100,excluded:date,profiled
year1_of_occurrence,String,0,0.0,51,0.00003389456530552295,4.0,4,-100,excluded:year,profiled
month1_of_occurence,String,0,0.0,12,7.975191836593635e-6,6.096696542621419,9,-100,excluded:month,profiled
day1_of_the_week,String,0,0.0,7,4.6521952380129545e-6,3.0,3,-100,excluded:day,profiled
time1_of_occurrence,String,0,0.0,1440,0.0009570230203912363,5.0,5,-100,excluded:time,profiled
day1_of_the_year,String,0,0.0,366,0.00024324335101610589,2.717790526269617,3,-100,excluded:year; excluded:day,profiled
date2_of_occurrence,String,27,0.001794418163233568,4780,0.0031768417540685837,27.0,27,-100,excluded:date,profiled
year2_of_occurrence,String,27,0.001794418163233568,45,0.00002990750605294692,4.0,4,-100,excluded:year,profiled
month2_of_occurence,String,27,0.001794418163233568,13,8.639946193073555e-6,6.096454365465736,9,-100,excluded:month,profiled
day2_of_the_week,String,27,0.001794418163233568,8,5.316889964968341e-6,3.0,3,-100,excluded:day,profiled
time2_of_occurrence,String,27,0.001794418163233568,1441,0.0009577048049399224,5.0,5,-100,excluded:time,profiled
day2_of_the_year,String,27,0.001794418163233568,367,0.00024391232714292266,2.717720994869866,3,-100,excluded:year; excluded:day,profiled
date_of_report,String,0,0.0,1106986,0.7357021425352869,27.0,27,-100,excluded:date,profiled
date_incident_created,String,0,0.0,1207153,0.8022730625932931,27.0,27,-100,excluded:date,profiled
offense_entered_year,String,0,0.0,13,8.639791156309773e-6,4.0,4,-100,excluded:year,profiled
offense_entered_month,String,0,0.0,12,7.975191836593635e-6,6.093942443040516,9,-100,excluded:month,profiled
offense_entered_day_of_the_week,String,0,0.0,7,4.6521952380129545e-6,3.0,3,-100,excluded:day,profiled
offense_entered_time,String,0,0.0,1440,0.0009570230203912363,5.0,5,-100,excluded:time,profiled
offense_entered_date_time,String,0,0.0,366,0.00024324335101610589,2.716734477950588,3,-100,excluded:date; excluded:time,profiled
cfs_number,String,133643,8.88190468848236,1085664,0.791864177333276,10.000000729382366,11,0,"",profiled
call_received_date_time,String,133643,8.88190468848236,1083866,0.7905527478386577,27.0,27,-100,excluded:date; excluded:time,profiled
call_date_time,String,133643,8.88190468848236,1084161,0.790767915636718,27.0,27,-100,excluded:date; excluded:time,profiled
call_cleared_date_time,String,134226,8.920650828821811,1082580,0.7899506727766265,27.0,27,-100,excluded:date; excluded:time,profiled
call_dispatch_date_time,String,133909,8.89958303038681,1083910,0.7907382563065518,27.0,27,-100,excluded:date; excluded:time,profiled
special_report_pre_rms,String,1497964,99.55458553592624,21,0.003133393017009848,17.661295135780364,30,0,"",profiled
person_involvement_type,String,55069,3.659881993744791,8,5.5187752182158216e-6,6.473528159895475,16,5,type:5,profiled
victim_type,String,63591,4.226253534006882,10,6.9392640910431445e-6,10.065346356018944,20,5,type:5,profiled
victim_race,String,557558,37.05526675022895,13,0.000013725995345831731,9.419330213660956,32,0,"",profiled
victim_ethnicity,String,559138,37.1602734427441,4,4.230440558079719e-6,20.681299760557064,22,0,"",profiled
victim_gender,String,560259,37.234775026484286,6,6.35319306188963e-6,4.859612434045914,7,0,"",profiled
responding_officer_1_badge_no,String,136315,9.059485626710513,5374,0.003927354896514125,4.673944770018804,9,0,"",profiled
responding_officer_1_name,String,137438,9.134120130314635,5301,0.0038771880037565057,16.9342406679793,35,0,"",profiled
responding_officer_2_badge_no,String,1021559,67.89274164498966,5431,0.01124181599521431,4.648640984295405,9,0,"",profiled
responding_officer_2_name,String,1021619,67.89672924090794,5395,0.01116868544882796,17.043753506387578,37,0,"",profiled
reporting_officer_badge_no,String,134078,8.910814758890012,5432,0.003963262482963517,4.673772132836418,9,-100,excluded:report.*(?:id|number|num|no),profiled
assisting_officer_badge_no,String,374825,24.91084400126008,2283,0.0020206383022035846,4.325807790653729,6,0,"",profiled
