ucr_offense_description,nibrs_crime_category,hate_crime_description,nibrs_crime_against,nibrs_crime,offense_type,nibrs_type,nibrs_code,family_offense,nibrs_group,gang_related_offense,offense_status,ucr_offense_name,hate_crime,person_involvement_type,victim_type,type_of_property,ucr_code,penal_code,criminal_justice_information_service_code,type_of_incident,rms_code,weapon_used,source_file_uri
,,None,,,,NNCode,,false,,,Open,,,Victim,Individual,N/A,,NO OFFENSE,99999999,LEGACY HOMICIDE CODE,NA-99999999-MSC29,,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1967/part-00007-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-911-1.c000.snappy.parquet
,,None,,,,NNCode,,false,,,Open,,,Victim,Individual,N/A,,NO OFFENSE,99999999,LEGACY HOMICIDE CODE,NA-99999999-MSC29,,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1969/part-00002-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-908-2.c000.snappy.parquet
,,None,,,,NNCode,,false,,,Open,,,Victim,Individual,N/A,,NO OFFENSE,99999999,LEGACY HOMICIDE CODE,NA-99999999-MSC29,,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1972/part-00009-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-913-2.c000.snappy.parquet
,,None,,,,NNCode,,false,,,Open,,,Victim,Individual,N/A,,NO OFFENSE,99999999,LEGACY HOMICIDE CODE,NA-99999999-MSC29,,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1972/part-00009-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-913-2.c000.snappy.parquet
LOST PROPERTY,MISCELLANEOUS,None,MISCELLANEOUS,MISCELLANEOUS,NOT CODED,999 - No Coded,999,false,C,No,Suspended,LOST,,Victim,Government,N/A,4200,No Offense,99999999,LOST PROPERTY (NO OFFENSE),NA-99999999-X1,Other,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1974/part-00012-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-915-1.c000.snappy.parquet
LOST PROPERTY,MISCELLANEOUS,None,MISCELLANEOUS,MISCELLANEOUS,NOT CODED,999 - No Coded,999,false,C,No,Suspended,LOST,,Victim,Government,N/A,4200,No Offense,99999999,LOST PROPERTY (NO OFFENSE),NA-99999999-X1,Other,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1975/part-00002-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-908-1.c000.snappy.parquet
,MISCELLANEOUS,None,MISCELLANEOUS,MISCELLANEOUS,,999 - No Coded,999,false,C,,Suspended,,,Victim,Individual,N/A,,Theft Investigation,99999999,THEFT - PRELIMINARY INVESTIGATION,NA-99999999-Z25,,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1980/part-00009-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-913-3.c000.snappy.parquet
,,None,,,,NNCode,,false,,,Open,,,Victim,Individual,N/A,,NO OFFENSE,99999999,LEGACY HOMICIDE CODE,NA-99999999-MSC29,,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1980/part-00009-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-913-3.c000.snappy.parquet
SUDDEN DEATH,,None,,,NOT CODED,,,false,,,Clear by Arrest,SUDDEN DEATH & FOUND BODY,,Victim,Individual,N/A,4000,NO OFFENSE,99999999,LEGACY HOMICIDE CODE,NA-99999999-MSC29,,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1981/part-00005-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-909-2.c000.snappy.parquet
,MISCELLANEOUS,None,MISCELLANEOUS,MISCELLANEOUS,,999 - No Coded,999,false,C,,Suspended,,,Victim,Individual,N/A,,No Offense,99999999,LOST PROPERTY (NO OFFENSE),NA-99999999-X1,,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1982/part-00000-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-907-2.c000.snappy.parquet
,,None,,,,NNCode,,false,,,Suspended,,,Victim,Individual,N/A,,NO OFFENSE,99999999,LEGACY HOMICIDE CODE,NA-99999999-MSC29,,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1982/part-00000-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-907-2.c000.snappy.parquet
LOST PROPERTY,MISCELLANEOUS,None,MISCELLANEOUS,MISCELLANEOUS,NOT CODED,999 - No Coded,999,false,C,No,Suspended,LOST,,Victim,Society/Public,N/A,4200,No Offense,99999999,LOST PROPERTY (NO OFFENSE),NA-99999999-X1,Other,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1983/part-00000-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-907-3.c000.snappy.parquet
,MISCELLANEOUS,None,MISCELLANEOUS,MISCELLANEOUS,,999 - No Coded,999,,C,UNK,Suspended,,,Victim,Individual,,,No Offense,99999999,LOST PROPERTY (NO OFFENSE),NA-99999999-X1,,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1984/part-00000-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-907-4.c000.snappy.parquet
,LARCENY/ THEFT OFFENSES,None,PROPERTY,ALL OTHER LARCENY,,Coded,23H,,A,UNK,Suspended,,,Victim,Individual,,,PC 31.03(e)(2)(A),23990191,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),MB-23990191-F183,,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1985/part-00012-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-915-2.c000.snappy.parquet
,,None,,,,NNCode,,false,,,Open,,,Victim,Individual,N/A,,NO OFFENSE,99999999,LEGACY HOMICIDE CODE,NA-99999999-MSC29,,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1986/part-00004-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-905-2.c000.snappy.parquet
,,None,,,,NNCode,,false,,,Open,,,Victim,Individual,N/A,,NO OFFENSE,99999999,LEGACY HOMICIDE CODE,NA-99999999-MSC29,,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1986/part-00004-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-905-2.c000.snappy.parquet
,,None,,,,NNCode,,false,,,Open,,,Victim,Individual,N/A,,NO OFFENSE,99999999,LEGACY HOMICIDE CODE,NA-99999999-MSC29,,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1987/part-00007-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-911-2.c000.snappy.parquet
,,None,,,,NNCode,,false,,,Open,,,Victim,Individual,N/A,,NO OFFENSE,99999999,LEGACY HOMICIDE CODE,NA-99999999-MSC29,,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1988/part-00007-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-911-3.c000.snappy.parquet
,,None,,,,NNCode,,false,,,Open,,,Victim,Individual,N/A,,NO OFFENSE,99999999,LEGACY HOMICIDE CODE,NA-99999999-MSC29,,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1988/part-00007-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-911-3.c000.snappy.parquet
,,None,,,,NNCode,,false,,,Closed/Cleared,,,Victim,Individual,N/A,,NO OFFENSE,99999999,LEGACY HOMICIDE CODE,NA-99999999-MSC29,,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1989/part-00007-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-911-4.c000.snappy.parquet
,,None,,,,NNCode,,false,,,Open,,,Victim,Individual,N/A,,NO OFFENSE,99999999,LEGACY HOMICIDE CODE,NA-99999999-MSC29,,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1989/part-00007-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-911-4.c000.snappy.parquet
,MISCELLANEOUS,None,MISCELLANEOUS,MISCELLANEOUS,,999 - No Coded,999,false,C,,Closed/Cleared,,,Victim,Individual,N/A,,Fraud Investigation,99999999,FRAUD USE/POSS IDENTIFYING INFO-PRELIMINARY INVESTIGATION,NA-99999999-Z28,,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1989/part-00007-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-911-4.c000.snappy.parquet
,LARCENY/ THEFT OFFENSES,None,PROPERTY,ALL OTHER LARCENY,,Coded,23H,false,A,,Suspended,,,Victim,Individual,N/A,,PC 31.03(e)(3),23990193,"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",MA-23990193-F189,,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1989/part-00007-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-911-4.c000.snappy.parquet
FOUND PROPERTY,,None,,,NOT CODED,,,false,,No,Suspended,FOUND,,Victim,Individual,Motor Vehicle,4300,No Offense,99999999,FOUND PROPERTY (NO OFFENSE),NA-99999999-X3,Other,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1989/part-00007-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-911-4.c000.snappy.parquet
,,None,,,,NNCode,,false,,,Open,,,Victim,Individual,N/A,,NO OFFENSE,99999999,LEGACY HOMICIDE CODE,NA-99999999-MSC29,,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1990/part-00000-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-907-5.c000.snappy.parquet
LOST PROPERTY,MISCELLANEOUS,None,MISCELLANEOUS,MISCELLANEOUS,NOT CODED,999 - No Coded,999,false,C,No,Suspended,LOST,,Victim,Government,N/A,4200,No Offense,99999999,LOST PROPERTY (NO OFFENSE),NA-99999999-X1,Other,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1990/part-00000-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-907-5.c000.snappy.parquet
SUDDEN DEATH,,None,,,NOT CODED,,,false,,,Clear by Arrest,SUDDEN DEATH & FOUND BODY,,Victim,Individual,N/A,4000,NO OFFENSE,99999999,LEGACY HOMICIDE CODE,NA-99999999-MSC29,Unknown,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1991/part-00012-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-915-3.c000.snappy.parquet
,MISCELLANEOUS,None,MISCELLANEOUS,MISCELLANEOUS,,999 - No Coded,999,false,C,,Suspended,,,Victim,Individual,Medical Facility,,Assault Investigation,99999999,ASSAULT - PRELIMINARY INVESTIGATION *NON FAMILY VIOLENCE,NA-99999999-Z2,,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1991/part-00012-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-915-3.c000.snappy.parquet
SUDDEN DEATH,,None,,,NOT CODED,,,false,,,Open,SUDDEN DEATH & FOUND BODY,,Victim,Individual,N/A,4000,NO OFFENSE,99999999,LEGACY HOMICIDE CODE,NA-99999999-MSC29,,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1991/part-00012-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-915-3.c000.snappy.parquet
,MISCELLANEOUS,None,MISCELLANEOUS,MISCELLANEOUS,,999 - No Coded,999,,C,UNK,Suspended,,,Victim,Individual,,,No Offense,99999999,LOST PROPERTY (NO OFFENSE),NA-99999999-X1,,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1992/part-00009-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-913-4.c000.snappy.parquet
,MISCELLANEOUS,None,MISCELLANEOUS,MISCELLANEOUS,,999 - No Coded,999,false,C,,Suspended,,,Victim,Individual,N/A,,No Offense,99999999,LOST PROPERTY (NO OFFENSE),NA-99999999-X1,,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1992/part-00009-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-913-4.c000.snappy.parquet
,MISCELLANEOUS,None,MISCELLANEOUS,MISCELLANEOUS,,999 - No Coded,999,false,C,,Suspended,,,Victim,Individual,N/A,,Assault Investigation,99999999,ASSAULT - PRELIMINARY INVESTIGATION *NON FAMILY VIOLENCE,NA-99999999-Z2,,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1993/part-00005-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-909-3.c000.snappy.parquet
,MISCELLANEOUS,None,MISCELLANEOUS,MISCELLANEOUS,,999 - No Coded,999,false,C,,Suspended,,,Victim,Individual,None,,Fraud Investigation,99999999,FRAUD USE/POSS IDENTIFYING INFO-PRELIMINARY INVESTIGATION,NA-99999999-Z28,,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1995/part-00002-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-908-3.c000.snappy.parquet
,MISCELLANEOUS,None,MISCELLANEOUS,MISCELLANEOUS,,999 - No Coded,999,false,C,,Suspended,,,Victim,Individual,N/A,,Fraud Investigation,99999999,FRAUD USE/POSS IDENTIFYING INFO-PRELIMINARY INVESTIGATION,NA-99999999-Z28,,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1996/part-00000-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-907-6.c000.snappy.parquet
,MISCELLANEOUS,None,MISCELLANEOUS,MISCELLANEOUS,,999 - No Coded,999,false,C,,Suspended,,,Victim,Individual,N/A,,No Offense,99999999,LOST PROPERTY (NO OFFENSE),NA-99999999-X1,,s3://crimenet-data/raw_files/landing/dallas/occurrence_year=1997/part-00000-tid-5357020555109249243-c5e6eae5-ca8b-4aef-be6d-025eda2aafae-907-7.c000.snappy.parquet
