column,dtype
incident_number_w_year,String
year_of_incident,String
service_number_id,String
watch,String
call_911_problem,String
type_of_incident,String
type_location,String
type_of_property,String
incident_address,String
apartment_number,String
reporting_area,String
beat,String
division,String
sector,String
council_district,String
target_area_action_grids,String
community,String
date1_of_occurrence,String
year1_of_occurrence,String
month1_of_occurence,String
day1_of_the_week,String
time1_of_occurrence,String
day1_of_the_year,String
date2_of_occurrence,String
year2_of_occurrence,String
month2_of_occurence,String
day2_of_the_week,String
time2_of_occurrence,String
day2_of_the_year,String
date_of_report,String
date_incident_created,String
offense_entered_year,String
offense_entered_month,String
offense_entered_day_of_the_week,String
offense_entered_time,String
offense_entered_date_time,String
cfs_number,String
call_received_date_time,String
call_date_time,String
call_cleared_date_time,String
call_dispatch_date_time,String
special_report_pre_rms,String
person_involvement_type,String
victim_type,String
victim_race,String
victim_ethnicity,String
victim_gender,String
responding_officer_1_badge_no,String
responding_officer_1_name,String
responding_officer_2_badge_no,String
responding_officer_2_name,String
reporting_officer_badge_no,String
assisting_officer_badge_no,String
reviewing_officer_badge_no,String
element_number_assigned,String
investigating_unit_1,String
investigating_unit_2,String
offense_status,String
ucr_disposition,String
modus_operandi_mo,String
family_offense,String
hate_crime,String
hate_crime_description,String
weapon_used,String
gang_related_offense,String
drug_related_istevencident,String
rms_code,String
criminal_justice_information_service_code,String
penal_code,String
ucr_offense_name,String
ucr_offense_description,String
ucr_code,String
offense_type,String
nibrs_crime,String
nibrs_crime_category,String
nibrs_crime_against,String
nibrs_code,String
nibrs_group,String
nibrs_type,String
update_date,String
x_coordinate,String
y_cordinate,String
zip_code,String
city,String
state,String
location1,String
source_file,String
source_row_hash,String
source_system,String
ingested_at,"Datetime(time_unit='ns', time_zone=None)"
rescued_data,String
source_file_2,String
occurrence_timestamp,"Datetime(time_unit='ns', time_zone=None)"
source_city,String
source_file_uri,String
ingestion_run_id,String
ingested_at_utc,"Datetime(time_unit='us', time_zone='UTC')"
snapshot_id,String
occurrence_year,Int64
