ucr_offense_description,nibrs_crime_category,hate_crime_description,nibrs_crime_against,nibrs_crime,offense_type,nibrs_type,nibrs_code,family_offense,nibrs_group,row_count
,MISCELLANEOUS,None,MISCELLANEOUS,MISCELLANEOUS,,999 - No Coded,999,false,C,228433
,MOTOR VEHICLE THEFT,None,PROPERTY,UUMV,,Coded,240,false,A,98066
,MOTOR VEHICLE THEFT,None,PROPERTY,UUMV,,Not Coded,240,false,A,97657
,LARCENY/ THEFT OFFENSES,None,PROPERTY,THEFT FROM MOTOR VEHICLE,,Coded,23F,false,A,69833
,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,None,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,,Coded,290,false,A,59497
THEFT,,None,,,PART1,,,false,,58780
,DRUG/ NARCOTIC VIOLATIONS,None,SOCIETY,DRUG/ NARCOTIC VIOLATIONS,,Coded,35A,false,A,39045
,LARCENY/ THEFT OFFENSES,None,PROPERTY,ALL OTHER LARCENY,,Coded,23H,false,A,35290
AUTO THEFT - UUMV,,None,,,PART1,,,false,,34313
,ALL OTHER OFFENSES,None,"PERSON, PROPERTY, OR SOCIETY",ALL OTHER OFFENSES,,90Z - No Coded,90Z,false,B,31748
CRIMINAL MISCHIEF/VANDALISM,,None,,,PART2,,,false,,31319
,BURGLARY/ BREAKING & ENTERING,None,PROPERTY,BURGLARY-BUSINESS,,Coded,220,false,A,30000
BURGLARY,,None,,,PART1,,,false,,26472
,LARCENY/ THEFT OFFENSES,None,PROPERTY,THEFT FROM MOTOR VEHICLE,,Coded,23F,,A,26440
,LARCENY/ THEFT OFFENSES,None,PROPERTY,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,,Coded,23G,false,A,26038
,MISCELLANEOUS,None,MISCELLANEOUS,MISCELLANEOUS,,999 - No Coded,999,,C,25958
,ASSAULT OFFENSES,None,PERSON,AGG ASSAULT - NFV,,Coded,13A,false,A,23562
,BURGLARY/ BREAKING & ENTERING,None,PROPERTY,BURGLARY-RESIDENCE,,Coded,220,false,A,22540
,TRAFFIC VIOLATION - HAZARDOUS,None,"PERSON, PROPERTY, OR SOCIETY",TRAFFIC VIOLATION - HAZARDOUS,,999 - No Coded,999,false,C,22540
FOUND PROPERTY,,None,,,NOT CODED,,,false,,21928
,LARCENY/ THEFT OFFENSES,None,PROPERTY,ALL OTHER LARCENY,,Coded,23H,,A,20345
,ASSAULT OFFENSES,None,PERSON,SIMPLE ASSAULT,,Coded,13B,false,A,19733
,ASSAULT OFFENSES,None,PERSON,INTIMIDATION,,Coded,13C,false,A,17610
THEFT,LARCENY/ THEFT OFFENSES,None,PROPERTY,THEFT FROM MOTOR VEHICLE,PART1,Coded,23F,false,A,14742
FOUND PROPERTY,MISCELLANEOUS,None,MISCELLANEOUS,MISCELLANEOUS,NOT CODED,999 - No Coded,999,false,C,14646
CRIMINAL MISCHIEF/VANDALISM,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,None,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,PART2,Coded,290,false,A,14183
,ROBBERY,None,PROPERTY,ROBBERY-INDIVIDUAL,,Coded,120,false,A,13752
,LARCENY/ THEFT OFFENSES,None,PROPERTY,SHOPLIFTING,,Coded,23C,,A,11591
,DRIVING UNDER THE INFLUENCE,None,SOCIETY,DUI,,90D - No Coded,90D,false,B,11105
,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,None,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,,Coded,290,,A,11026
,WEAPON LAW VIOLATIONS,None,SOCIETY,WEAPON LAW VIOLATIONS,,Coded,520,false,A,10977
,ALL OTHER OFFENSES,None,"PERSON, PROPERTY, OR SOCIETY",ALL OTHER OFFENSES,,90Z - No Coded,90Z,,B,10905
,PUBLIC INTOXICATION,None,SOCIETY,PUBLIC INTOXICATION,,90E - No Coded,90E,false,B,10318
,PUBLIC INTOXICATION,None,SOCIETY,PUBLIC INTOXICATION,,90Z - No Coded,90Z,false,B,9480
THEFT,LARCENY/ THEFT OFFENSES,None,PROPERTY,ALL OTHER LARCENY,PART1,Coded,23H,false,A,9355
,TRESPASS OF REAL PROPERTY,None,SOCIETY,TRESPASS OF REAL PROPERTY,,90J - No Coded,90J,false,B,9130
ROBBERY,,None,,,PART1,,,false,,8496
AUTO THEFT - UUMV,MOTOR VEHICLE THEFT,None,PROPERTY,UUMV,PART1,Coded,240,false,A,8385
AUTO THEFT - UUMV,MOTOR VEHICLE THEFT,None,PROPERTY,UUMV,PART1,Not Coded,240,false,A,8372
MOTOR VEHICLE ACCIDENT,,None,,,PART2,,,false,,7895
,DRUG/ NARCOTIC VIOLATIONS,None,SOCIETY,DRUG/ NARCOTIC VIOLATIONS,,No Coded,35A,false,A,7852
BURGLARY,BURGLARY/ BREAKING & ENTERING,None,PROPERTY,BURGLARY-RESIDENCE,PART1,Coded,220,false,A,7846
,LARCENY/ THEFT OFFENSES,None,PROPERTY,SHOPLIFTING,,Coded,23C,false,A,7540
,FRAUD OFFENSES,None,PROPERTY,FALSE PRETENSES/ SWINDLE/ CONFIDENCE GAME,,Coded,26A,false,A,6632
,LARCENY/ THEFT OFFENSES,None,PROPERTY,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,,Coded,23G,,A,6536
DRUNK & DISORDERLY,,None,,,PART2,,,false,,6388
ASSAULT,,None,,,PART2,,,false,,6192
,DRUG/ NARCOTIC VIOLATIONS,None,SOCIETY,DRUG EQUIPMENT VIOLATIONS,,Coded,35B,false,A,5675
BURGLARY,BURGLARY/ BREAKING & ENTERING,None,PROPERTY,BURGLARY-BUSINESS,PART1,Coded,220,false,A,5598
OTHER OFFENSES,,None,,,PART2,,,false,,5361
