hate_crime_description,row_count
None,1478963
Unknown,23450
,1719
Anti White,93
Anti Homosexual (Gays and Lesbians),83
Anti Black Or African American,82
Anti Male Homosexual (Gay),42
Anti Hispanic,42
Anti Jewish,38
Anti Asian/Pacific Islander,24
Anti Other Ethnicity/Natl Origin,22
Anti Female Homosexual (Lesbian),17
Anti Multi-Racial Group,15
Anti Transgender,13
Anti Arab,12
Anti Other Religion,10
Anti Islamic (Muslim),10
Anti Am. Indian/Alaskan Native,8
Anti Protestant,7
Anti Multi-Religious Group,5
Anti-Hawaiian Or Other Pacific Islander,3
Anti Physical Disability,3
Anti Catholic,2
Anti Male,1
Anti Sikh,1
Anti Athieism/Agnostic,1
