nibrs_crime,row_count
MISCELLANEOUS,277682
,259688
UUMV,219259
THEFT FROM MOTOR VEHICLE,117170
DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,89610
ALL OTHER LARCENY,68773
DRUG/ NARCOTIC VIOLATIONS,48556
ALL OTHER OFFENSES,46786
THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,39178
BURGLARY-BUSINESS,37557
BURGLARY-RESIDENCE,32590
TRAFFIC VIOLATION - HAZARDOUS,27967
AGG ASSAULT - NFV,27534
PUBLIC INTOXICATION,25039
INTIMIDATION,24123
SIMPLE ASSAULT,23071
SHOPLIFTING,21594
ROBBERY-INDIVIDUAL,20167
DUI,12417
WEAPON LAW VIOLATIONS,11870
TRESPASS OF REAL PROPERTY,10659
FALSE PRETENSES/ SWINDLE/ CONFIDENCE GAME,10238
ROBBERY-BUSINESS,9386
THEFT OF BUILDING,6638
DRUG EQUIPMENT VIOLATIONS,5710
COUNTERFEITING / FORGERY,3764
"FAMILY OFFENSES, NONVIOLENT",3649
DISORDERLY CONDUCT,3448
EMBEZZELMENT,3221
CREDIT CARD/ ATM FRAUD,2962
IDENTITY THEFT,2835
STOLEN PROPERTY OFFENSES,2376
ARSON,1636
TRAFFIC VIOLATION - NON HAZARDOUS,1198
POCKET-PICKING,1027
ANIMAL CRUELTY,946
MURDER & NONNEGLIGENT MANSLAUGHTER,830
IMPERSONATION,637
PURSE-SNATCHING,523
BETTING/ WAGERING,493
WIRE FRAUD,481
THEFT OF COIN-OPERATED MACHINE OR DEVICE,434
KIDNAPPING/ ABDUCTION,275
JUSTIFIABLE HOMICIDE,116
HACKING/COMPUTER INVASION,81
PORNOGRAPHY/ OBSCENE MATERIAL,79
NEGLIGENT MANSLAUGHTER,71
LIQUOR LAW VIOLATIONS,69
EXTORTION/ BLACKMAIL,66
SHOPLIFT CONTACT,56
WELFARE FRAUD,39
AGG ASSAULT - FV,32
OPERATING/ PROMOTING/ ASSISTING GAMBLING,19
BRIBERY,16
PEEPING TOM,9
"HUMAN TRAFFICKING, COMMERCIAL SEX ACTS",8
CURFEW/ LOITERING/ VAGRANCY VIOLATIONS,5
"HUMAN TRAFFICKING, INVOLUNTARY SERVITUDE",3
