nibrs_crime_category,row_count
MISCELLANEOUS,277682
,259688
LARCENY/ THEFT OFFENSES,255337
MOTOR VEHICLE THEFT,219259
DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,89610
ASSAULT OFFENSES,74760
BURGLARY/ BREAKING & ENTERING,70147
DRUG/ NARCOTIC VIOLATIONS,54266
ALL OTHER OFFENSES,46786
ROBBERY,29609
TRAFFIC VIOLATION - HAZARDOUS,27967
PUBLIC INTOXICATION,25039
FRAUD OFFENSES,17273
DRIVING UNDER THE INFLUENCE,12417
WEAPON LAW VIOLATIONS,11870
TRESPASS OF REAL PROPERTY,10659
COUNTERFEITING / FORGERY,3764
"FAMILY OFFENSES, NONVIOLENT",3649
DISORDERLY CONDUCT,3448
EMBEZZELMENT,3221
STOLEN PROPERTY OFFENSES,2376
ARSON,1636
TRAFFIC VIOLATION - NON HAZARDOUS,1198
HOMICIDE OFFENSES,1017
ANIMAL OFFENSES,946
GAMBLING OFFENSES,512
KIDNAPPING/ ABDUCTION,275
PORNOGRAPHY/ OBSCENE MATERIAL,79
LIQUOR LAW VIOLATIONS,69
EXTORTION/ BLACKMAIL,66
BRIBERY,16
HUMAN TRAFFICKING,11
PEEPING TOM,9
CURFEW/ LOITERING/ VAGRANCY VIOLATIONS,5
