ucr_offense_description,row_count
,1098116
THEFT,101110
AUTO THEFT - UUMV,53455
CRIMINAL MISCHIEF/VANDALISM,52836
BURGLARY,43347
FOUND PROPERTY,37473
ROBBERY,16067
ASSAULT,12406
MOTOR VEHICLE ACCIDENT,12206
DRUNK & DISORDERLY,11653
OTHER OFFENSES,9789
AGGRAVATED ASSAULT,7533
DISORDERLY CONDUCT,6378
SUDDEN DEATH,5349
FRAUD,5195
MOTOR VEHICLE THEFT,5141
ACCIDENTAL INJURY,4800
LOST PROPERTY,4334
FORGERY & COUNTERFEIT,2954
NARCOTICS/DRUGS,2695
DWI,2581
EMBEZZLEMENT,2148
HOME ACCIDENT,1503
ANIMAL BITE,1278
ARSON,951
WEAPONS,658
TRAFFIC FATALITY,472
TRAFFIC,418
MURDER,405
FIREARMS ACCIDENT,353
CHILD (OFFENSES AGAINST),295
FORGERY & COUNTERFEITING,202
NO UCR REPORTABLE OFFENSE,183
OCCUPATIONAL ACCIDENT,183
LIQUOR,33
GAMBLING,31
FAIL TO ID,31
INTOXICATION MANSLAUGHTER,30
KIDNAPPING/ABDUCTION,29
STOLEN PROPERTY OFFENSES,25
ANIMAL CRUELTY,10
PORNOGRAPHY/OBSCENE MATERIAL,4
DRUNK &DISORDERLY,2
HUMAN TRAFFICKING,2
BRIBERY,1
AIRPLANE,1
