column,dtype,null_count,null_pct,n_unique,uniqueness_ratio,avg_string_length,max_string_length,taxonomy_name_score,taxonomy_name_reasons,profile_status
objectid,Int64,0,0.0,375777,1.0,,,-100,excluded:object.*id,profiled
incident_id,String,0,0.0,351810,0.9362201518453763,12.137855696330536,15,-100,excluded:incident.*(?:id|number|num|no),profiled
offense_id,String,0,0.0,375777,1.0,18.137855696330536,21,15,offen[sc]e:15,profiled
offense_code,String,0,0.0,135,0.0003592556223504898,4.0,4,20,offen[sc]e:15; code:5,profiled
offense_code_extension,Int64,0,0.0,7,0.000018628069307062434,,,20,offen[sc]e:15; code:5,profiled
offense_type_id,String,0,0.0,173,0.00046037942716025727,20.885599704079812,30,20,offen[sc]e:15; type:5,profiled
offense_category_id,String,0,0.0,13,0.00003459498585597309,14.48780260633301,28,23,offen[sc]e:15; category:8,profiled
first_occurrence_date,Int64,0,0.0,241675,0.6431340928263305,,,-100,excluded:date,profiled
last_occurrence_date,Int64,175783,46.778541528619364,142497,0.7125063751912557,,,-100,excluded:date,profiled
reported_date,Int64,0,0.0,326661,0.8692948211306174,,,-100,excluded:date,profiled
incident_address,String,0,0.0,75355,0.2005311660905271,18.19363079698864,61,-100,excluded:address,profiled
geo_x,Int64,0,0.0,44410,0.11818179398952038,,,0,"",profiled
geo_y,Int64,0,0.0,42597,0.11335712403899122,,,0,"",profiled
geo_lon,Float64,1,0.0002661152758151776,87137,0.2318854849697692,,,0,"",profiled
geo_lat,Float64,1,0.0002661152758151776,87084,0.23174444349825427,,,0,"",profiled
district_id,String,34,0.009047919377716039,9,0.00002395254203005778,1.0,1,-100,excluded:district,profiled
precinct_id,String,0,0.0,40,0.00010644611032607105,3.0,3,-100,excluded:precinct,profiled
neighborhood_id,String,369,0.09819653677580055,79,0.00021043771043771043,11.089686421173763,26,0,"",profiled
is_crime,Int64,0,0.0,1,2.661152758151776e-6,,,10,crime:10,profiled
is_traffic,Int64,0,0.0,1,2.661152758151776e-6,,,0,"",profiled
victim_count,Int64,0,0.0,17,0.00004523959688858019,,,0,"",profiled
geometry_type,String,1,0.0002661152758151776,2,5.322319679809248e-6,5.0,5,5,type:5,profiled
geometry_json,String,1,0.0002661152758151776,87392,0.2325640807289449,66.78716309716427,74,0,"",profiled
source_city,String,0,0.0,1,2.661152758151776e-6,6.0,6,-100,ingestion_metadata,profiled
source_file_uri,String,0,0.0,188,0.0005002967185325339,62.0,62,-100,ingestion_metadata,profiled
ingestion_run_id,String,0,0.0,1,2.661152758151776e-6,36.0,36,-100,ingestion_metadata,profiled
ingested_at_utc,"Datetime(time_unit='us', time_zone='UTC')",0,0.0,1,2.661152758151776e-6,,,-100,ingestion_metadata,profiled
snapshot_id,String,0,0.0,1,2.661152758151776e-6,36.0,36,-100,ingestion_metadata,profiled
occurrence_year,Int64,0,0.0,6,0.000015966916548910657,,,-100,ingestion_metadata,profiled
