column,dtype
objectid,Int64
incident_id,String
offense_id,String
offense_code,String
offense_code_extension,Int64
offense_type_id,String
offense_category_id,String
first_occurrence_date,Int64
last_occurrence_date,Int64
reported_date,Int64
incident_address,String
geo_x,Int64
geo_y,Int64
geo_lon,Float64
geo_lat,Float64
district_id,String
precinct_id,String
neighborhood_id,String
is_crime,Int64
is_traffic,Int64
victim_count,Int64
geometry_type,String
geometry_json,String
source_city,String
source_file_uri,String
ingestion_run_id,String
ingested_at_utc,"Datetime(time_unit='us', time_zone='UTC')"
snapshot_id,String
occurrence_year,Int64
