offense_category_id,offense_code_extension,offense_code,offense_type_id,is_crime,geometry_type,row_count
auto-theft,0,2404,theft-of-motor-vehicle,1,Point,55291
theft-from-motor-vehicle,0,2305,theft-items-from-vehicle,1,Point,38145
public-disorder,1,2999,criminal-mischief-mtr-veh,1,Point,28633
larceny,0,2399,theft-other,1,Point,24708
theft-from-motor-vehicle,0,2304,theft-parts-from-vehicle,1,Point,24055
public-disorder,0,2999,criminal-mischief-other,1,Point,16164
larceny,0,2303,theft-shoplift,1,Point,14891
other-crimes-against-persons,0,1313,assault-simple,1,Point,14649
all-other-crimes,0,5707,criminal-trespassing,1,Point,14020
larceny,0,2308,theft-from-bldg,1,Point,9522
burglary,0,2203,burglary-business-by-force,1,Point,8616
larceny,1,2399,theft-bicycle,1,Point,8024
all-other-crimes,0,5213,weapon-unlawful-discharge-of,1,Point,7869
drug-alcohol,0,3550,drug-poss-paraphernalia,1,Point,7490
burglary,0,2204,burglary-residence-no-force,1,Point,7319
aggravated-assault,0,1315,aggravated-assault,1,Point,7085
public-disorder,0,1316,threats-to-injure,1,Point,5921
drug-alcohol,0,3599,drug-pcs-other-drug,1,Point,5562
burglary,0,2202,burglary-residence-by-force,1,Point,5288
aggravated-assault,2,1315,menacing-felony-w-weap,1,Point,5276
all-other-crimes,1,5016,violation-of-court-order,1,Point,3922
all-other-crimes,0,5016,violation-of-restraining-order,1,Point,3181
all-other-crimes,2,7399,public-order-crimes-other,1,Point,3154
public-disorder,0,5312,disturbing-the-peace,1,Point,3126
robbery,0,1205,robbery-street,1,Point,2870
burglary,0,2205,burglary-business-no-force,1,Point,2268
public-disorder,2,2999,criminal-mischief-graffiti,1,Point,2150
white-collar-crime,0,2607,fraud-by-telephone,1,Point,2107
burglary,0,2299,burglary-other,1,Point,2052
robbery,0,1202,robbery-business,1,Point,1823
public-disorder,0,5309,harassment,1,Point,1731
larceny,3,2699,theft-of-services,1,Point,1704
white-collar-crime,0,2609,fraud-by-use-of-computer,1,Point,1530
all-other-crimes,0,4899,police-interference,1,Point,1302
drug-alcohol,0,3520,drug-opium-or-deriv-sell,1,Point,1271
all-other-crimes,1,5212,weapon-by-prev-offender-powpo,1,Point,1241
all-other-crimes,0,3612,sex-off-fail-to-register,1,Point,1205
aggravated-assault,2,1314,weapon-fire-into-occ-bldg,1,Point,1182
all-other-crimes,0,4803,police-false-information,1,Point,1171
drug-alcohol,0,3572,drug-methampetamine-possess,1,Point,1005
aggravated-assault,6,1315,agg-aslt-shoot,1,Point,936
larceny,0,2310,theft-from-mails,1,Point,932
auto-theft,5,2399,theft-stln-vehicle-trailer,1,Point,913
robbery,0,1212,robbery-car-jacking,1,Point,897
drug-alcohol,0,3530,drug-cocaine-sell,1,Point,851
white-collar-crime,0,2605,theft-unauth-use-of-ftd,1,Point,836
all-other-crimes,0,5299,weapon-other-viol,1,Point,825
all-other-crimes,0,5212,weapon-poss-illegal-dangerous,1,Point,818
all-other-crimes,0,4801,police-resisting-arrest,1,Point,802
other-crimes-against-persons,3,1313,assault-police-simple,1,Point,801
drug-alcohol,0,4104,liquor-possession,1,Point,758
all-other-crimes,1,5213,weapon-flourishing,1,Point,749
drug-alcohol,0,3571,drug-methampetamine-sell,1,Point,715
other-crimes-against-persons,0,3605,indecent-exposure,1,Point,709
white-collar-crime,1,2602,theft-fail-return-rent-veh,1,Point,647
all-other-crimes,0,1099,false-imprisonment,1,Point,575
public-disorder,3,5309,harassment-sexual-in-nature,1,Point,563
white-collar-crime,0,2501,forgery-checks,1,Point,547
all-other-crimes,0,2199,extortion,1,Point,503
burglary,1,2204,burg-auto-theft-resd-no-force,1,Point,497
public-disorder,0,4004,prostitution-engaging-in,1,Point,495
white-collar-crime,1,2604,fraud-criminal-impersonation,1,Point,463
all-other-crimes,0,5203,weapon-carrying-prohibited,1,Point,430
public-disorder,0,5399,public-peace-other,1,Point,426
all-other-crimes,0,5202,weapon-carrying-concealed,1,Point,425
all-other-crimes,0,5311,public-fighting,1,Point,404
all-other-crimes,0,5802,contraband-into-prison,1,Point,377
robbery,0,1208,robbery-residence,1,Point,373
aggravated-assault,1,1314,weapon-fire-into-occ-veh,1,Point,369
drug-alcohol,0,3532,drug-cocaine-possess,1,Point,331
drug-alcohol,0,3522,drug-opium-or-deriv-possess,1,Point,324
arson,0,2007,arson-other,1,Point,323
murder,0,0912,homicide-other,1,Point,322
burglary,0,2206,burglary-poss-of-tools,1,Point,290
burglary,1,2203,burg-auto-theft-busn-w-force,1,Point,287
drug-alcohol,1,3599,drug-make-sell-other-drug,1,Point,275
all-other-crimes,0,6205,illegal-dumping,1,Point,262
all-other-crimes,0,1006,kidnap-adult-victim,1,Point,254
all-other-crimes,0,5215,bomb-threat,1,Point,241
all-other-crimes,0,4802,police-obstruct-investigation,1,Point,228
robbery,0,1210,robbery-purse-snatch-w-force,1,Point,226
arson,0,2099,arson-vehicle,1,Point,225
all-other-crimes,0,5099,obstructing-govt-operation,1,Point,208
larceny,0,2302,theft-purse-snatch-no-force,1,Point,200
robbery,0,1211,robbery-bank,1,Point,179
all-other-crimes,0,1311,agg-aslt-police-weapon,1,Point,171
drug-alcohol,0,4102,liquor-sell,1,Point,164
all-other-crimes,0,2803,stolen-property-buy-sell-rec,1,Point,155
arson,0,2005,arson-business,1,Point,152
white-collar-crime,0,2508,forgery-posses-forge-device,1,Point,149
larceny,0,2301,theft-pick-pocket,1,Point,145
drug-alcohol,0,3540,drug-synth-narcotic-sell,1,Point,141
arson,0,2006,arson-residence,1,Point,139
white-collar-crime,0,2589,forgery-other,1,Point,135
drug-alcohol,0,3542,drug-synth-narcotic-possess,1,Point,133
all-other-crimes,0,6201,animal-cruelty-to,1,Point,128
white-collar-crime,0,2606,fraud-nsf-closed-account,1,Point,127
all-other-crimes,0,4813,police-disobey-lawful-order,1,Point,126
larceny,0,2307,burglary-vending-machine,1,Point,124
drug-alcohol,0,3510,drug-heroin-sell,1,Point,119
all-other-crimes,1,7199,property-crimes-other,1,Point,117
all-other-crimes,2,5016,violation-of-custody-order,1,Point,111
burglary,1,2202,burg-auto-theft-resd-w-force,1,Point,109
drug-alcohol,0,3562,drug-marijuana-possess,1,Point,107
all-other-crimes,3,7099,reckless-endangerment,1,Point,102
burglary,0,2201,burglary-safe,1,Point,101
burglary,1,2205,burg-auto-theft-busn-no-force,1,Point,93
drug-alcohol,0,3560,drug-marijuana-sell,1,Point,89
all-other-crimes,1,4803,police-making-a-false-rpt,1,Point,84
white-collar-crime,0,2799,theft-embezzle,1,Point,83
all-other-crimes,0,5006,intimidation-of-a-witness,1,Point,75
drug-alcohol,0,3512,drug-heroin-possess,1,Point,65
all-other-crimes,0,5201,weapon-altering-serial-number,1,Point,64
all-other-crimes,0,5801,contraband-possession,1,Point,63
auto-theft,4,2399,theft-stln-veh-const-eqpt,1,Point,61
white-collar-crime,0,2506,forgery-poss-of-forged-inst,1,Point,61
drug-alcohol,4,2699,drug-fraud-to-obtain,1,Point,60
white-collar-crime,0,2503,forgery-counterfeit-of-obj,1,Point,52
public-disorder,0,5313,curfew,1,Point,52
larceny,2,2399,theft-gas-drive-off,1,Point,48
white-collar-crime,0,2602,theft-of-rental-property,1,Point,43
white-collar-crime,4,2604,impersonation-of-police,1,Point,43
all-other-crimes,0,4901,escape,1,Point,41
all-other-crimes,3,7399,accessory-conspiracy-to-crime,1,Point,41
all-other-crimes,0,3613,sex-off-registration-viol,1,Point,40
all-other-crimes,4,7099,disarming-a-peace-officer,1,Point,40
white-collar-crime,0,2601,theft-confidence-game,1,Point,38
all-other-crimes,0,5104,bribery,1,Point,38
drug-alcohol,0,3503,drug-hallucinogen-sell,1,Point,36
all-other-crimes,1,6299,littering,1,Point,32
white-collar-crime,1,2506,forgery-poss-of-forged-ftd,1,Point,28
murder,0,0902,homicide-family,1,Point,24
all-other-crimes,2,6299,other-enviornment-animal-viol,1,Point,22
all-other-crimes,0,1310,aslt-agg-police-gun,1,Point,21
all-other-crimes,0,5214,weapon-unlawful-sale,1,Point,20
all-other-crimes,1,7399,fireworks-possession,1,Point,20
all-other-crimes,0,5206,explosive-incendiary-dev-use,1,Point,17
all-other-crimes,0,5211,explosive-incendiary-dev-pos,1,Point,17
arson,0,2009,arson-public-building,1,Point,16
drug-alcohol,0,3504,drug-hallucinogen-possess,1,Point,15
white-collar-crime,1,2589,drug-forgery-to-obtain,1,Point,15
all-other-crimes,5,2699,pawn-broker-viol,1,Point,14
drug-alcohol,0,3570,drug-methamphetamine-mfr,1,Point,14
all-other-crimes,3,6299,animal-poss-of-dangerous,1,Point,11
drug-alcohol,0,3563,drug-marijuana-cultivation,1,Point,11
public-disorder,0,4099,prostitution-aiding,1,Point,6
public-disorder,0,5314,loitering,1,Point,6
all-other-crimes,0,5012,probation-violation,1,Point,5
murder,0,0907,homicide-police-by-gun,1,Point,5
other-crimes-against-persons,0,3701,obscene-material-mfr,1,Point,5
all-other-crimes,0,6300,money-laundering,1,Point,4
public-disorder,1,4002,prostitution-pimping,1,Point,4
all-other-crimes,0,3991,gambling-gaming-operation,1,Point,4
other-crimes-against-persons,0,3700,obscene-material-possess,1,Point,4
larceny,3,2399,theft-of-cable-services,1,Point,3
all-other-crimes,1,7099,homicide-conspiracy,1,Point,3
drug-alcohol,0,3582,drug-barbiturate-possess,1,Point,3
white-collar-crime,1,2503,altering-vin-number,1,Point,3
all-other-crimes,5,7099,homicide-accessory-to,1,Point,3
all-other-crimes,0,5704,eavesdropping,1,Point,3
murder,0,0910,homicide-negligent,1,Point,2
drug-alcohol,0,3581,drug-barbiturate-sell,1,Point,2
public-disorder,0,5302,riot-incite,1,Point,2
all-other-crimes,0,7399,public-order-crimes-other,1,Point,2
drug-alcohol,0,4101,liquor-manufacturing,1,Point,2
all-other-crimes,2,7099,homicide-solicitation,1,Point,1
all-other-crimes,0,3804,bigamy,1,Point,1
larceny,0,2309,theft-from-yards,1,Point,1
all-other-crimes,0,5799,wiretapping,1,Point,1
larceny,0,2303,theft-shoplift,1,,1
all-other-crimes,0,5011,parole-violation,1,Point,1
white-collar-crime,0,3990,gambling-betting-wagering,1,Point,1
white-collar-crime,0,2604,fraud-identity-theft,1,Point,1
drug-alcohol,0,3501,drug-hallucinogen-mfr,1,Point,1
