offense_code,row_count
2404,55291
2999,46947
2305,38145
2399,33757
2304,24055
1313,15450
2303,14892
5707,14020
1315,13297
2308,9522
2203,8903
5213,8618
2204,7816
3550,7490
5016,7214
1316,5921
3599,5837
2202,5397
7399,3217
5312,3126
1205,2870
2205,2361
5309,2294
2607,2107
5212,2059
2299,2052
1202,1823
2699,1778
1314,1551
2609,1530
4899,1302
3520,1271
4803,1255
3612,1205
3572,1005
2310,932
1212,897
3530,851
2605,836
5299,825
4801,802
4104,758
3571,715
3605,709
2602,690
1099,575
2501,547
2604,507
2199,503
4004,495
5203,430
5399,426
5202,425
5311,404
5802,377
1208,373
3532,331
3522,324
2007,323
0912,322
2206,290
6205,262
1006,254
5215,241
4802,228
1210,226
2099,225
5099,208
2302,200
1211,179
1311,171
4102,164
2803,155
2005,152
2589,150
7099,149
2508,149
2301,145
3540,141
2006,139
3542,133
6201,128
2606,127
4813,126
2307,124
3510,119
7199,117
3562,107
2201,101
2506,89
3560,89
2799,83
5006,75
3512,65
6299,65
5201,64
5801,63
2503,55
5313,52
4901,41
3613,40
2601,38
5104,38
3503,36
0902,24
1310,21
5214,20
5206,17
5211,17
2009,16
3504,15
3570,14
3563,11
4099,6
5314,6
3701,5
5012,5
0907,5
3700,4
3991,4
6300,4
4002,4
3582,3
5704,3
4101,2
3581,2
5302,2
0910,2
3804,1
3501,1
2309,1
5011,1
3990,1
4903,1
5799,1
