offense_type_id,row_count
theft-of-motor-vehicle,55291
theft-items-from-vehicle,38145
criminal-mischief-mtr-veh,28633
theft-other,24708
theft-parts-from-vehicle,24055
criminal-mischief-other,16164
theft-shoplift,14892
assault-simple,14649
criminal-trespassing,14020
theft-from-bldg,9522
burglary-business-by-force,8616
theft-bicycle,8024
weapon-unlawful-discharge-of,7869
drug-poss-paraphernalia,7490
burglary-residence-no-force,7319
aggravated-assault,7085
threats-to-injure,5921
drug-pcs-other-drug,5562
burglary-residence-by-force,5288
menacing-felony-w-weap,5276
violation-of-court-order,3922
violation-of-restraining-order,3181
public-order-crimes-other,3156
disturbing-the-peace,3126
robbery-street,2870
burglary-business-no-force,2268
criminal-mischief-graffiti,2150
fraud-by-telephone,2107
burglary-other,2052
robbery-business,1823
harassment,1731
theft-of-services,1704
fraud-by-use-of-computer,1530
police-interference,1302
drug-opium-or-deriv-sell,1271
weapon-by-prev-offender-powpo,1241
sex-off-fail-to-register,1205
weapon-fire-into-occ-bldg,1182
police-false-information,1171
drug-methampetamine-possess,1005
agg-aslt-shoot,936
theft-from-mails,932
theft-stln-vehicle-trailer,913
robbery-car-jacking,897
drug-cocaine-sell,851
theft-unauth-use-of-ftd,836
weapon-other-viol,825
weapon-poss-illegal-dangerous,818
police-resisting-arrest,802
assault-police-simple,801
liquor-possession,758
weapon-flourishing,749
drug-methampetamine-sell,715
indecent-exposure,709
theft-fail-return-rent-veh,647
false-imprisonment,575
harassment-sexual-in-nature,563
forgery-checks,547
extortion,503
burg-auto-theft-resd-no-force,497
prostitution-engaging-in,495
fraud-criminal-impersonation,463
weapon-carrying-prohibited,430
public-peace-other,426
weapon-carrying-concealed,425
public-fighting,404
contraband-into-prison,377
robbery-residence,373
weapon-fire-into-occ-veh,369
drug-cocaine-possess,331
drug-opium-or-deriv-possess,324
arson-other,323
homicide-other,322
burglary-poss-of-tools,290
burg-auto-theft-busn-w-force,287
drug-make-sell-other-drug,275
illegal-dumping,262
kidnap-adult-victim,254
bomb-threat,241
police-obstruct-investigation,228
robbery-purse-snatch-w-force,226
arson-vehicle,225
obstructing-govt-operation,208
theft-purse-snatch-no-force,200
robbery-bank,179
agg-aslt-police-weapon,171
liquor-sell,164
stolen-property-buy-sell-rec,155
arson-business,152
forgery-posses-forge-device,149
theft-pick-pocket,145
drug-synth-narcotic-sell,141
arson-residence,139
forgery-other,135
drug-synth-narcotic-possess,133
animal-cruelty-to,128
fraud-nsf-closed-account,127
police-disobey-lawful-order,126
burglary-vending-machine,124
drug-heroin-sell,119
property-crimes-other,117
violation-of-custody-order,111
burg-auto-theft-resd-w-force,109
drug-marijuana-possess,107
reckless-endangerment,102
burglary-safe,101
burg-auto-theft-busn-no-force,93
drug-marijuana-sell,89
police-making-a-false-rpt,84
theft-embezzle,83
intimidation-of-a-witness,75
drug-heroin-possess,65
weapon-altering-serial-number,64
contraband-possession,63
forgery-poss-of-forged-inst,61
theft-stln-veh-const-eqpt,61
drug-fraud-to-obtain,60
curfew,52
forgery-counterfeit-of-obj,52
theft-gas-drive-off,48
impersonation-of-police,43
theft-of-rental-property,43
accessory-conspiracy-to-crime,41
escape,41
sex-off-registration-viol,40
disarming-a-peace-officer,40
theft-confidence-game,38
bribery,38
drug-hallucinogen-sell,36
littering,32
forgery-poss-of-forged-ftd,28
homicide-family,24
other-enviornment-animal-viol,22
aslt-agg-police-gun,21
fireworks-possession,20
weapon-unlawful-sale,20
explosive-incendiary-dev-pos,17
explosive-incendiary-dev-use,17
arson-public-building,16
drug-forgery-to-obtain,15
drug-hallucinogen-possess,15
drug-methamphetamine-mfr,14
pawn-broker-viol,14
drug-marijuana-cultivation,11
animal-poss-of-dangerous,11
prostitution-aiding,6
loitering,6
obscene-material-mfr,5
probation-violation,5
homicide-police-by-gun,5
obscene-material-possess,4
money-laundering,4
gambling-gaming-operation,4
prostitution-pimping,4
eavesdropping,3
altering-vin-number,3
homicide-accessory-to,3
theft-of-cable-services,3
drug-barbiturate-possess,3
homicide-conspiracy,3
liquor-manufacturing,2
homicide-negligent,2
drug-barbiturate-sell,2
riot-incite,2
homicide-solicitation,1
parole-violation,1
theft-from-yards,1
escape-aiding,1
fraud-identity-theft,1
bigamy,1
wiretapping,1
drug-hallucinogen-mfr,1
gambling-betting-wagering,1
