canonical_family_code,canonical_offense_family,canonical_subtype_code,canonical_offense_subtype,canonical_domain,canonical_target,is_criminal_event,is_violent,is_property
F01,homicide,F01.01,justifiable_homicide,violent,person,false,false,false
F01,homicide,F01.02,manslaughter,violent,person,true,true,false
F01,homicide,F01.03,murder_homicide,violent,person,true,true,false
F02,sexual_offense,F02.01,fondling,violent,person,true,true,false
F02,sexual_offense,F02.02,incest,violent,person,true,true,false
F02,sexual_offense,F02.03,other_sex_offense,violent,person,true,true,false
F02,sexual_offense,F02.04,rape,violent,person,true,true,false
F02,sexual_offense,F02.05,sexual_assault,violent,person,true,true,false
F02,sexual_offense,F02.06,statutory_rape,violent,person,true,true,false
F02,sexual_offense,F02.07,child_sexual_exploitation,violent,person,true,true,false
F03,robbery,F03.01,robbery,violent,person,true,true,true
F04,assault,F04.01,aggravated_assault,violent,person,true,true,false
F04,assault,F04.02,simple_assault,violent,person,true,true,false
F04,assault,F04.03,reckless_endangerment,violent,person,true,true,false
F05,kidnapping_trafficking,F05.01,human_trafficking,violent,person,true,true,false
F05,kidnapping_trafficking,F05.02,human_trafficking_commercial_sex,violent,person,true,true,false
F05,kidnapping_trafficking,F05.03,human_trafficking_involuntary_servitude,violent,person,true,true,false
F05,kidnapping_trafficking,F05.04,kidnapping_abduction,violent,person,true,true,false
F05,kidnapping_trafficking,F05.05,unlawful_restraint,violent,person,true,true,false
F06,intimidation_stalking,F06.01,intimidation_harassment,violent,person,true,true,false
F06,intimidation_stalking,F06.02,stalking,violent,person,true,true,false
F06,intimidation_stalking,F06.03,privacy_surveillance_offense,violent,person,true,false,false
F06,intimidation_stalking,F06.04,terroristic_threat_hoax,violent,person,true,true,false
F07,burglary,F07.01,burglary,property,property,true,false,true
F08,larceny_theft,F08.01,other_larceny_theft,property,property,true,false,true
F08,larceny_theft,F08.02,pocket_picking,property,property,true,false,true
F08,larceny_theft,F08.03,purse_snatching,property,property,true,false,true
F08,larceny_theft,F08.04,shoplifting,property,property,true,false,true
F08,larceny_theft,F08.05,theft_from_building,property,property,true,false,true
F08,larceny_theft,F08.06,theft_from_vehicle,property,property,true,false,true
F08,larceny_theft,F08.07,theft_vehicle_parts,property,property,true,false,true
F09,motor_vehicle_theft,F09.01,motor_vehicle_theft,property,property,true,false,true
F10,arson,F10.01,arson,property,property,true,false,true
F11,vandalism_property_damage,F11.01,vandalism_property_damage,property,property,true,false,true
F12,fraud_financial,F12.01,bad_checks,property,property,true,false,true
F12,fraud_financial,F12.02,bribery,property,property,true,false,true
F12,fraud_financial,F12.03,embezzlement,property,property,true,false,true
F12,fraud_financial,F12.04,extortion_blackmail,property,property,true,false,true
F12,fraud_financial,F12.05,forgery_counterfeiting,property,property,true,false,true
F12,fraud_financial,F12.06,fraud,property,property,true,false,true
F12,fraud_financial,F12.07,identity_cyber_fraud,property,property,true,false,true
F13,stolen_property,F13.01,stolen_property,property,property,true,false,true
F14,drug_offense,F14.01,drug_equipment,society,society,true,false,false
F14,drug_offense,F14.02,drug_narcotic,society,society,true,false,false
F15,weapons_offense,F15.01,weapons_violation,society,society,true,false,false
F16,prostitution_commercial_sex,F16.01,promoting_prostitution,society,society,true,false,false
F16,prostitution_commercial_sex,F16.02,prostitution,society,society,true,false,false
F16,prostitution_commercial_sex,F16.03,purchasing_prostitution,society,society,true,false,false
F17,public_order,F17.01,curfew_loitering_vagrancy,society,society,true,false,false
F17,public_order,F17.02,disorderly_conduct,society,society,true,false,false
F17,public_order,F17.03,gambling,society,society,true,false,false
F17,public_order,F17.04,liquor_law,society,society,true,false,false
F17,public_order,F17.05,obscenity_indecency,society,society,true,false,false
F17,public_order,F17.06,obstruction_resisting,society,society,true,false,false
F17,public_order,F17.07,other_public_order,society,society,true,false,false
F17,public_order,F17.08,public_intoxication,society,society,true,false,false
F17,public_order,F17.09,trespass,society,society,true,false,false
F17,public_order,F17.10,court_order_violation,society,society,true,false,false
F17,public_order,F17.11,emergency_service_interference,society,society,true,false,false
F17,public_order,F17.12,escape_bail_jumping,society,society,true,false,false
F17,public_order,F17.13,evading_resisting,society,society,true,false,false
F17,public_order,F17.14,false_reporting,society,society,true,false,false
F17,public_order,F17.15,municipal_code_violation,society,society,true,false,false
F17,public_order,F17.16,obstruction_of_justice,society,society,true,false,false
F17,public_order,F17.17,public_administration_offense,society,society,true,false,false
F17,public_order,F17.18,public_camping,society,society,true,false,false
F17,public_order,F17.19,public_health_environmental_violation,society,society,true,false,false
F17,public_order,F17.20,solicitation_panhandling,society,society,true,false,false
F17,public_order,F17.21,tax_business_regulation_violation,society,society,true,false,false
F17,public_order,F17.22,transit_rule_violation,society,society,true,false,false
F18,family_child_offense,F18.01,family_child_offense,person,person,true,false,false
F18,family_child_offense,F18.02,family_offense_nonviolent,person,person,true,false,false
F18,family_child_offense,F18.03,family_order_violation,person,person,true,false,false
F18,family_child_offense,F18.04,child_custody_interference,person,person,true,false,false
F19,traffic_offense,F19.01,dui,traffic,society,true,false,false
F19,traffic_offense,F19.02,traffic_violation,traffic,society,true,false,false
F19,traffic_offense,F19.03,hit_and_run,traffic,society,true,false,false
F19,traffic_offense,F19.04,street_racing,traffic,society,true,false,false
F19,traffic_offense,F19.05,vehicle_document_violation,traffic,society,true,false,false
F20,other_criminal,F20.01,animal_cruelty,other,unknown,true,false,false
F20,other_criminal,F20.02,not_reportable_nibrs,other,unknown,true,false,false
F20,other_criminal,F20.03,other_criminal,other,unknown,true,false,false
F20,other_criminal,F20.04,registration_violation,other,unknown,true,false,false
F20,other_criminal,F20.05,ritualism,other,unknown,true,false,false
F20,other_criminal,F20.06,school_offense,other,unknown,true,false,false
F20,other_criminal,F20.07,conspiracy_organized_crime,other,unknown,true,false,false
F20,other_criminal,F20.08,criminal_instruments,other,unknown,true,false,false
F20,other_criminal,F20.09,terrorism_support,other,unknown,true,false,false
F21,non_criminal_admin,F21.01,accidental_death,administrative,administrative,false,false,false
F21,non_criminal_admin,F21.02,case_closure,administrative,administrative,false,false,false
F21,non_criminal_admin,F21.03,civil_administrative,administrative,administrative,false,false,false
F21,non_criminal_admin,F21.04,courtesy_report,administrative,administrative,false,false,false
F21,non_criminal_admin,F21.05,fire_report,administrative,administrative,false,false,false
F21,non_criminal_admin,F21.06,lost_property,administrative,administrative,false,false,false
F21,non_criminal_admin,F21.07,miscellaneous_investigation,administrative,administrative,false,false,false
F21,non_criminal_admin,F21.08,missing_person,administrative,administrative,false,false,false
F21,non_criminal_admin,F21.09,non_criminal,administrative,administrative,false,false,false
F21,non_criminal_admin,F21.10,non_criminal_admin,administrative,administrative,false,false,false
F21,non_criminal_admin,F21.11,recovered_vehicle,administrative,administrative,false,false,false
F21,non_criminal_admin,F21.12,runaway,administrative,administrative,false,false,false
F21,non_criminal_admin,F21.13,suicide,administrative,administrative,false,false,false
F21,non_criminal_admin,F21.14,suspicious_incident,administrative,administrative,false,false,false
F21,non_criminal_admin,F21.15,traffic_collision,administrative,administrative,false,false,false
F21,non_criminal_admin,F21.16,vehicle_impounded,administrative,administrative,false,false,false
F21,non_criminal_admin,F21.17,vehicle_misplaced,administrative,administrative,false,false,false
F21,non_criminal_admin,F21.18,warrant_supervision,administrative,administrative,false,false,false
F21,non_criminal_admin,F21.19,animal_incident,administrative,administrative,false,false,false
F21,non_criminal_admin,F21.20,death_investigation,administrative,administrative,false,false,false
F21,non_criminal_admin,F21.21,vehicle_property_admin,administrative,administrative,false,false,false
F22,unknown,F22.01,unknown,unknown,unknown,,,
