offense_desc,offense,nature_of_call,geocodescore,source_file_uri
PC 42.07 Harassment,90Z,HARASS,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=1800/00000000.parquet
PC 31.03- AUTO PARTS/ACCE Theft- Auto parts/access,23G,THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=1800/00000000.parquet
PC 31.03 - Others Theft - Others,23H,THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=1823/00000000.parquet
PC 30.04 Burglary of Vehicle,23F,BURG VEHIC,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=1930/00000000.parquet
PC 31.03 - AUTO Auto Theft,240,AUTOTHEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=1930/00000000.parquet
PC 49.04 Driving While Intoxicated,90D,DWI,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=1942/00000000.parquet
PC 32.42 Deceptive Business Practices,26A,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=1951/00000000.parquet
PC 31.03 - SHOPLIFTING Theft - Shoplifting,23C,THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=1959/00000000.parquet
PC 31.03 - Others Theft - Others,23H,THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=1968/00000000.parquet
PC 30.04 Burglary of Vehicle,23F,BURG VEHIC,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=1974/00000000.parquet
DRUG NARCOTIC VIOLATIONS Drug/Narcotic Violations,35A,NARC VIOL,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=1977/00000000.parquet
JUVENILE RUNAWAY Juvenile Runaways,90I,RUNAWAY,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=1977/00000000.parquet
PC 31.03(E)(3)  2015 Theft prop>=$750<$2500,23H,THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=1991/00000000.parquet
PC 32.51(C)(1) Fraud Use Poss of ID Info<5 items,26F,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=1991/00000000.parquet
PC 31.03 - Others Theft - Others,23H,THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=1993/00000000.parquet
PC 31.03(E)(3)  2015 Theft prop>=$750<$2500 23H AL,23H,THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=1995/00000000.parquet
PC 32.51(C)(1) Fraud Use Poss of ID Info<5 items,26F,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=1995/00000000.parquet
PC 22.02 Aggravated Assault,13A,AG ASSAULT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=1996/00000000.parquet
PC 32.21(C) Forgery 250 FORGERY/COUNTERFEITING 258,250,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=1996/00000000.parquet
PC 22.01(A)(1) Assault Causes Bodily Injury,13B,ASSAULT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=1997/00000000.parquet
PC 32.51 Fraud Use Poss of ID Info,26F,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=1999/00000000.parquet
PC 31.03(E)(5)AUTO 2015 Theft>=$30k<$150k,240,AUTO THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2000/00000000.parquet
PC 31.03(E)(4)(A)AUTO Theft>$1500<$20K (Auto theft,240,AUTO THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2000/00000000.parquet
GC  085-07 Theft under $100,23H,THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2000/00000000.parquet
PC 22.04 (F) Injury child/eld/disable w/int BI 13B,13B,ASSAULT ELDERLY,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2000/00000000.parquet
PC 28.03(B)(3)(B) Diverting public utilities(water,23H,THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2000/00000000.parquet
PC 32.51(C)(1) Fraud Use Poss of ID Info<5 items,26F,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2000/00000000.parquet
PC 32.51 Fraud Use Poss of ID Info,26F,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2000/00000000.parquet
PC 32.51 Fraudulent Use/Poss of Id Information,26C,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2000/00000000.parquet
PC 32.51 Fraudulent Use/Poss of Id Information,26C,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2000/00000000.parquet
HSC 365.012(F) Illegal Dumping =>500<1000lbs 90Z A,90Z,DUMPING,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2000/00000000.parquet
PC 32.51(C)(1) Fraud Use Poss of ID Info<5 items,26F,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2000/00000000.parquet
PC 30.02(C)(1) Burglary of building 220 BURGLARY/B,220,BURGLARY COMMERCIAL,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2000/00000000.parquet
GC 088 Assault by Offensive Contact-Class C,13B,ASSAULT C,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2001/00000000.parquet
PC 31.03 - Others Theft - Others,23H,THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2001/00000000.parquet
PC 32.51 Fraud Use Poss of ID Info 26F Identity Th,26F,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2001/00000000.parquet
PC 32.21 Forgery,250,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2001/00000000.parquet
PC 42.07(C) Harassment 90Z ALL OTHER OFFENSES 1316,90Z,HARASS,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2001/00000000.parquet
PC 31.03 Theft- Auto parts/accessories only/gas,23G,THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2002/00000000.parquet
BBC 641.051(C)(3) Unauth Duplication Rec <=100 250,250,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2002/00000000.parquet
PC 30.05(A) Criminal Trespass 90J TRESPASS OF REAL,90J,CRIMINAL TRESPASS,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2002/00000000.parquet
PC 25.03 Interfer W/Child Custody 90F FAMILY OFFEN,90F,PENAL CODE,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2002/00000000.parquet
PC 32.21 (E-1) Forg Govt/Nat Inst/Mon/Sec Elderly,250,FRAUD,57,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2002/00000000.parquet
PC 31.03(E)(4)(A)  2015 Theft Prop>=$2500<$30k 23H,23H,THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2002/00000000.parquet
PC 30.05(d)(1) Criminal Trespass,90J,CRIMINAL TRESPASS,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2002/00000000.parquet
PC 30.04(A) Burglary Vehicle 23F THEFT FROM MOTOR ,23F,BURGLARY VEHICLE,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2002/00000000.parquet
PC 30.02(C)(1) Burglary of building 220 BURGLARY/B,220,BURGLARY RESIDENTIAL,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2002/00000000.parquet
PC 30.04(A) Burglary Vehicle 23F THEFT FROM MOTOR ,23F,BURGLARY VEHICLE,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2002/00000000.parquet
GC 080 Public Intoxication 90E DRUNKENNESS 0000000,90E,PUBLIC INTOXICATION,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2002/00000000.parquet
HSC 365.012(E) Illegal Dumping >5 lbs<500 lbs,90Z,DUMPING,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2002/00000000.parquet
PC 31.03(E)(4)(A)  2015 Theft Prop>=$2500<$30k 23H,23H,THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2002/00000000.parquet
PC 30.04(d) Burglary of Vehicles 23F THEFT FROM MO,23F,BURGLARY VEHICLE,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2002/00000000.parquet
PC 30.02(C)(1) Burglary of building,220,BURGLARY COMMERCIAL,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2002/00000000.parquet
PC 28.03(B)(2) Crim Misc>$50<$500 290 DESTRUCTIVE/,290,CRIMINAL MISCHIEF,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2003/00000000.parquet
PC 32.51(C)(1) Fraud Use Poss of ID Info<5 items,26F,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2003/00000000.parquet
PC 25.01 Bigamy,90Z,PENALCODE,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2003/00000000.parquet
PC 32.51 Fraud Use Poss of ID Info,26F,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2003/00000000.parquet
PC 32.51 Fraud Use Poss of ID Info,26F,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2004/00000000.parquet
PC 42.07(C) Harassment,90Z,HARASS,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2004/00000000.parquet
PC 37.101(A)(1) Fraud Finance Statement Forged 250,250,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2004/00000000.parquet
GC 088 Assault by Offensive Contact-Class C,13B,ASSAULT C,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2004/00000000.parquet
PC 31.03(E)(4)(A)AUTO Theft>$1500<$20K (Auto theft,240,AUTO THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2004/00000000.parquet
PC 32.51 Fraud Use Poss of ID Info,26F,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2004/00000000.parquet
PC 31.03(E)(3)   Theft prop>=$750<$2500,23H,THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2004/00000000.parquet
PC 32.315(e)(1) Fraud Poss/Use credit or Debit Car,26B,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2004/00000000.parquet
PC 32.51 Fraud Use Poss of ID Info 26F Identity Th,26F,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2005/00000000.parquet
PC 30.02(C)(1) Burglary of building 220 BURGLARY/B,220,BURGLARY COMMERCIAL,68,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2005/00000000.parquet
PC 32.51 Fraudulent Use/Poss of Id Information,26C,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2005/00000000.parquet
PC 32.53(C) Exploit of Child/Elderly/Disabled,90Z,THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2005/00000000.parquet
PC 22.04 Injury to a Child/Elderly/Disabled (SBI),13A,ASLTCHILD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2005/00000000.parquet
PC 32.51 Fraud Use Poss of ID Info,26F,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2006/00000000.parquet
PC 30.04 Burglary of Vehicle,23F,BURG VEHIC,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2006/00000000.parquet
