offense_desc,offense,nature_of_call,geocodescore,row_count
PC 30.04(A) Burglary Vehicle,23F,BURGLARY VEHICLE,100,16840
PC 31.03(e)(2)(A)  Theft Property >=$100<$750,23H,THEFT,100,16748
PC 22.01(A)(1) Assault Causes Bodily Injury,13B,ASSAULT,100,15833
PC 31.03 - Others Theft - Others,23H,THEFT,100,15447
PC 30.04 Burglary of Vehicle,23F,BURG VEHIC,100,15305
PC 28.03 Criminal Mischief,290,CRIM MISCH,100,13880
PC 42.07(C) Harassment,90Z,HARASS,100,11039
PC 31.03 - SHOPLIFTING Theft - Shoplifting,23C,THEFT,100,9678
PC 30.04(A) Burglary Vehicle 23F THEFT FROM MOTOR ,23F,BURGLARY VEHICLE,100,9541
GC  085-07 Theft under $100,23H,THEFT,100,8982
PC 30.04(d) Burglary of Vehicles,23F,BURGLARY VEHICLE,100,8725
PC 31.03(E)(4)(A)AUTO2015 Theft Prop>=$2500<$30k A,240,AUTO THEFT,100,7745
PC 30.02(C)(1) Burglary of building,220,BURGLARY COMMERCIAL,100,7654
PC 30.02(C)(2) Burglary Habitation,220,BURGLARY RESIDENTIAL,100,7585
PC 28.03(b)(2) Criminal Mischief >=$100<$750,290,CRIMINAL MISCHIEF,100,7298
PC 30.02(C)(2) Burglary Habitation,220,BURG RES,100,7202
PC 31.03(E)(3)   Theft prop>=$750<$2500,23H,THEFT,100,6789
PC 28.03(B)(2)  Crim Misc>=$100<$750,290,CRIMINAL MISCHIEF,100,6660
PC 31.03(E)(2)(A)   PC 31.03(E)(2)(A)  2015 Theft ,23C,THEFT,100,6436
PC 31.03(E)(4)(A)AUTO Theft>$1500<$20K (Auto theft,240,AUTO THEFT,100,6210
DRUG NARCOTIC VIOLATIONS Drug/Narcotic Violations,35A,NARC VIOL,100,6143
PC 31.03 - AUTO Auto Theft,240,AUTOTHEFT,100,5734
PC 22.01(A)(1)FV Aslt Causes B/I Family Member,13B,ASSAULT,100,5454
PC 30.05(d)(1) Criminal Trespass,90J,CRIMINAL TRESPASS,100,5149
PC 22.01(a)(1) Assault Causes Bodily injury  Famil,13B,ASSAULT,100,4992
GC 039 Criminal Mischief under $100/Subst Inconven,290,CRIMINAL MISCHIEF,100,4826
PC 42.07 Harassment,90Z,HARASS,100,4688
PC 31.03 - Others Theft - Others 23H ALL OTHER LAR,23H,THEFT,100,4635
PC 31.03(E)(4)(A) Theft Property >= $2500<$30K  (t,23H,THEFT,100,4503
PC 49.02 Public Intoxication,90E,PUBLICINTO,100,4387
GC 080 Public Intoxication,90Z,PUBLIC INTOXICATION,100,4309
PC 49.04 Driving While Intoxicated,90D,DWI,100,4295
PC 22.01(A)(3) Assault Against Eldeer/Disable Ind,13B,ASSAULT C,100,3822
PC 25.03(d) INTERFERENCE WITH CHILD CUSTODY,90Z,PENAL CODE,100,3769
PC 31.03 - AUTO Auto Theft 240 MOTOR VEHICLE THEFT,240,AUTO THEFT,100,3611
PC 28.03(B)(2) 2015 Crim Misc>=$100<$750 290 DESTR,290,CRIMINAL MISCHIEF,100,3596
GC  085-07 Theft under $100- Shoplifting,23C,THEFT,100,3582
GC 088 Assault by Offensive Contact-Class C,13B,ASSAULT C,100,3481
PC 22.01(A)(1)FV Aslt Causes B/I Family Member 13B,13B,ASSAULT,100,3346
PC 30.02(C)(1) Burglary of building,220,BURG COMM,100,3160
PC 31.03 Theft- Auto parts/accessories only/gas,23G,THEFT,100,3137
PC 22.02 Aggravated Assault,13A,AG ASSAULT,100,3072
PC 30.02(C)(2) Burglary Habitation 220 BURGLARY/BR,220,BURGLARY RESIDENTIAL,100,3018
PC 32.31 Credit/Debit Card Abuse,26B,FRAUD,100,2955
PC 28.03(b)(3)(A) Criminal Mischief >=$750<$2500,290,CRIMINAL MISCHIEF,100,2928
MISC CITY ORDINANCE Misc City Ordinances,90Z,CITY ORDIN,100,2739
PC 31.03(E)(2)(A)  2015 Theft Prop>=$100<$750 23H ,23H,THEFT,100,2614
PC 32.51(C)(1) Fraud Use Poss of ID Info<5 items,26F,FRAUD,100,2478
GC 088-03 Assault by Offensive Contact Family or D,13B,ASSAULT C,100,2414
PC 25.03 Interfer W/Child Custody,90F,PENALCODE,100,2402
PC 31.03 Theft - Shoplifting 23C SHOPLIFTING 23C,23C,THEFT,100,2310
GC 088 Assault by Offensive Contact or Threat 13B ,13B,ASSAULT C,100,2299
PC 31.03- AUTO PARTS/ACCE Theft- Auto parts/access,23G,THEFT,100,2253
PC 30.02(C)(1) Burglary of building 220 BURGLARY/B,220,BURGLARY COMMERCIAL,100,2242
PC 22.01(A)(1) Assault Causes B/I 13B SIMPLE ASSAU,13B,ASSAULT,100,2150
PC 22.02(A)(2) Agg Asslt w/Deadly Weapon,13A,AG ASSAULT,100,2104
GC 080 Public Intoxication 90E DRUNKENNESS 0000000,90E,PUBLIC INTOXICATION,100,2067
GC 088 Assault by threat-Class C  ,13C,ASSAULT BY THREAT,100,1976
PC 30.05 Criminal Trespass,90J,CRIM TRESP,100,1912
PC 31.20(c)(1) Theft-Mail<=10 addresses,23H,THEFT,100,1885
HSC 481.121(B)(1) Poss Marij <=2OZ,35A,NARCOTIC VIOLATIONS,100,1884
OT WARRANT Out of Town Warrant,WAR,PENAL CODE,100,1881
PC 22.02(A)(2)FAMILY Agg Assault w/Deadly Weapon F,13A,AG ASSAULT,100,1799
PC 22.01(b)(2)(B) Assault BI Family member strang/,13B,ASSAULT,100,1770
PC 31.07 UUMV-Unauthorized Use of Motor Vehicle,240,MISSING VEHICLE,100,1766
PC 32.51 Fraud Use Poss of ID Info,26F,FRAUD,100,1764
PC 31.03 Theft- Auto parts/accessories only/gas 23,23G,THEFT,100,1655
GC 084 Possession of Drug Paraphenalia,35B,NARCOTIC VIOLATIONS,100,1637
PC 31.07 UUMV-Unauthorized Use of Motor Vehicle,240,AUTO THEFT,100,1618
PC 31.03(E)(5)AUTO 2015 Theft>=$30k<$150k,240,AUTO THEFT,100,1601
XXX ,35B,NARC VIOL,100,1571
PC 28.03(B)(3)(A) 2015 Crim Misch>=$750<$2500,290,CRIMINAL MISCHIEF,100,1529
PC 31.03(e)(3) Theft Property >= $750-$2500 Shopli,23C,THEFT,100,1521
PC 22.02(a)(2) Aggravated Assault with Deadly Weap,13A,AG ASSAULT,100,1473
PC 42.07(C) Harassment 90Z ALL OTHER OFFENSES 1316,90Z,HARASS,100,1408
PC 25.03(d) INTERFERENCE WITH CHILD CUSTODY 90Z AL,90Z,PENAL CODE,100,1407
