nature_of_call,row_count
THEFT,129632
ASSAULT,53112
BURGLARY VEHICLE,38587
CRIMINAL MISCHIEF,37876
PENAL CODE,36601
AUTO THEFT,28220
AG ASSAULT,21269
NARCOTIC VIOLATIONS,20805
HARASS,19940
BURG VEHIC,17776
ASSAULT C,17196
FRAUD,16122
CRIM MISCH,15039
BURGLARY RESIDENTIAL,14594
BURGLARY COMMERCIAL,13187
NARC VIOL,11954
CRIMINAL TRESPASS,11352
DWI,10774
PUBLIC INTOXICATION,9327
BURG RES,8811
PENALCODE,8787
AUTOTHEFT,6750
PUBLICINTO,5188
ASSAULT BY THREAT,5122
TRAFFIC CODE,5099
WEAPONS,4908
MISSING VEHICLE,3627
BURG COMM,3561
CITY ORDINANCES,3143
THEFT RECYCLE,3124
CITY ORDIN,3065
ROBBERY PERSON,2956
CRIM TRESP,2411
DUMPING,2368
DEADLY CONDUCT-SHOOTING ,2000
VIOLATION PROTECTIVE ORDE,1810
ROBBERY BUSINESS,1631
BURGLARY VEHICLE COMMERCI,1587
PROSTITUTION ,1472
ROB PERS,1454
SEX REGISTRATION,1389
ARSON,1252
GRAFFITI,1184
RUNAWAY,917
FAMILY,910
INDECENT EXPOSURE,821
THEFT TRAILER NONCOMMERCI,761
ROB BUSIN,756
ANIMAL,733
BURGVEHCOM,709
GAMBLING,667
THEFT FROM VEHICLE,666
COMMERCIAL AUTO THEFT,628
ROBBERY CAR JACKING,614
TRAF CODE,595
ASSAULT ELDERLY,583
MURDER,583
VIOLPROTEC,501
THEFTRECYC,471
PROSTITUT,455
ASSAULT CHILD,407
SEXUAL ASSAULT,381
IDENTITY THEFT,367
PORNOGRAPHY,360
SEX REGIST,325
BURGLARY COIN,283
NONPENALCO,277
00,274
HARASSING PHONE CALL,272
VANDALISM/GRAFFITI,261
THFTNONCOM,231
KIDNAPPING,226
BURG COIN,225
TABCOFFENS,225
ROBBERY INVASION,219
ASLTELDERL,217
INDECEXPOS,194
THEFT TRAILER,193
WARRANT,193
ROB CAR JK,177
POSSESSION STOLEN PROPERT,158
TABC OFFENSES,148
ASLTCHILD,140
COMMAUTOTH,138
CARGO THEFT,133
TOBACCO OFFENSE,130
IDENTIFY (NON REPORTABLE),115
THEFT PUBLIC UTILITIES,111
HITANDRUN,108
ROBBERY,93
ROBB INVAS,87
DOMESTIC DISTURBANCE,86
HUMAN TRAFFICKING,82
KIDNAP,79
DISTURBANCE,71
INTOXICATION ASSAULT,69
THEFTTRAIL,67
FALSE ALARM,67
SEXASSAULT,65
MISS VEH,63
PORNOGRAP,61
ANIMAL CRUELTY,58
CHILD EXPLOITATION,51
THEFTPUBUT,44
SEXUAL ASSAULT CHILD,43
ROBBERY FINANCIAL INSTITU,38
INFO ONLY,32
HIT AND RUN,28
NON REPORTABLE OFFENSE RE,28
CARGOTHEFT,27
TOBACCOOFF,26
POSSSTOLPR,24
CRIMTRESWA,23
RECVEHOTH,22
DISORDERLY CONDUCT,19
JUSTIFIABLE HOMICIDE,19
INTOX ASLT,18
SHOPLIFTING (NO SUSPECT I,18
STOLEN VEHICLE,18
ROB BANK,17
ACCIDENT,16
UUMV,16
NARC INFO,14
TERRORISTIC THREAT,12
TRUANCY WARRANT,11
PD PULL,10
SEXASSAULC,10
ID INFO,10
BURGLARY,10
PANHANDLING,9
INVESTIGATION,9
DOMESTIC VIOLENCE,7
BURGLARY OF A VEHICLE,7
BURGLARY OF VEHICLE,6
MISS PERS,6
LOST PROP,6
OTHER,6
SHOOTING,6
LOST PROPERTY,6
AGGRAVATED ROBBERY,6
LOST CELL PHONES,5
BMV,5
RETALIATION,5
RECKLESS DAMAGE,5
ASSAULT BY CONTACT,5
HARASSMENT,5
INJ PERSON,4
ASSAULT ON A PUBLIC SERVA,4
PERSON WITH A WEAPON,4
FOUPROP,4
GAMBL INFO,4
FORGERY,4
FAMILY VIOLENCE,4
THEFT OF SERVICE,4
PROWLER,4
HSC 481.115(C) POSS CS PG,4
CREDIT CARD ABUSE,4
9/26/22,3
DEADLY CONDUCT,3
CRIMINAL TRESPASS WARNING,3
INDECENT ASSAULT,3
231155654,3
UUM,3
ATTEMPT CRIMINAL TRESPASS,3
SCHOOL (NON REPORTABLE),3
RECYCLE (NON REPORTABLE),3
PRISONER PICKUP,3
FATALACCID,3
HARRASSMENT,3
DUI,3
NO REPORT,3
FLOCK ACTIVATION,3
UNLAWFUL RESTRAINT,3
THET,3
BUGLARY,3
BURGLARY R,3
HIT & RUN,3
EVADING,2
SHOTS FIRED IN THE AREA,2
BURGLARY OF BUILDING,2
SOUTH,2
PERSON WITH WEAPON,2
LOUD MUSIC,2
SHOTS FIRED,2
INVESTIGAT,2
ASSUALT,2
THAFT,2
5,2
INTERFERENCE WITH CHILD C,2
3537 RYAN AVE,2
22.07,2
HUMAN TRAF,2
UNLAWFUL DISCLOSURE OR PR,2
DOMESTICE DISTURBANCE,2
MAJOR ACCIDENT,2
190782044,2
SUSPICIOUS PERSON,2
101673,2
200023422,2
220051180,2
STOLEN VEHICLE\,2
NARCOTICS VIOLATION,2
JUSTIFIHOM,2
CRIMINAL MISCHIEF VEHICLE,2
260000766,1
THEFT OF VEHICLE,1
LITTERING,1
210020499,1
CUTTING / STABBING,1
PC 31.03 - BUILDING THEFT,1
ONLINE HARASSMENT,1
INJURY TO CHILD/ENDRANGER,1
5201 QUAIL FEATHER DR,1
THEFT OF FIREARM,1
HIT AND  RUN,1
THFET,1
HARSSMENT,1
250869019,1
ASSAULT FAMILY,1
EVADING ARREST OR DETENTI,1
THEFT OF RECYCLING,1
210054022,1
TEHFT,1
200065221,1
32.21,1
PANDHANDLING,1
240,1
