offense,row_count
23H,83251
90Z,70013
13B,62498
290,61040
23F,58664
220,37339
240,37051
23C,30967
35A,27383
13A,20208
90J,13031
13C,12919
23G,11992
WAR,9990
90D,9143
35B,8733
90E,8380
520,8354
120,7342
26F,6557
26B,6056
90C,4971
TRC,4020
250,3565
90F,3166
26A,3077
100,1588
370,1517
40A,1262
270,1233
200,1161
23B,1084
23A,1081
90I,933
26C,882
90G,873
720,770
26G,756
23E,548
09A,540
23D,426
280,369
39A,243
40B,234
39B,150
TCG,120
64A,110
210,52
40C,52
90H,39
510,29
09B,28
26E,25
64B,25
09C,20
90A,18
39C,17
26D,4
EDU,1
999,1
