offense_desc,row_count
PC 30.04(A) Burglary Vehicle,18815
PC 31.03(e)(2)(A)  Theft Property >=$100<$750,18248
PC 30.04 Burglary of Vehicle,17645
PC 22.01(A)(1) Assault Causes Bodily Injury,17462
PC 31.03 - Others Theft - Others,16843
PC 30.02(C)(2) Burglary Habitation,16581
PC 28.03 Criminal Mischief,15636
PC 30.02(C)(1) Burglary of building,13613
PC 42.07(C) Harassment,11877
PC 30.04(A) Burglary Vehicle 23F THEFT FROM MOTOR ,10835
PC 31.03 - SHOPLIFTING Theft - Shoplifting,9914
PC 30.04(d) Burglary of Vehicles,9905
GC  085-07 Theft under $100,9720
PC 28.03(b)(2) Criminal Mischief >=$100<$750,8784
PC 31.03(E)(4)(A)AUTO2015 Theft Prop>=$2500<$30k A,8549
PC 28.03(B)(2)  Crim Misc>=$100<$750,7741
DRUG NARCOTIC VIOLATIONS Drug/Narcotic Violations,7665
PC 31.03(E)(3)   Theft prop>=$750<$2500,7634
PC 31.03(E)(4)(A)AUTO Theft>$1500<$20K (Auto theft,6948
PC 30.05(d)(1) Criminal Trespass,6814
PC 31.03(E)(2)(A)   PC 31.03(E)(2)(A)  2015 Theft ,6671
OT WARRANT Out of Town Warrant,6568
PC 31.03 - AUTO Auto Theft,6343
GC 080 Public Intoxication,6054
GC 039 Criminal Mischief under $100/Subst Inconven,5983
PC 22.01(A)(1)FV Aslt Causes B/I Family Member,5941
PC 22.01(a)(1) Assault Causes Bodily injury  Famil,5455
PC 31.03(E)(4)(A) Theft Property >= $2500<$30K  (t,5453
PC 49.02 Public Intoxication,5243
PC 31.03 - Others Theft - Others 23H ALL OTHER LAR,5004
PC 31.07 UUMV-Unauthorized Use of Motor Vehicle,4974
PC 49.04 Driving While Intoxicated,4949
PC 42.07 Harassment,4933
PC 22.01(A)(3) Assault Against Eldeer/Disable Ind,4614
GC 088 Assault by Offensive Contact-Class C,4488
PC 28.03(B)(2) 2015 Crim Misc>=$100<$750 290 DESTR,4235
PC 31.03 Theft- Auto parts/accessories only/gas,4178
PC 31.03 - AUTO Auto Theft 240 MOTOR VEHICLE THEFT,4113
HSC 481.121(B)(1) Poss Marij <=2OZ,3909
PC 25.03(d) INTERFERENCE WITH CHILD CUSTODY,3869
PC 28.03(b)(3)(A) Criminal Mischief >=$750<$2500,3783
GC  085-07 Theft under $100- Shoplifting,3768
XXX ,3653
PC 32.31 Credit/Debit Card Abuse,3633
PC 22.01(A)(1)FV Aslt Causes B/I Family Member 13B,3604
PC 22.02 Aggravated Assault,3549
PC 29.03 Agg Robbery,3519
GC 084 Possession of Drug Paraphenalia,3438
GC 088 Assault by Offensive Contact or Threat 13B ,3328
PC 30.02(C)(2) Burglary Habitation 220 BURGLARY/BR,3296
PC 30.02(C)(1) Burglary of building 220 BURGLARY/B,3244
GC 088-03 Assault by Offensive Contact Family or D,3147
MISC CITY ORDINANCE Misc City Ordinances,3106
PC 32.51(C)(1) Fraud Use Poss of ID Info<5 items,3021
PC 31.03(E)(2)(A)  2015 Theft Prop>=$100<$750 23H ,2977
GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2569
PC 22.02(A)(2) Agg Asslt w/Deadly Weapon,2527
PC 30.05 Criminal Trespass,2501
PC 31.03- AUTO PARTS/ACCE Theft- Auto parts/access,2496
PC 22.01(A)(1) Assault Causes B/I 13B SIMPLE ASSAU,2486
PC 25.03 Interfer W/Child Custody,2452
GC 088 Assault by threat-Class C  ,2410
PC 22.01(b)(2)(B) Assault BI Family member strang/,2391
PC 31.03 Theft - Shoplifting 23C SHOPLIFTING 23C,2375
LOCAL Local Class C Warrants,2335
PC 29.02 Robbery,2067
PC 22.02(A)(2)FAMILY Agg Assault w/Deadly Weapon F,2050
PC 31.20(c)(1) Theft-Mail<=10 addresses,1950
PC 32.51 Fraud Use Poss of ID Info,1941
PC 28.03(B)(3)(A) 2015 Crim Misch>=$750<$2500,1885
PC 31.03(E)(5)AUTO 2015 Theft>=$30k<$150k,1858
WARRANTS ONLY Local or outside city warrants,1851
PC 38.04(b) Evading Arrest Detention,1830
GC 081 Disorderly Conduct,1826
PC 31.03 Theft- Auto parts/accessories only/gas 23,1815
PC 38.03(A) Resisting Arr/Search/Transport,1801
