column,dtype,null_count,null_pct,n_unique,uniqueness_ratio,avg_string_length,max_string_length,taxonomy_name_score,taxonomy_name_reasons,profile_status
lurn_sak,String,0,0.0,1939734,0.9996124682167251,8.0,8,0,"",profiled
incident_date,String,0,0.0,1285446,0.6624350806962792,22.0,22,-100,excluded:date,profiled
incident_reported_date,String,0,0.0,4603,0.002372086168104279,10.0,10,-100,excluded:date,profiled
category,String,0,0.0,30,0.000015460044545541685,15.638190123505142,28,8,category:8,profiled
stat,String,0,0.0,267,0.000137594396455321,3.0,3,0,"",profiled
stat_desc,String,0,0.0,269,0.00013862506609169044,44.00469418485884,68,7,_desc:7,profiled
address,String,9676,0.49863797007553784,434606,0.22508998813969266,38.1682325034571,93,-100,excluded:address,profiled
street,String,11951,0.6158766412125622,264988,0.13740378058992966,18.8713676443518,74,-100,excluded:street,profiled
city,String,9676,0.49863797007553784,817,0.0004231384755620698,9.355365364795086,30,0,"",profiled
zip,String,195471,10.073301224538595,927,0.0005312275252648258,3.1983656300948704,5,0,"",profiled
incident_id,String,0,0.0,1939739,0.999615044890816,14.0,14,-100,excluded:incident.*(?:id|number|num|no),profiled
reporting_district,String,0,0.0,1633,0.0008415417580956523,4.0,4,-100,excluded:district,profiled
seq,String,0,0.0,29266,0.015081788788994098,5.0,5,0,"",profiled
gang_related,String,0,0.0,2,1.0306696363694456e-6,2.0145592392833547,3,0,"",profiled
unit_id,String,0,0.0,63,0.000032466093545637535,9.0,9,0,"",profiled
unit_name,String,0,0.0,76,0.000039165446182038936,10.40138862120108,36,0,"",profiled
longitude,String,105938,5.459353996885316,1352,0.0007369662718010103,7.8932799795917035,8,-100,excluded:longitude,profiled
latitude,String,105938,5.459353996885316,1209,0.0006590179161297497,5.877485353340441,14,-100,excluded:latitude,profiled
part_category,String,0,0.0,2,1.0306696363694456e-6,1.0,1,8,category:8,profiled
source_city,String,0,0.0,1,5.153348181847228e-7,26.0,26,-100,ingestion_metadata,profiled
source_file_uri,String,0,0.0,13,6.6993526364013965e-6,87.15492819839979,91,-100,ingestion_metadata,profiled
ingestion_run_id,String,0,0.0,1,5.153348181847228e-7,36.0,36,-100,ingestion_metadata,profiled
ingested_at_utc,"Datetime(time_unit='us', time_zone='UTC')",0,0.0,1,5.153348181847228e-7,,,-100,ingestion_metadata,profiled
snapshot_id,String,0,0.0,1,5.153348181847228e-7,36.0,36,-100,ingestion_metadata,profiled
occurrence_year,Int64,0,0.0,64,0.00003298142836382226,,,-100,ingestion_metadata,profiled
