part_category,category,stat_desc,stat,source_file_uri
2,SEX OFFENSES FELONIES,SEX FELONIES: Sex Crimes Against Children (Under 14 Years),120,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2020.csv
2,SEX OFFENSES FELONIES,SEX FELONIES: Sex Crimes Against Children (Under 14 Years),120,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2020.csv
2,SEX OFFENSES FELONIES,SEX FELONIES: Sex Crimes Against Children (Under 14 Years),120,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2020.csv
2,SEX OFFENSES FELONIES,SEX FELONIES: Sex Crimes Against Children (Under 14 Years),120,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2020.csv
2,SEX OFFENSES FELONIES,SEX FELONIES: Sex Crimes Against Children (Under 14 Years),120,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2018.csv
2,SEX OFFENSES FELONIES,SEX FELONIES: Sex Crimes Against Children (Under 14 Years),120,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2020.csv
1,FORCIBLE RAPE,"RAPE BY FORCE, FEMALE UNDER 18",023,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2015.csv
2,SEX OFFENSES FELONIES,SEX FELONIES: Sex Crimes Against Children (Under 14 Years),120,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2014.csv
2,SEX OFFENSES FELONIES,SEX FELONIES: Sex Crimes Against Children (Under 14 Years),120,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2014.csv
2,WEAPON LAWS,WEAPON LAWS: Misdemeanor,152,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2018.csv
2,SEX OFFENSES FELONIES,SEX FELONIES: Sex Crimes Against Children (Under 14 Years),120,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2020.csv
2,SEX OFFENSES FELONIES,SEX FELONIES: Sex Crimes Against Children (Under 14 Years),120,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2022.csv
2,SEX OFFENSES FELONIES,SEX FELONIES: Sex Crimes Against Children (Under 14 Years),120,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2015.csv
2,SEX OFFENSES FELONIES,SEX FELONIES: Sex Crimes Against Children (Under 14 Years),120,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2017.csv
2,SEX OFFENSES MISDEMEANORS,SEX MISDEMEANORS: All Other Sex Misdemeanors,139,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2017.csv
2,SEX OFFENSES FELONIES,SEX FELONIES: Sex Crimes Against Children (Under 14 Years),120,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2018.csv
