part_category,category,stat_desc,stat,row_count
2,VEHICLE / BOATING LAWS,VEHICLE AND BOATING LAWS: Misdemeanor,255,123246
1,GRAND THEFT AUTO,GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van,091,113498
2,NARCOTICS,Misdemeanor Possessn of a Controlled Substance (excluding Marijuana),185,94280
1,LARCENY THEFT,VEHICLE BURGLARY: Auto/Passenger Van Burglary,340,87709
2,NON-AGGRAVATED ASSAULTS,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc.",144,83875
2,VEHICLE / BOATING LAWS,"VEHICLE AND BOATING LAWS: Hit And Run, Misdemeanor",250,81157
2,NON-AGGRAVATED ASSAULTS,"ASSAULT, NON-AGGRAVATED: DOMESTIC VIOLENCE",146,74844
1,LARCENY THEFT,"THEFT, PETTY: Shoplifting (From Dept Store, Mkt, Etc)",383,67724
2,VANDALISM,VANDALISM FELONY,263,64553
2,MISDEMEANORS MISCELLANEOUS,"MISDEMEANORS, MISCELLANEOUS: All Other Misdemeanors",399,60631
1,LARCENY THEFT,"THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)",389,60264
2,VANDALISM,VANDALISM MISD,261,52529
2,FRAUD AND NSF CHECKS,FRAUD: Fraud By False Pretenses,112,42913
1,LARCENY THEFT,"GRAND THEFT: Other (From Boat, Plane, Prvt Res, Yard, Etc)",089,41155
2,FRAUD AND NSF CHECKS,IDENTITY THEFT (GOODS/SERVICES/CREDIT),117,35580
2,WEAPON LAWS,WEAPON LAWS: Felony,151,33933
1,LARCENY THEFT,GRAND THEFT: Auto Parts And Accessories,085,31788
1,BURGLARY,"BURGLARY, OTHER STRUCTURE: Night, Entry By Force",071,29290
1,LARCENY THEFT,"THEFT, PETTY: From Auto (Except Parts/Accessories)",384,29287
1,GRAND THEFT AUTO,"GRAND THEFT VEHICLE (GTA): Truck, Motor Home, Cargo Van",093,26408
2,DRUNK DRIVING VEHICLE / BOAT,DRUNK DRIVING - VEHICLE/BOAT: Alc/Drugs,242,21160
2,NARCOTICS,Under The Influence Of Narcotic 11550 HS. Does Not Incl 647(f)PC,183,20921
2,NARCOTICS,Felony Possession of a Controlled Substance (excluding Marijuana),184,20799
1,AGGRAVATED ASSAULT,"ASSAULT, AGGRAVATED: ADW - OTHER DANGEROUS WEAPON",053,20325
1,AGGRAVATED ASSAULT,"ASSAULT, AGGRAVATED: DOMESTIC VIOLENCE",050,18678
2,MISDEMEANORS MISCELLANEOUS,"MISDEMEANORS, MISCELLANEOUS: Trespassing",391,18564
1,AGGRAVATED ASSAULT,"ASSAULT, AGGRAVATED: ADW - GUN",051,18028
2,DRUNK / ALCOHOL / DRUGS,DRUNK: Alcohol,201,17430
2,NARCOTICS,Felony Transport. &/or Sale of Controlled Substance(excpt Marijuana),181,17345
2,FELONIES MISCELLANEOUS,"FELONIES, MISCELLANEOUS: All Other Felonies",339,16762
1,BURGLARY,"BURGLARY, RESIDENCE: Day, Entry By Force",064,16663
1,BURGLARY,"BURGLARY, OTHER STRUCTURE: Unknown, Entry By Force",077,15383
1,AGGRAVATED ASSAULT,"ASSAULT, AGGRAVATED: ADW - HANDS, FEET, FIST, ETC.",054,15090
1,LARCENY THEFT,"GRAND THEFT: Shoplifting (From Dept Store, Mkt Gas Sta)",083,15021
2,FORGERY,WORTHLESS DOCUMENTS/FORGERY: Forgery - Checks/Money Orders,103,13185
2,VANDALISM,VANDALISM: Graffiti/Tagging,264,13181
2,OFFENSES AGAINST FAMILY,OFFENSES AGAINST FAMILY: Domestic Violence (Other than Phys Assault),175,13066
1,ROBBERY,"ROBBERY, STRONG-ARM: Other",047,12788
1,LARCENY THEFT,GRAND THEFT: From Unlocked Auto,084,11797
1,BURGLARY,"BURGLARY, RESIDENCE: Unknown, Entry By Force",067,11704
1,BURGLARY,"BURGLARY, RESIDENCE: Night, Entry by Force",061,11092
2,NON-AGGRAVATED ASSAULTS,"ASSAULT, NON-AGG: Obstruct/Resist/Battery Peace Officer",145,10884
1,LARCENY THEFT,VEHICLE BURGLARY: Truck/Cargo Van Burglary,342,10306
1,AGGRAVATED ASSAULT,"ASSAULT, AGGRAVATED: ADW - KNIFE",052,10174
1,GRAND THEFT AUTO,"GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van, Attempt",092,10146
