category,row_count
LARCENY THEFT,401494
VEHICLE / BOATING LAWS,212386
NON-AGGRAVATED ASSAULTS,173343
NARCOTICS,172693
GRAND THEFT AUTO,165202
VANDALISM,133263
BURGLARY,132485
FRAUD AND NSF CHECKS,91519
AGGRAVATED ASSAULT,91123
MISDEMEANORS MISCELLANEOUS,80785
ROBBERY,50978
WEAPON LAWS,49282
FELONIES MISCELLANEOUS,26995
DRUNK DRIVING VEHICLE / BOAT,24477
FORGERY,20279
OFFENSES AGAINST FAMILY,19456
DRUNK / ALCOHOL / DRUGS,17720
SEX OFFENSES MISDEMEANORS,13935
SEX OFFENSES FELONIES,12585
LIQUOR LAWS,12295
WARRANTS,7509
ARSON,6430
DISORDERLY CONDUCT,6370
FORCIBLE RAPE,4855
FEDERAL OFFENSES WITH MONEY,4329
VAGRANCY,3926
RECEIVING STOLEN PROPERTY,2228
CRIMINAL HOMICIDE,2086
GAMBLING,294
FEDERAL OFFENSES W/O MONEY,164
