stat,row_count
255,123246
091,113498
185,94280
340,87709
144,83875
250,81157
146,74844
383,67724
263,64553
399,60631
389,60264
261,52529
112,42913
089,41155
117,35580
151,33933
085,31788
071,29290
384,29287
093,26408
242,21160
183,20921
184,20799
053,20325
050,18678
391,18564
051,18028
201,17430
181,17345
339,16762
064,16663
077,15383
054,15090
083,15021
103,13185
264,13181
175,13066
047,12788
084,11797
067,11704
061,11092
145,10884
342,10306
052,10174
092,10146
385,9881
387,9705
198,9469
037,8082
065,7962
152,7501
153,7293
386,7250
068,7166
042,6999
139,6707
285,6590
087,6250
189,6235
182,6191
032,6169
097,5717
330,5689
062,5426
078,5131
074,5119
252,5018
120,4807
072,4801
075,4542
217,4246
186,4187
107,4101
095,3961
041,3865
057,3541
149,3396
031,3296
118,3288
122,3205
174,3173
059,3118
262,3000
251,2923
277,2808
094,2805
086,2668
130,2619
021,2510
341,2284
090,2272
188,2229
290,2228
221,2208
066,2198
119,2192
105,2101
136,2093
011,2080
063,2058
081,2043
129,2012
038,1993
113,1950
058,1926
316,1859
073,1855
082,1799
222,1718
324,1709
034,1686
161,1681
134,1647
172,1592
279,1587
344,1549
196,1541
023,1459
111,1451
245,1423
350,1387
044,1383
314,1326
048,1301
045,1295
315,1142
035,1127
241,1104
212,1029
126,989
121,953
177,844
079,778
069,768
326,704
115,649
101,649
243,645
270,644
076,549
106,533
155,533
187,506
199,491
325,466
216,447
210,433
287,425
388,421
343,419
328,414
124,412
193,407
033,405
133,398
114,390
165,385
178,361
104,359
390,358
275,352
274,350
147,344
022,343
392,332
397,307
080,301
202,287
323,274
162,270
329,270
271,267
138,264
098,262
529,261
043,249
286,243
027,231
176,226
283,219
231,218
025,213
327,185
046,176
137,162
322,155
036,150
055,150
171,140
191,136
218,135
195,134
272,130
088,128
345,126
360,120
278,117
096,114
197,110
102,107
276,107
305,105
125,104
246,99
382,98
511,96
056,93
396,93
334,88
333,81
233,76
024,68
273,68
127,66
393,60
695,55
173,54
256,42
213,37
520,36
128,34
244,33
214,33
135,33
280,32
302,27
308,27
398,26
432,25
154,22
512,21
395,20
099,19
336,18
028,18
338,16
522,15
240,13
026,13
039,12
132,12
351,12
163,11
219,10
610,9
331,8
523,7
321,6
192,5
521,5
012,5
612,5
335,4
303,3
203,3
116,3
123,3
301,2
431,2
332,2
194,2
049,2
312,2
436,1
370,1
013,1
361,1
