stat_desc,row_count
VEHICLE AND BOATING LAWS: Misdemeanor,123246
GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van,113498
Misdemeanor Possessn of a Controlled Substance (excluding Marijuana),94280
VEHICLE BURGLARY: Auto/Passenger Van Burglary,87709
"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc.",83875
"VEHICLE AND BOATING LAWS: Hit And Run, Misdemeanor",81157
"ASSAULT, NON-AGGRAVATED: DOMESTIC VIOLENCE",74844
"THEFT, PETTY: Shoplifting (From Dept Store, Mkt, Etc)",67724
VANDALISM FELONY,64553
"MISDEMEANORS, MISCELLANEOUS: All Other Misdemeanors",60631
"THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)",60264
VANDALISM MISD,52529
FRAUD: Fraud By False Pretenses,42913
"GRAND THEFT: Other (From Boat, Plane, Prvt Res, Yard, Etc)",41155
IDENTITY THEFT (GOODS/SERVICES/CREDIT),35580
WEAPON LAWS: Felony,33933
GRAND THEFT: Auto Parts And Accessories,31788
"BURGLARY, OTHER STRUCTURE: Night, Entry By Force",29290
"THEFT, PETTY: From Auto (Except Parts/Accessories)",29287
"GRAND THEFT VEHICLE (GTA): Truck, Motor Home, Cargo Van",26408
DRUNK DRIVING - VEHICLE/BOAT: Alc/Drugs,21160
Under The Influence Of Narcotic 11550 HS. Does Not Incl 647(f)PC,20921
Felony Possession of a Controlled Substance (excluding Marijuana),20799
"ASSAULT, AGGRAVATED: ADW - OTHER DANGEROUS WEAPON",20325
"ASSAULT, AGGRAVATED: DOMESTIC VIOLENCE",18678
"MISDEMEANORS, MISCELLANEOUS: Trespassing",18564
"ASSAULT, AGGRAVATED: ADW - GUN",18028
DRUNK: Alcohol,17430
Felony Transport. &/or Sale of Controlled Substance(excpt Marijuana),17345
"FELONIES, MISCELLANEOUS: All Other Felonies",16762
"BURGLARY, RESIDENCE: Day, Entry By Force",16663
"BURGLARY, OTHER STRUCTURE: Unknown, Entry By Force",15383
"ASSAULT, AGGRAVATED: ADW - HANDS, FEET, FIST, ETC.",15090
"GRAND THEFT: Shoplifting (From Dept Store, Mkt Gas Sta)",15021
WORTHLESS DOCUMENTS/FORGERY: Forgery - Checks/Money Orders,13185
VANDALISM: Graffiti/Tagging,13181
OFFENSES AGAINST FAMILY: Domestic Violence (Other than Phys Assault),13066
"ROBBERY, STRONG-ARM: Other",12788
GRAND THEFT: From Unlocked Auto,11797
"BURGLARY, RESIDENCE: Unknown, Entry By Force",11704
"BURGLARY, RESIDENCE: Night, Entry by Force",11092
"ASSAULT, NON-AGG: Obstruct/Resist/Battery Peace Officer",10884
VEHICLE BURGLARY: Truck/Cargo Van Burglary,10306
"ASSAULT, AGGRAVATED: ADW - KNIFE",10174
"GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van, Attempt",10146
"THEFT, PETTY: Auto Parts And Accessories",9881
"THEFT, PETTY: From Bldgs (Church, School, Restaurant)",9705
LIQUOR LAWS: All Other Liquor Law Violations,9469
"ROBBERY, WEAPON: Other",8082
"BURGLARY, RESIDENCE: Day, Entry No Force",7962
WEAPON LAWS: Misdemeanor,7501
"WEAPON LAWS: Shooting, Unlawful",7293
"THEFT, PETTY: Bicycles",7250
"BURGLARY, RESIDENCE: Unknown, Entry No Force",7166
"ROBBERY, STRONG-ARM: Store, Business, Hotel, Motel, Etc.",6999
SEX MISDEMEANORS: All Other Sex Misdemeanors,6707
"WARRANTS: Felony, Out Of County",6590
"GRAND THEFT: From Bldg(Churches, Schools, Restaurants, Offices, Etc)",6250
NARCOTICS: Marijuana Misdemeanors (Less Than 1 oz),6235
"Felony Transport,Sales,Possess Marijuana,Concentrtd Cannabis/Hashsh",6191
"ROBBERY, WEAPON: Store, Business, Hotel, Motel, Etc.",6169
"GRAND THEFT VEHICLE (GTA): Other Veh (Snowmobile, Golf Cart, Etc)",5717
"FELONIES, MISCELLANEOUS: Embezzlement, Felony",5689
"BURGLARY, RESIDENCE: Night, Entry No Force",5426
"BURGLARY, OTHER STRUCTURE: Unknown, Entry No Force",5131
"BURGLARY, OTHER STRUCTURE: Day, Entry By Force",5119
VEHICLE AND BOATING LAWS: Felony,5018
SEX FELONIES: Sex Crimes Against Children (Under 14 Years),4807
