crime_class,crime,row_count
THEFT,THEFT,4399
ALL OTHER - CRIMINAL,WARR ARR,3315
ALL OTHER - NON-CRIMINAL,SUS CIRC,3161
ALL OTHER - NON-CRIMINAL,MENTAL,2947
DRUGS / NARCOTICS VIOLATION,HS,2813
TRAFFIC INCIDENT,VEH CODE,1935
FRAUD,FRAUD,1825
VANDALISM,VANDALISM,1779
BURGLARY FROM MOTOR VEHICLE,BURG AUTO,1706
TRAFFIC INCIDENT,VTOW,1671
ALL OTHER - CRIMINAL,MISC PC,1547
ALL OTHER - NON-CRIMINAL,ACHP,1450
BURGLARY - RESIDENTIAL,BURG RES,1391
ASSAULT - OTHER,ASSAULT,1333
ALL OTHER - NON-CRIMINAL,FOUND,1294
ALL OTHER - NON-CRIMINAL,ALAW,1276
DRUGS / NARCOTICS VIOLATION,DRUNK,1263
ALL OTHER - CRIMINAL,DOM VIOL,1241
ALL OTHER - NON-CRIMINAL,BODY,1063
ALL OTHER - NON-CRIMINAL,MCSO,1042
ASSAULT - OTHER,CHILD ABUS,1014
ALL OTHER - NON-CRIMINAL,MISS PERS,904
ALL OTHER - NON-CRIMINAL,AOTH,775
ALL OTHER - NON-CRIMINAL,LOST,739
ALL OTHER - NON-CRIMINAL,OTHER,722
ALL OTHER - NON-CRIMINAL,ADEATH,679
FRAUD,IDENT THEF,661
ALL OTHER - NON-CRIMINAL,AMED,628
ALL OTHER - NON-CRIMINAL,ACIT,517
ALL OTHER - CRIMINAL,TRO,515
SEXUAL OFFENSE - OTHER,SEX,515
MOTOR VEHICLE THEFT,VEH RECV,501
BURGLARY - COMMERCIAL,BURG COMM,443
ASSAULT - OTHER,BATTERY,389
ALL OTHER - NON-CRIMINAL,TRESPASS,326
DISORDERLY CONDUCT,DIST PEACE,311
ALL OTHER - CRIMINAL,THREATS,293
ALL OTHER - NON-CRIMINAL,WELFAR CHK,291
ALL OTHER - NON-CRIMINAL,CIV,265
ALL OTHER - CRIMINAL,RESIST ARR,238
DRUGS / NARCOTICS VIOLATION,DRUGS,233
WEAPONS VIOLATION,WEAPONS,228
ALL OTHER - CRIMINAL,VEHIC TAMP,215
ALL OTHER - CRIMINAL,DV TRO,214
DISORDERLY CONDUCT,RUNAWAY,197
ROBBERY - INDIVIDUAL,ROBBERY,191
THEFT,SHOPLIFTNG,182
DUI,DUI,173
TRAFFIC INCIDENT,VABT,158
ALL OTHER - NON-CRIMINAL,AFIRE,135
MOTOR VEHICLE THEFT,VEH STLN,132
DISORDERLY CONDUCT,HARAS,130
ALL OTHER - CRIMINAL,MS,130
ALL OTHER - CRIMINAL,VIO CT OR,110
ALL OTHER - NON-CRIMINAL,ANML,97
TRAFFIC INCIDENT,PURSUIT,78
DISORDERLY CONDUCT,PROWLER,62
SEXUAL OFFENSE - OTHER,INDEC EXPO,55
SEXUAL ASSAULT,RAPE,52
ALL OTHER - CRIMINAL,STOLEN PRP,47
BURGLARY - RESIDENTIAL,BURG,44
TRAFFIC INCIDENT,TRAFFIC,44
DEATH INVESTIGATION,SUICIDE,41
ALL OTHER - NON-CRIMINAL,MAST,40
DISORDERLY CONDUCT,INCORRIG,37
ARSON,ARSON,33
ALL OTHER - NON-CRIMINAL,PROB,33
TRAFFIC INCIDENT,PARK,33
SEXUAL OFFENSE - OTHER,290,29
ALL OTHER - CRIMINAL,SHOTS FIRE,26
ALL OTHER - NON-CRIMINAL,UNSUB,25
ALL OTHER - NON-CRIMINAL,ADV,24
ASSAULT - OTHER,CHILD NEGL,20
ALL OTHER - CRIMINAL,BP,18
ALL OTHER - CRIMINAL,ORDINANCES,16
TRAFFIC INCIDENT,HIT & RUN,14
ALL OTHER - NON-CRIMINAL,SUSPIC VEH,14
DRUGS / NARCOTICS VIOLATION,POSS PARAP,14
FRAUD,EMBEZZLEM,14
ALL OTHER - NON-CRIMINAL,PATROL,12
DISORDERLY CONDUCT,DISTURBANC,12
FRAUD,FORGERY,12
ALL OTHER - NON-CRIMINAL,SOLIC,12
ALL OTHER - CRIMINAL,COUNTERFEI,10
TRAFFIC INCIDENT,CITATIONS,9
ALL OTHER - CRIMINAL,BOMB,8
ALL OTHER - CRIMINAL,ESCAPE,7
ALL OTHER - CRIMINAL,EXPLODE,7
ALL OTHER - NON-CRIMINAL,FAL ALARM,6
,MARDEB,5
ALL OTHER - CRIMINAL,KIDNAP,4
,BAIT,3
DEATH INVESTIGATION,DEATH1,2
HOMICIDE,MURDER,2
,EXPAT,2
TRAFFIC INCIDENT,TRAF HAZ,2
DEATH INVESTIGATION,DEATH,1
,243E1,1
,ATC,1
ALL OTHER - NON-CRIMINAL,VHAB,1
,E-FILES,1
