crime,row_count
THEFT,4399
WARR ARR,3315
SUS CIRC,3161
MENTAL,2947
HS,2813
VEH CODE,1935
FRAUD,1825
VANDALISM,1779
BURG AUTO,1706
VTOW,1671
MISC PC,1547
ACHP,1450
BURG RES,1391
ASSAULT,1333
FOUND,1294
ALAW,1276
DRUNK,1263
DOM VIOL,1241
BODY,1063
MCSO,1042
CHILD ABUS,1014
MISS PERS,904
AOTH,775
LOST,739
OTHER,722
ADEATH,679
IDENT THEF,661
AMED,628
ACIT,517
TRO,515
SEX,515
VEH RECV,501
BURG COMM,443
BATTERY,389
TRESPASS,326
DIST PEACE,311
THREATS,293
WELFAR CHK,291
CIV,265
RESIST ARR,238
DRUGS,233
WEAPONS,228
VEHIC TAMP,215
DV TRO,214
RUNAWAY,197
ROBBERY,191
SHOPLIFTNG,182
DUI,173
VABT,158
AFIRE,135
VEH STLN,132
HARAS,130
MS,130
VIO CT OR,110
ANML,97
PURSUIT,78
PROWLER,62
INDEC EXPO,55
RAPE,52
STOLEN PRP,47
TRAFFIC,44
BURG,44
SUICIDE,41
MAST,40
INCORRIG,37
ARSON,33
PROB,33
PARK,33
290,29
SHOTS FIRE,26
UNSUB,25
ADV,24
CHILD NEGL,20
BP,18
ORDINANCES,16
HIT & RUN,14
SUSPIC VEH,14
POSS PARAP,14
EMBEZZLEM,14
PATROL,12
DISTURBANC,12
SOLIC,12
FORGERY,12
COUNTERFEI,10
CITATIONS,9
BOMB,8
EXPLODE,7
ESCAPE,7
FAL ALARM,6
MARDEB,5
KIDNAP,4
BAIT,3
MURDER,2
DEATH1,2
TRAF HAZ,2
EXPAT,2
E-FILES,1
ATC,1
DEATH,1
243E1,1
VHAB,1
