column,dtype,null_count,null_pct,n_unique,uniqueness_ratio,avg_string_length,max_string_length,taxonomy_name_score,taxonomy_name_reasons,profile_status
incident_id,String,505251,33.33333333333333,468322,0.46345479771440334,8.351037405170896,9,-100,excluded:incident.*(?:id|number|num|no),profiled
offence_code,String,0,0.0,4732,0.0031218806758093174,5.547980442723848,11,20,offen[sc]e:15; code:5,profiled
case_number,String,1010502,66.66666666666666,464839,0.9200159920514754,8.918268345832072,9,-100,excluded:case.*(?:id|number|num|no),profiled
date,String,1083536,71.4849978855394,395646,0.9153874095651027,23.0,23,-100,excluded:date,profiled
start_date,String,1010502,66.66666666666666,370208,0.73272096443154,23.0,23,-100,excluded:date,profiled
end_date,String,1291067,85.17660858992198,157205,0.6996653107002662,23.0,23,-100,excluded:date,profiled
nibrs_code,String,1010502,66.66666666666666,55,0.00010885678603308059,3.0,3,20,nibrs:15; code:5,profiled
victims,String,1010502,66.66666666666666,11,0.00002177135720661612,1.0000019792142916,2,0,"",profiled
crimename1,String,1010502,66.66666666666666,5,9.89607145755278e-6,21.42845635139762,25,10,crime:10,profiled
crimename2,String,1010502,66.66666666666666,55,0.00010885678603308059,21.542674828946407,43,10,crime:10,profiled
crimename3,String,1010502,66.66666666666666,361,0.0007144963592353108,23.45612774640723,50,10,crime:10,profiled
district,String,1012036,66.76787049077258,9,0.000017867175417943013,11.026294526490073,18,-100,excluded:district,profiled
location,String,1050103,69.27929550527033,23471,0.05040481047997423,22.480453130033286,38,-100,excluded:location,profiled
city,String,1010539,66.6691076976262,315,0.0006234981611752643,11.118266714699118,21,0,"",profiled
state,String,1020011,67.29401162326579,13,0.000026223317774164786,1.9999959656434194,2,0,"",profiled
zip_code,String,1013974,66.89572773400415,207,0.00041253221039541313,4.999952170178505,5,-100,excluded:zip_code,profiled
agency,String,1010502,66.66666666666666,9,0.000017812928623595004,3.943885316407093,4,-100,excluded:agency,profiled
place,String,1010502,66.66666666666666,101,0.00019990064344256616,21.32336996858987,39,0,"",profiled
sector,String,1010502,66.66666666666666,17,0.00003364664295567946,1.0,1,-100,excluded:sector,profiled
beat,String,1010502,66.66666666666666,61,0.00012073207178214392,3.0,3,-100,excluded:beat,profiled
pra,String,1010511,66.66726043095412,809,0.001601212884122856,3.012263430197806,7,0,"",profiled
address_number,String,1049960,69.26986125048077,442,0.0009489193697629634,4.1017275914408335,7,-100,excluded:address,profiled
street_prefix_dir,String,1493319,98.51994355280841,5,0.0002228759917981635,1.0,1,-100,excluded:street,profiled
address_street,String,1011961,66.76292245504379,8153,0.0161832661098231,8.879245799853908,38,-100,excluded:address; excluded:street,profiled
street_suffix_dir,String,1508852,99.54471473914286,7,0.0010143457469931894,1.0021735980292712,2,-100,excluded:street,profiled
street_type,String,1012350,66.78858626702372,36,0.00007151328061215368,2.3981124466878425,3,-100,excluded:street,profiled
latitude,String,1010502,66.66666666666666,18947,0.037500173181250505,7.65487846634643,8,-100,excluded:latitude,profiled
longitude,String,1010502,66.66666666666666,4372,0.008653124882484152,7.643941328171542,8,-100,excluded:longitude,profiled
police_district_number,String,1010502,66.66666666666666,9,0.000017812928623595004,2.0740681364311997,7,-100,excluded:district,profiled
geolocation,String,1515753,100.0,1,,,,-100,excluded:location,profiled
source_city,String,0,0.0,1,6.597380971701854e-7,20.0,20,-100,ingestion_metadata,profiled
source_file_uri,String,0,0.0,11,7.2571190688720396e-6,72.0,72,-100,ingestion_metadata,profiled
ingestion_run_id,String,0,0.0,1,6.597380971701854e-7,36.0,36,-100,ingestion_metadata,profiled
ingested_at_utc,"Datetime(time_unit='us', time_zone='UTC')",0,0.0,1,6.597380971701854e-7,,,-100,ingestion_metadata,profiled
snapshot_id,String,0,0.0,1,6.597380971701854e-7,36.0,36,-100,ingestion_metadata,profiled
occurrence_year,Int64,1010502,66.66666666666666,12,0.000023750571498126673,,,-100,ingestion_metadata,profiled
