nibrs_code,offence_code,crimename1,crimename2,crimename3,source_file_uri
23D,2308,Crime Against Property,Theft from Building,LARCENY - FROM BLDG,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
26A,2699,Crime Against Property,False Pretenses/Swindle/Confidence Game,FRAUD (DESCRIBE OFFENSE),s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
26C,2604,Crime Against Property,Impersonation,FRAUD - IMPERSONATION,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
240,2404,Crime Against Property,Motor Vehicle Theft,AUTO THEFT - VEHICLE THEFT,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
11A,1103,Crime Against Person,Forcible Rape,RAPE - STRONG-ARM,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
23D,2308,Crime Against Property,Theft from Building,LARCENY - FROM BLDG,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
250,2504,Crime Against Property,Counterfeiting/Forgery,FORGERY - PASS FORGED,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
250,2589,Crime Against Property,Counterfeiting/Forgery,FORGERY (DESCRIBE OFFENSE),s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
26A,2699,Crime Against Property,False Pretenses/Swindle/Confidence Game,FRAUD (DESCRIBE OFFENSE),s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
23H,2399,Crime Against Property,All other Larceny,LARCENY (DESCRIBE OFFENSE),s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
23D,2308,Crime Against Property,Theft from Building,LARCENY - FROM BLDG,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
11D,1199,Crime Against Person,Forcible Fondling,SEX ASSAULT - FONDLING,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
90Z,9108,Crime Against Society,All Other Offenses,RECOVERED PROPERTY - MONT CO.,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
90Z,9105,Crime Against Society,All Other Offenses,LOST PROPERTY,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
90Z,9105,Crime Against Society,All Other Offenses,LOST PROPERTY,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
90Z,9105,Crime Against Society,All Other Offenses,LOST PROPERTY,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
90Z,2411,Crime Against Society,All Other Offenses,UNAUTHORIZED USE OF VEHICLE (INCLUDES JOY RIDING),s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
90Z,9105,Crime Against Society,All Other Offenses,LOST PROPERTY,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
90Z,9199,Crime Against Society,All Other Offenses,POLICE INFORMATION,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
290,2902,Crime Against Property,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY - PRIVATE,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
26C,2604,Crime Against Property,Impersonation,FRAUD - IMPERSONATION,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
23G,2304,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,LARCENY - AUTO PARTS,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
26F,2610,Crime Against Property,Identity Theft,IDENTITY THEFT,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
11A,9003,Crime Against Person,Forcible Rape,SEX ASSAULT - WITH AN OBJECT,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
90Z,9105,Crime Against Society,All Other Offenses,LOST PROPERTY,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
90Z,3707,Crime Against Society,All Other Offenses,OBSCENE COMMUNICATION,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
23C,2303,Crime Against Property,Shoplifting,LARCENY - SHOPLIFTING,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
520,5202,Crime Against Society,Weapon Law Violations,WEAPON - CONCEALED,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
90J,5707,Crime Against Society,Trespass of Real Property,TRESPASSING,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
23H,2399,Crime Against Property,All other Larceny,LARCENY (DESCRIBE OFFENSE),s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
13A,1315,Crime Against Person,Aggravated Assault,ASSAULT - AGGRAVATED - OTHER,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
90C,5311,Crime Against Society,Disorderly Conduct,PUBLIC PEACE - DISORDERLY CONDUCT,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
35A,3562,Crime Against Society,Drug/Narcotic Violations,DRUGS - MARIJUANA - POSSESS,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
90D,5404,Crime Against Society,Driving Under the Influence,DRIVING UNDER THE INFLUENCE LIQUOR,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
