column,dtype
incident_id,String
offence_code,String
case_number,String
date,String
start_date,String
end_date,String
nibrs_code,String
victims,String
crimename1,String
crimename2,String
crimename3,String
district,String
location,String
city,String
state,String
zip_code,String
agency,String
place,String
sector,String
beat,String
pra,String
address_number,String
street_prefix_dir,String
address_street,String
street_suffix_dir,String
street_type,String
latitude,String
longitude,String
police_district_number,String
geolocation,String
source_city,String
source_file_uri,String
ingestion_run_id,String
ingested_at_utc,"Datetime(time_unit='us', time_zone='UTC')"
snapshot_id,String
occurrence_year,Int64
