nibrs_code,offence_code,crimename1,crimename2,crimename3,row_count
,  ,,,,505251
23F,2305,Crime Against Property,Theft From Motor Vehicle,LARCENY - FROM AUTO,41158
23C,2303,Crime Against Property,Shoplifting,LARCENY - SHOPLIFTING,34805
90Z,9199,Crime Against Society,All Other Offenses,POLICE INFORMATION,32896
13B,1399,Crime Against Person,Simple Assault,ASSAULT - 2ND DEGREE,31602
," 0.0)""",,,,24220
23H,2399,Crime Against Property,All other Larceny,LARCENY (DESCRIBE OFFENSE),20597
290,2902,Crime Against Property,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY - PRIVATE,19728
90Z,9113,Crime Against Society,All Other Offenses,MENTAL ILLNESS - EMERGENCY PETITION,19595
90D,5404,Crime Against Society,Driving Under the Influence,DRIVING UNDER THE INFLUENCE LIQUOR,19329
90Z,9105,Crime Against Society,All Other Offenses,LOST PROPERTY,17794
240,2404,Crime Against Property,Motor Vehicle Theft,AUTO THEFT - VEHICLE THEFT,17140
23D,2308,Crime Against Property,Theft from Building,LARCENY - FROM BLDG,16939
35A,3562,Crime Against Society,Drug/Narcotic Violations,DRUGS - MARIJUANA - POSSESS,16917
23G,2304,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,LARCENY - AUTO PARTS,14323
26F,2610,Crime Against Property,Identity Theft,IDENTITY THEFT,13483
90Z,9101,Crime Against Society,All Other Offenses,SUDDEN DEATH,9959
26B,2605,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,FRAUD - ILLEGAL USE CREDIT CARDS,8240
90Z,9107,Crime Against Society,All Other Offenses,MISSING PERSON,7442
290,2999,Crime Against Property,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY (DESCRIBE OFFENSE),7388
90J,5707,Crime Against Society,Trespass of Real Property,TRESPASSING,6284
90C,5311,Crime Against Society,Disorderly Conduct,PUBLIC PEACE - DISORDERLY CONDUCT,6199
," -77.0519)""",,,,6189
90I,9021,Crime Against Not a Crime,Runaway,JUVENILE - RUNAWAY,6096
90G,4104,Crime Against Society,Liquor Law Violations,LIQUOR - POSSESS,5518
13B,1313,Crime Against Person,Simple Assault,ASSAULT - SIMPLE,5304
220,2202,Crime Against Property,Burglary/Breaking and Entering,BURGLARY - FORCED ENTRY-RESIDENTIAL,5218
26A,2601,Crime Against Property,False Pretenses/Swindle/Confidence Game,FRAUD - CONFIDENCE GAME,4835
," -77.2448)""",,,,4437
90Z,9108,Crime Against Society,All Other Offenses,RECOVERED PROPERTY - MONT CO.,4255
26A,2699,Crime Against Property,False Pretenses/Swindle/Confidence Game,FRAUD (DESCRIBE OFFENSE),3947
290,2901,Crime Against Property,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY - BUSINESS,3736
90Z,9106,Crime Against Society,All Other Offenses,MENTAL ILLNESS,3644
220,2203,Crime Against Property,Burglary/Breaking and Entering,BURGLARY - FORCED ENTRY-NONRESIDENTIAL,3594
220,2204,Crime Against Property,Burglary/Breaking and Entering,BURGLARY - NO FORCED ENTRY-RESIDENTIAL,3484
," -77.0266)""",,,,3383
90Z,9109,Crime Against Society,All Other Offenses,RECOVERED PROPERTY - OTHER,3317
," -77.1473)""",,,,3253
35B,3550,Crime Against Society,Drug Equipment Violations,DRUGS - NARCOTIC EQUIP - POSSESS,3241
35A,3532,Crime Against Society,Drug/Narcotic Violations,DRUGS - COCAINE - POSSESS,2785
250,2501,Crime Against Property,Counterfeiting/Forgery,FORGERY OF CHECKS,2670
," -77.2352)""",,,,2610
11A,1103,Crime Against Person,Forcible Rape,RAPE - STRONG-ARM,2550
90Z,9099,Crime Against Society,All Other Offenses,ALL OTHER OFFENSES,2527
," -77.0755)""",,,,2486
," -77.024)""",,,,2425
90Z,5016,Crime Against Society,All Other Offenses,OBSTRUCT GOVT - VIOLATION OF A COURT ORDER,2270
90Z,5309,Crime Against Society,All Other Offenses,PUBLIC PEACE - HARASSING COMMUNICATION,2247
13A,1305,Crime Against Person,Aggravated Assault,ASSAULT - AGGRAVATED - NON-FAMILY-OTHER WEAPON,1907
," -77.0281)""",,,,1897
," -77.148)""",,,,1890
520,5212,Crime Against Society,Weapon Law Violations,WEAPON - POSSESSION,1863
90G,4199,Crime Against Society,Liquor Law Violations,LIQUOR (DESCRIBE OFFENSE),1848
26C,2604,Crime Against Property,Impersonation,FRAUD - IMPERSONATION,1845
," -77.2039)""",,,,1757
," -76.9906)""",,,,1649
90Z,2411,Crime Against Society,All Other Offenses,UNAUTHORIZED USE OF VEHICLE (INCLUDES JOY RIDING),1621
," -76.9531)""",,,,1595
," -77.2617)""",,,,1575
," -77.2004)""",,,,1564
26A,2602,Crime Against Property,False Pretenses/Swindle/Confidence Game,FRAUD - SWINDLE,1556
," -77.052)""",,,,1548
," -77.0485)""",,,,1526
," -77.0309)""",,,,1520
," -77.0267)""",,,,1472
," -77.0268)""",,,,1466
," -77.2673)""",,,,1398
35A,3522,Crime Against Society,Drug/Narcotic Violations,DRUGS - OPIUM OR DERIVATIVE - POSSESS,1391
23H,2316,Crime Against Property,All other Larceny,LARCENY - POSTAL,1390
90Z,9201,Crime Against Society,All Other Offenses,OVERDOSE,1369
," -77.2033)""",,,,1368
," -77.2037)""",,,,1339
," -76.992)""",,,,1329
," -77.0244)""",,,,1329
13A,1315,Crime Against Person,Aggravated Assault,ASSAULT - AGGRAVATED - OTHER,1297
11D,1199,Crime Against Person,Forcible Fondling,SEX ASSAULT - FONDLING,1261
," -77.0508)""",,,,1245
," -77.05)""",,,,1238
90Z,4801,Crime Against Society,All Other Offenses,OBSTRUCT POLICE - RESISTING OFFICER,1229
520,5202,Crime Against Society,Weapon Law Violations,WEAPON - CONCEALED,1200
90Z,9042,Crime Against Society,All Other Offenses,SUICIDE - ATTEMPT,1185
," -77.0297)""",,,,1162
120,1206,Crime Against Property,Robbery,ROBBERY - STREET-STRONG-ARM,1130
13A,1302,Crime Against Person,Aggravated Assault,ASSAULT - AGGRAVATED - FAMILY-OTHER WEAPON,1129
23A,2301,Crime Against Property,Pocket/picking,LARCENY - POCKET PICKING,1116
," -76.9949)""",,,,1112
," -77.1162)""",,,,1086
90Z,9112,Crime Against Society,All Other Offenses,MENTAL TRANSPORT - ONLY,1081
," -77.0826)""",,,,1071
