crimename2,row_count
,1010502
All Other Offenses,120301
Theft From Motor Vehicle,41158
Simple Assault,36906
Shoplifting,34805
Destruction/Damage/Vandalism of Property,31921
Drug/Narcotic Violations,27761
All other Larceny,22891
Driving Under the Influence,20309
Motor Vehicle Theft,17870
Theft from Building,17605
Burglary/Breaking and Entering,14363
Theft of Motor Vehicle Parts or Accessories,14336
Identity Theft,13483
False Pretenses/Swindle/Confidence Game,11016
Credit Card/Automatic Teller Machine Fraud,8240
Liquor Law Violations,8030
Disorderly Conduct,7861
Aggravated Assault,7734
Trespass of Real Property,6284
Runaway,6096
Robbery,5876
Counterfeiting/Forgery,4552
Weapon Law Violations,4140
Forcible Rape,4073
Drug Equipment Violations,3241
Forcible Fondling,3038
Impersonation,1845
"Family Offenses, NonViolent",1245
Pornography/Obscene Material,1223
Pocket/picking,1116
Embezzlement,853
Extortion/Blackmail,778
Intimidation,679
Purse-snatching,672
Arson,620
Wire Fraud,471
Stolen Property Offenses,323
Prostitution,285
Murder and Nonnegligent Manslaughter,209
Statuory Rape,158
Assisting or Promoting Prostitution,155
Animal Cruelty,153
Hacking/Computer Invasion,136
Kidnapping/Abduction,123
"Human Trafficking, Commercial Sex Acts",94
From Coin/Operated Machine or Device,87
Welfare Fraud,51
Curfew/Loitering/Vagrancy Violations,45
Incest,15
Justifiable Homicide,15
Negligent Manslaughter,4
"Human Trafficking, Involuntary Servitude",3
Bribery,2
Operating/Promoting/Assisting Gambling,1
