ofns_desc,law_cat_cd,loc_of_occur_desc,juris_desc,prem_typ_desc,pd_desc,jurisdiction_code,source_file_uri
FELONY ASSAULT,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"ASSAULT 2,1,UNCLASSIFIED",0,s3://crimenet-data/raw_files/landing/new_york/occurrence_year=2014/part-00009-tid-3037352760749105381-16e4e395-ca4d-472e-929f-dced5c897838-879-1.c000.snappy.parquet
HARRASSMENT 2,VIOLATION,INSIDE,N.Y. POLICE DEPT,COMMERCIAL BUILDING,"HARASSMENT,SUBD 3,4,5",0,s3://crimenet-data/raw_files/landing/new_york/occurrence_year=2014/part-00009-tid-3037352760749105381-16e4e395-ca4d-472e-929f-dced5c897838-879-1.c000.snappy.parquet
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,COMMERCIAL BUILDING,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",0,s3://crimenet-data/raw_files/landing/new_york/occurrence_year=2014/part-00009-tid-3037352760749105381-16e4e395-ca4d-472e-929f-dced5c897838-879-1.c000.snappy.parquet
BURGLARY,FELONY,REAR OF,N.Y. POLICE DEPT,SOCIAL CLUB/POLICY,"BURGLARY,COMMERCIAL,NIGHT",0,s3://crimenet-data/raw_files/landing/new_york/occurrence_year=2014/part-00009-tid-3037352760749105381-16e4e395-ca4d-472e-929f-dced5c897838-879-1.c000.snappy.parquet
GRAND LARCENY,FELONY,(null),N.Y. POLICE DEPT,STREET,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)",0,s3://crimenet-data/raw_files/landing/new_york/occurrence_year=2014/part-00009-tid-3037352760749105381-16e4e395-ca4d-472e-929f-dced5c897838-879-1.c000.snappy.parquet
MISCELLANEOUS PENAL LAW,VIOLATION,FRONT OF,N.Y. POLICE DEPT,PARK/PLAYGROUND,"MARIJUANA, POSSESSION",0,s3://crimenet-data/raw_files/landing/new_york/occurrence_year=2014/part-00009-tid-3037352760749105381-16e4e395-ca4d-472e-929f-dced5c897838-879-1.c000.snappy.parquet
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",0,s3://crimenet-data/raw_files/landing/new_york/occurrence_year=2014/part-00009-tid-3037352760749105381-16e4e395-ca4d-472e-929f-dced5c897838-879-1.c000.snappy.parquet
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,CHAIN STORE,"LARCENY,GRAND FROM RETAIL STORE, UNATTENDED",0,s3://crimenet-data/raw_files/landing/new_york/occurrence_year=2014/part-00009-tid-3037352760749105381-16e4e395-ca4d-472e-929f-dced5c897838-879-1.c000.snappy.parquet
OFF. AGNST PUB ORD SENSBLTY &,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,AGGRAVATED HARASSMENT 2,0,s3://crimenet-data/raw_files/landing/new_york/occurrence_year=2014/part-00009-tid-3037352760749105381-16e4e395-ca4d-472e-929f-dced5c897838-879-1.c000.snappy.parquet
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,OTHER,"LARCENY,PETIT BY CREDIT CARD U",0,s3://crimenet-data/raw_files/landing/new_york/occurrence_year=2014/part-00009-tid-3037352760749105381-16e4e395-ca4d-472e-929f-dced5c897838-879-1.c000.snappy.parquet
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,VIOLATION OF ORDER OF PROTECTI,0,s3://crimenet-data/raw_files/landing/new_york/occurrence_year=2014/part-00009-tid-3037352760749105381-16e4e395-ca4d-472e-929f-dced5c897838-879-1.c000.snappy.parquet
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,ASSAULT 3,0,s3://crimenet-data/raw_files/landing/new_york/occurrence_year=2014/part-00009-tid-3037352760749105381-16e4e395-ca4d-472e-929f-dced5c897838-879-1.c000.snappy.parquet
GRAND LARCENY OF MOTOR VEHICLE,FELONY,FRONT OF,N.Y. POLICE DEPT,STREET,"LARCENY,GRAND OF AUTO",0,s3://crimenet-data/raw_files/landing/new_york/occurrence_year=2014/part-00009-tid-3037352760749105381-16e4e395-ca4d-472e-929f-dced5c897838-879-1.c000.snappy.parquet
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,CHAIN STORE,"LARCENY,PETIT FROM BUILDING,UN",0,s3://crimenet-data/raw_files/landing/new_york/occurrence_year=2014/part-00009-tid-3037352760749105381-16e4e395-ca4d-472e-929f-dced5c897838-879-1.c000.snappy.parquet
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,(null),N.Y. POLICE DEPT,STREET,ASSAULT 3,0,s3://crimenet-data/raw_files/landing/new_york/occurrence_year=2014/part-00009-tid-3037352760749105381-16e4e395-ca4d-472e-929f-dced5c897838-879-1.c000.snappy.parquet
HARRASSMENT 2,VIOLATION,FRONT OF,N.Y. POLICE DEPT,STREET,"HARASSMENT,SUBD 1,CIVILIAN",0,s3://crimenet-data/raw_files/landing/new_york/occurrence_year=2014/part-00009-tid-3037352760749105381-16e4e395-ca4d-472e-929f-dced5c897838-879-1.c000.snappy.parquet
HARRASSMENT 2,VIOLATION,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"HARASSMENT,SUBD 1,CIVILIAN",0,s3://crimenet-data/raw_files/landing/new_york/occurrence_year=2014/part-00009-tid-3037352760749105381-16e4e395-ca4d-472e-929f-dced5c897838-879-1.c000.snappy.parquet
FELONY ASSAULT,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"ASSAULT 2,1,UNCLASSIFIED",0,s3://crimenet-data/raw_files/landing/new_york/occurrence_year=2014/part-00009-tid-3037352760749105381-16e4e395-ca4d-472e-929f-dced5c897838-879-1.c000.snappy.parquet
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNAUTHORIZED PURCHASE",0,s3://crimenet-data/raw_files/landing/new_york/occurrence_year=2014/part-00009-tid-3037352760749105381-16e4e395-ca4d-472e-929f-dced5c897838-879-1.c000.snappy.parquet
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,ASSAULT 3,0,s3://crimenet-data/raw_files/landing/new_york/occurrence_year=2014/part-00009-tid-3037352760749105381-16e4e395-ca4d-472e-929f-dced5c897838-879-1.c000.snappy.parquet
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,STREET,"MISCHIEF, CRIMINAL 4, OF MOTOR",0,s3://crimenet-data/raw_files/landing/new_york/occurrence_year=2014/part-00009-tid-3037352760749105381-16e4e395-ca4d-472e-929f-dced5c897838-879-1.c000.snappy.parquet
GRAND LARCENY OF MOTOR VEHICLE,FELONY,(null),N.Y. POLICE DEPT,STREET,"LARCENY,GRAND OF AUTO",0,s3://crimenet-data/raw_files/landing/new_york/occurrence_year=2014/part-00009-tid-3037352760749105381-16e4e395-ca4d-472e-929f-dced5c897838-879-1.c000.snappy.parquet
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,ASSAULT 3,0,s3://crimenet-data/raw_files/landing/new_york/occurrence_year=2014/part-00009-tid-3037352760749105381-16e4e395-ca4d-472e-929f-dced5c897838-879-1.c000.snappy.parquet
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,ASSAULT 3,0,s3://crimenet-data/raw_files/landing/new_york/occurrence_year=2014/part-00009-tid-3037352760749105381-16e4e395-ca4d-472e-929f-dced5c897838-879-1.c000.snappy.parquet
