column,dtype
cmplnt_num,String
cmplnt_fr_dt,String
cmplnt_fr_tm,String
cmplnt_to_dt,String
cmplnt_to_tm,String
rpt_dt,String
ky_cd,String
ofns_desc,String
pd_cd,String
pd_desc,String
crm_atpt_cptd_cd,String
law_cat_cd,String
boro_nm,String
addr_pct_cd,String
loc_of_occur_desc,String
prem_typ_desc,String
juris_desc,String
jurisdiction_code,String
parks_nm,String
hadevelopt,String
housing_psa,String
transit_district,String
patrol_boro,String
station_name,String
latitude,String
longitude,String
x_coord_cd,String
y_coord_cd,String
source_dataset_id,String
source_dataset_kind,String
downloaded_at_utc,String
source_dataset,String
rescued_data,String
source_file,String
source_row_hash,String
source_system,String
ingested_at,"Datetime(time_unit='ns', time_zone=None)"
source_city,String
source_file_uri,String
ingestion_run_id,String
ingested_at_utc,"Datetime(time_unit='us', time_zone='UTC')"
snapshot_id,String
occurrence_year,Int64
