ofns_desc,law_cat_cd,loc_of_occur_desc,juris_desc,prem_typ_desc,pd_desc,jurisdiction_code,row_count
HARRASSMENT 2,VIOLATION,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"HARASSMENT,SUBD 3,4,5",0,192410
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,CHAIN STORE,"LARCENY,PETIT FROM STORE-SHOPL",0,154445
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,ASSAULT 3,0,129946
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,DEPARTMENT STORE,"LARCENY,PETIT FROM STORE-SHOPL",0,92875
OFF. AGNST PUB ORD SENSBLTY &,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,AGGRAVATED HARASSMENT 2,0,88940
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,DRUG STORE,"LARCENY,PETIT FROM STORE-SHOPL",0,72169
HARRASSMENT 2,VIOLATION,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"HARASSMENT,SUBD 1,CIVILIAN",0,69887
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,STREET,ASSAULT 3,0,69119
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,(null),N.Y. POLICE DEPT,STREET,ASSAULT 3,0,64883
HARRASSMENT 2,VIOLATION,INSIDE,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"HARASSMENT,SUBD 3,4,5",0,62096
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,STREET,"MISCHIEF, CRIMINAL 4, OF MOTOR",0,61016
HARRASSMENT 2,VIOLATION,FRONT OF,N.Y. POLICE DEPT,STREET,"HARASSMENT,SUBD 3,4,5",0,57674
VEHICLE AND TRAFFIC LAWS,MISDEMEANOR,(null),N.Y. POLICE DEPT,STREET,LEAVING SCENE-ACCIDENT-PERSONA,0,55406
FELONY ASSAULT,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"ASSAULT 2,1,UNCLASSIFIED",0,55371
