juris_desc,row_count
N.Y. POLICE DEPT,5271573
N.Y. HOUSING POLICE,416284
N.Y. TRANSIT POLICE,174097
PORT AUTHORITY,25970
OTHER,17398
DEPT OF CORRECTIONS,10088
MTA POLICE DEPT,4532
N.Y. STATE POLICE,2366
HEALTH & HOSP CORP,2276
TRI-BORO BRDG TUNNL,2186
NYC PARKS,2023
METRO NORTH,799
AMTRACK,606
N.Y.C. DEPT OF HOMELESS SERVICES,566
NEW YORK CITY SHERIFF OFFICE,525
DISTRICT ATTORNEY OFFICE,501
N.Y. STATE PARKS,341
STATN IS RAPID TRANS,232
LONG ISLAND RAILRD,218
U.S. PARK POLICE,194
NYS DEPT TAX AND FINANCE,68
N.Y.C. DEPT OF PROBATION,58
NYC DEPT ENVIRONMENTAL PROTECTION,10
CONRAIL,6
POLICE DEPT NYC,1
