ofns_desc,row_count
PETIT LARCENY,1115267
HARRASSMENT 2,878234
ASSAULT 3 & RELATED OFFENSES,644057
CRIMINAL MISCHIEF & RELATED OF,542078
GRAND LARCENY,536436
FELONY ASSAULT,280028
OFF. AGNST PUB ORD SENSBLTY &,229689
DANGEROUS DRUGS,197351
ROBBERY,182456
MISCELLANEOUS PENAL LAW,181050
BURGLARY,163649
VEHICLE AND TRAFFIC LAWS,139669
GRAND LARCENY OF MOTOR VEHICLE,114416
DANGEROUS WEAPONS,98212
OFFENSES AGAINST PUBLIC ADMINI,94714
SEX CRIMES,84104
FORGERY,63046
INTOXICATED & IMPAIRED DRIVING,52981
THEFT-FRAUD,44925
CRIMINAL TRESPASS,39759
FRAUDS,31817
OTHER OFFENSES RELATED TO THEFT,29531
POSSESSION OF STOLEN PROPERTY,22430
OFFENSES INVOLVING FRAUD,22403
UNAUTHORIZED USE OF A VEHICLE,18722
ADMINISTRATIVE CODE,17949
RAPE,17669
OFFENSES AGAINST THE PERSON,15762
OTHER OFFENSES RELATED TO THEF,13236
ARSON,8919
OTHER STATE LAWS,7133
NYS LAWS-UNCLASSIFIED FELONY,6518
MURDER & NON-NEGL. MANSLAUGHTER,4284
BURGLAR'S TOOLS,4053
OTHER STATE LAWS (NON PENAL LA,3660
THEFT OF SERVICES,3149
(null),2828
PETIT LARCENY OF MOTOR VEHICLE,2820
GAMBLING,2750
PROSTITUTION & RELATED OFFENSES,2015
KIDNAPPING & RELATED OFFENSES,1570
OTHER STATE LAWS (NON PENAL LAW),1551
FRAUDULENT ACCOSTING,1534
OFFENSES AGAINST PUBLIC SAFETY,1204
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,1166
ALCOHOLIC BEVERAGE CONTROL LAW,1072
CANNABIS RELATED OFFENSES,1066
DISORDERLY CONDUCT,883
OFFENSES RELATED TO CHILDREN,748
JOSTLING,454
CHILD ABANDONMENT/NON SUPPORT,282
ENDAN WELFARE INCOMP,250
ESCAPE 3,236
CHILD ABANDONMENT/NON SUPPORT 1,201
"HOMICIDE-NEGLIGENT,UNCLASSIFIE",192
ANTICIPATORY OFFENSES,122
NYS LAWS-UNCLASSIFIED VIOLATION,85
"LOITERING/GAMBLING (CARDS, DIC",83
KIDNAPPING,82
NEW YORK CITY HEALTH CODE,73
UNLAWFUL POSS. WEAP. ON SCHOOL,71
INTOXICATED/IMPAIRED DRIVING,65
FELONY SEX CRIMES,48
HOMICIDE-NEGLIGENT-VEHICLE,38
DISRUPTION OF A RELIGIOUS SERV,32
LOITERING,11
OTHER TRAFFIC INFRACTION,9
FORTUNE TELLING,7
ABORTION,4
ADMINISTRATIVE CODES,3
KIDNAPPING AND RELATED OFFENSES,2
UNDER THE INFLUENCE OF DRUGS,2
OFFENSES AGAINST MARRIAGE UNCL,2
LOITERING FOR DRUG PURPOSES,1
