pd_desc,row_count
"HARASSMENT,SUBD 3,4,5",643517
ASSAULT 3,503692
"LARCENY,PETIT FROM STORE-SHOPL",448604
"HARASSMENT,SUBD 1,CIVILIAN",234718
AGGRAVATED HARASSMENT 2,214566
"ASSAULT 2,1,UNCLASSIFIED",213535
"LARCENY,PETIT FROM BUILDING,UN",160132
"CRIMINAL MISCHIEF,UNCLASSIFIED 4",147802
"MISCHIEF, CRIMINAL 4, OF MOTOR",145609
"LARCENY,PETIT FROM AUTO",129452
CRIMINAL CONTEMPT 1,108501
"MENACING,UNCLASSIFIED",104639
"CRIMINAL MISCHIEF 4TH, GRAFFIT",96458
"LARCENY,PETIT FROM OPEN AREAS,",91103
"LARCENY,GRAND OF AUTO",87495
LEAVING SCENE-ACCIDENT-PERSONA,80103
"CONTROLLED SUBSTANCE, POSSESSI",78703
"MISCHIEF,CRIMINAL,    UNCL 2ND",67576
"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",66498
"MISCHIEF, CRIMINAL 3 & 2, OF M",61403
"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",61395
"TRAFFIC,UNCLASSIFIED MISDEMEAN",58182
"LARCENY,PETIT OF LICENSE PLATE",54616
"INTOXICATED DRIVING,ALCOHOL",52535
"MARIJUANA, POSSESSION 4 & 5",51263
"LARCENY,PETIT OF VEHICLE ACCES",47420
"ROBBERY,PERSONAL ELECTRONIC DEVICE",46509
"FORGERY,ETC.,UNCLASSIFIED-FELO",45005
"FRAUD,UNCLASSIFIED-FELONY",43459
"BURGLARY,RESIDENCE,DAY",42770
STRANGULATION 1ST,41753
"THEFT OF SERVICES, UNCLASSIFIE",41662
"LARCENY,PETIT OF BICYCLE",40490
"WEAPONS, POSSESSION, ETC",40460
"LARCENY,GRAND FROM STORE-SHOPL",40214
"ROBBERY,OPEN AREA UNCLASSIFIED",39909
WEAPONS POSSESSION 3,38835
"SEXUAL ABUSE 3,2",38641
"BURGLARY,RESIDENCE,NIGHT",37448
"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",36600
OBSTR BREATH/CIRCUL,35280
"BURGLARY,COMMERCIAL,NIGHT",33743
"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",32667
VIOLATION OF ORDER OF PROTECTI,31426
"TRESPASS 2, CRIMINAL",29663
"CHILD, ENDANGERING WELFARE",27766
RECKLESS ENDANGERMENT 1,26677
"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",26153
"LARCENY,GRAND BY THEFT OF CREDIT CARD",26087
"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE",25427
"LARCENY,GRAND OF VEHICULAR/MOTORCYCLE ACCESSORIES",22858
"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",22347
"PUBLIC ADMINISTATION,UNCLASS M",22254
"FORGERY,ETC.-MISD.",22246
ASSAULT POLICE/PEACE OFFICER,21451
"LARCENY,GRAND OF BICYCLE",20716
"CONTROLLED SUBSTANCE,INTENT TO",20117
RESISTING ARREST,19974
"FRAUD,UNCLASSIFIED-MISDEMEANOR",19872
"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)",19275
UNAUTHORIZED USE VEHICLE 3,18722
"CONTEMPT,CRIMINAL",18712
CRIMINAL POSSESSION WEAPON,18106
"LARCENY,GRAND OF MOTORCYCLE",16833
"LARCENY,PETIT BY FALSE PROMISE",16651
"CONTROLLED SUBSTANCE,POSSESS.",15907
"ROBBERY,BEGIN AS SHOPLIFTING",15730
"LARCENY,GRAND FROM PERSON,PICK",15729
"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",15554
"FORGERY,M.V. REGISTRATION",14999
"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",14138
"LARCENY,GRAND BY ACQUIRING LOST CREDIT CARD",13538
"LARCENY,GRAND FROM PERSON, BAG OPEN/DIP",13441
"BURGLARY,COMMERCIAL,DAY",13372
RECKLESS ENDANGERMENT 2,12845
"LARCENY,GRAND BY EXTORTION",12430
"LARCENY,GRAND BY BANK ACCT COMPROMISE-ATM TRANSACTION",12184
"BURGLARY,RESIDENCE,UNKNOWN TIM",12150
"NY STATE LAWS,UNCLASSIFIED FEL",12123
"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK",12009
"LARCENY,GRAND FROM RETAIL STORE, UNATTENDED",11946
"ROBBERY,DWELLING",11905
"IMPERSONATION 2, PUBLIC SERVAN",11447
RAPE 1,11213
"LARCENY,GRAND FROM EATERY, UNATTENDED",10960
"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",10914
"STOLEN PROPERTY 3,POSSESSION",10309
"TRESPASS 3, CRIMINAL",10096
"STOLEN PROPERTY 2,1,POSSESSION",9645
"LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT",9615
"ROBBERY,RESIDENTIAL COMMON AREA",9579
"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",9511
"LEWDNESS,PUBLIC",9265
"LARCENY,PETIT BY ACQUIRING LOS",9045
"ROBBERY,POCKETBOOK/CARRIED BAG",8785
"ADM.CODE,UNCLASSIFIED MISDEMEA",8727
"LARCENY,GRAND FROM PERSON,UNCL",8629
"LARCENY,PETIT BY CREDIT CARD U",8546
"LARCENY, GRAND OF MOPED",8201
"TAMPERING 1,CRIMINAL",7640
"LARCENY,GRAND FROM NIGHT CLUB, UNATTENDED",7513
"ROBBERY,NECKCHAIN/JEWELRY",7454
"LARCENY,GRAND BY DISHONEST EMP",7249
"CONTROLLED SUBSTANCE,SALE 3",7126
CRIMINAL MIS 2 & 3,6938
"BRIBERY,PUBLIC ADMINISTRATION",6848
"LARCENY,GRAND BY ACQUIRING LOS",6804
UNAUTHORIZED USE VEHICLE 2,6642
N.Y.C. TRANSIT AUTH. R&R,6620
"BURGLARY,TRUCK NIGHT",6610
"CONTROLLED SUBSTANCE, SALE 5",6536
"LARCENY,GRAND FROM PERSON,LUSH WORKER(SLEEPING/UNCON VICTIM)",6523
"ROBBERY,COMMERCIAL UNCLASSIFIED",6112
SEXUAL ABUSE,6085
"BURGLARY,TRUCK DAY",5777
"LARCENY,GRAND FROM PERSON,PURS",5753
"MISCHIEF, CRIMINAL 4, BY FIRE",5615
"ARSON 2,3,4",5590
"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",5552
"ROBBERY,HOME INVASION",5467
"LARCENY,PETIT BY DISHONEST EMP",5061
"LARCENY,PETIT BY CHECK USE",5044
"ROBBERY,PUBLIC PLACE INSIDE",4534
"ROBBERY,DELIVERY PERSON",4481
PETIT LARCENY-CHECK FROM MAILB,4285
(null),4284
"TRESPASS 4,CRIMINAL SUB 2",4267
"LARCENY,GRAND FROM RESIDENCE/BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",4235
"MARIJUANA, SALE 4 & 5",4230
FALSE REPORT UNCLASSIFIED,4070
"BURGLARS TOOLS,UNCLASSIFIED",4053
"LARCENY,GRAND PERSON,NECK CHAI",3885
"BURGLARY,COMMERCIAL,UNKNOWN TI",3872
UNAUTH. SALE OF TRANS. SERVICE,3800
"CONTROLLED SUBSTANCE, INTENT T",3790
"SEXUAL MISCONDUCT,INTERCOURSE",3779
SODOMY 1,3746
AGGRAVATED HARASSMENT 1,3512
"BURGLARY,UNCLASSIFIED,NIGHT",3469
"CONTROLLED SUBSTANCE,SALE 1",3459
"ROBBERY,CAR JACKING",3440
"ROBBERY,BICYCLE",3328
RAPE 3,3315
AGGRAVATED CRIMINAL CONTEMPT,3268
"ARSON, MOTOR VEHICLE 1 2 3 & 4",3225
"PUBLIC ADMINISTRATION,UNCLASSI",3121
MAKING TERRORISTIC THREAT,3064
MATERIAL              OFFENSIV,3032
"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNAUTHORIZED PURCHASE",3026
"ROBBERY,BODEGA/CONVENIENCE STORE",2946
ASSAULT OTHER PUBLIC SERVICE EMPLOYEE,2847
"FORGERY,DRIVERS LICENSE",2833
"LARCENY,GRAND BY BANK ACCT COMPROMISE-TELLER",2740
"NY STATE LAWS,UNCLASSIFIED MIS",2522
"MARIJUANA, POSSESSION",2398
"STOLEN PROPERTY-MOTOR VEH 2ND,",2308
BAIL JUMPING 3,2289
OBSCENE MATERIAL - UNDER 17 YE,2093
"FORGERY-ILLEGAL POSSESSION,VEH",2028
"ROBBERY,CLOTHING",2001
"GAMBLING 2,PROMOTING,UNCLASSIF",1994
"RAPE 1,ATTEMPT",1955
"ROBBERY,LICENSED FOR HIRE VEHICLE",1898
"MARIJUANA, POSSESSION 1, 2 & 3",1886
"LARCENY, PETIT OF MOPED",1882
"LARCENY,GRAND FROM RESIDENCE/BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE",1868
"ROBBERY, CHAIN STORE",1804
"IMPRISONMENT 2,UNLAWFUL",1659
"BURGLARY, TRUCK UNKNOWN TIME",1626
"LARCENY,PETIT FROM TRUCK",1622
"DRUG PARAPHERNALIA,   POSSESSE",1549
"ACCOSTING,FRAUDULENT",1534
RECKLESS ENDANGERMENT OF PROPE,1529
"BURGLARY,UNCLASSIFIED,UNKNOWN",1523
"THEFT,RELATED OFFENSES,UNCLASS",1511
"ROBBERY,BANK",1490
TAX LAW,1472
"IMPERSONATION 1, POLICE OFFICE",1359
RECKLESS DRIVING,1350
"TRESPASS 1,CRIMINAL",1317
MENACING 1ST DEGREE (VICT NOT,1302
BAIL JUMPING 1 & 2,1296
"BURGLARY,UNCLASSIFIED,DAY",1289
RAPE 2,1186
UNLAWFUL DISCLOSURE OF AN INTIMATE IMAGE,1148
MENACING 1ST DEGREE (VICT PEAC,1115
"LARCENY,GRAND BY OPEN BANK ACCT",1102
"CONTROLLED SUBSTANCE,SALE 2",1101
ALCOHOLIC BEVERAGE CONTROL LAW,1072
"LARCENY, GRAND OF AUTO - ATTEM",1004
CUSTODIAL INTERFERENCE 2,1001
"ROBBERY,ATM LOCATION",984
"ROBBERY,LICENSED MEDALLION CAB",984
"PUBLIC SAFETY,UNCLASSIFIED MIS",984
"PROSTITUTION, PATRONIZING 4, 3",938
"LARCENY,GRAND OF TRUCK",883
DISORDERLY CONDUCT,883
TORTURE/INJURE ANIMAL CRUELTY,808
PETIT LARCENY OF ANIMAL,783
"NY STATE LAWS,UNCLASSIFIED VIO",766
"LARCENY,GRAND FROM TRUCK, UNATTENDED",757
"AGRICULTURE & MARKETS LAW,UNCL",709
"TAMPERING 3,2, CRIMINAL",685
"ROBBERY,UNLICENSED FOR HIRE VEHICLE",685
ABANDON ANIMAL,669
COERCION 1,669
PROSTITUTION,666
"CHILD,ALCOHOL SALE TO",664
"IMPRISONMENT 1,UNLAWFUL",662
"ROBBERY,BAR/RESTAURANT",657
"FALSE REPORT 1,FIRE",653
CRIMINAL DISPOSAL FIREARM 1,646
"MISCHIEF, CRIMINAL 3&2, BY FIR",608
SODOMY 3,601
"GAMBLING, DEVICE, POSSESSION",587
"LARCENY,PETIT OF MOTORCYCLE",566
"ROBBERY,GAS STATION",548
