prem_typ_desc,row_count
STREET,1742933
RESIDENCE - APT. HOUSE,1306103
RESIDENCE-HOUSE,555420
RESIDENCE - PUBLIC HOUSING,417221
CHAIN STORE,233743
TRANSIT - NYC SUBWAY,170559
OTHER,144852
COMMERCIAL BUILDING,140671
DEPARTMENT STORE,135752
DRUG STORE,93669
GROCERY/BODEGA,91856
RESTAURANT/DINER,66803
PARK/PLAYGROUND,59469
CLOTHING/BOUTIQUE,52931
BAR/NIGHT CLUB,52035
PUBLIC SCHOOL,43653
(null),39849
HOMELESS SHELTER,38205
FAST FOOD,32749
HOTEL/MOTEL,31288
FOOD SUPERMARKET,29635
HOSPITAL,27543
PARKING LOT/GARAGE (PUBLIC),26327
PUBLIC BUILDING,25455
PARKING LOT/GARAGE (PRIVATE),23494
BANK,22005
HIGHWAY/PARKWAY,20260
STORE UNCLASSIFIED,18539
SMALL MERCHANT,18510
GYM/FITNESS FACILITY,15942
BEAUTY & NAIL SALON,15722
GAS STATION,14916
BUS (NYC TRANSIT),14363
AIRPORT TERMINAL,14351
DOCTOR/DENTIST OFFICE,12896
DRY CLEANER/LAUNDRY,12305
CONSTRUCTION SITE,11188
MAILBOX OUTSIDE,11130
COLLEGE/UNIVERSITY,9017
TRANSIT FACILITY (OTHER),8578
CHURCH,8421
TELECOMM. STORE,8365
CANDY STORE,6967
VARIETY STORE,6531
OPEN AREAS (OPEN LOTS),6499
LIQUOR STORE,6471
CHECK CASHING BUSINESS,5737
STORAGE FACILITY,5651
PRIVATE/PAROCHIAL SCHOOL,5436
BRIDGE,5333
TAXI (LIVERY LICENSED),4977
BUS STOP,4815
FACTORY/WAREHOUSE,4504
TAXI (YELLOW LICENSED),4144
ATM,4075
BUS TERMINAL,4064
JEWELRY,3644
SHOE,3479
TUNNEL,2953
SOCIAL CLUB/POLICY,2881
BUS (OTHER),2656
ABANDONED BUILDING,2167
MARINA/PIER,2134
SYNAGOGUE,2098
MAILBOX INSIDE,2023
FERRY/FERRY TERMINAL,1842
BOOK/CARD,1624
REAL ESTATE,1621
MOBILE FOOD,1358
SMOKE SHOP,1282
MOSQUE,1065
MULTI DWELL - APT BUILD,875
DAYCARE FACILITY,785
VIDEO STORE,719
TAXI/LIVERY (UNLICENSED),674
OTHER HOUSE OF WORSHIP,656
PHOTO/COPY,622
MULTI DWELL - PUBLIC HOUS,574
CEMETERY,442
PVT HOUSE,274
LOAN COMPANY,258
TRAMWAY,194
COMMERCIAL BLDG,50
BEAUTY/NAIL SALON,14
SOCIAL CLUB/POLICY LOCATI,9
SUPERMARKET,6
PHOTO/COPY STORE,4
SHOE STORE,3
DEPT STORE,2
JEWELRY STORE,2
CHECK CASH,1
