column,dtype,null_count,null_pct,n_unique,uniqueness_ratio,avg_string_length,max_string_length,taxonomy_name_score,taxonomy_name_reasons,profile_status
row_id,String,0,0.0,999601,1.0,11.59108384245314,12,-100,excluded:row.*id,profiled
incident_datetime,String,0,0.0,478063,0.47825382327548693,23.0,23,-100,excluded:date; excluded:time,profiled
incident_date,String,0,0.0,2922,0.002923166343371005,23.0,23,-100,excluded:date,profiled
incident_time,String,0,0.0,1440,0.001440574789340947,5.0,5,-100,excluded:time,profiled
incident_year,String,0,0.0,8,8.003193274116373e-6,4.0,4,-100,excluded:year,profiled
incident_day_of_week,String,0,0.0,7,7.002794114851826e-6,7.158840377310547,9,-100,excluded:day,profiled
report_datetime,String,0,0.0,714478,0.7147631905130147,23.0,23,-100,excluded:date; excluded:time,profiled
incident_id,String,0,0.0,832221,0.8325531887223002,6.591083842453139,7,-100,excluded:incident.*(?:id|number|num|no),profiled
incident_number,String,0,0.0,716531,0.7168170099869848,8.999997999201682,9,-100,excluded:incident.*(?:id|number|num|no),profiled
cad_number,String,226769,22.685951694726196,566384,0.7328682042151464,8.999975415096683,9,0,"",profiled
report_type_code,String,0,0.0,4,4.001596637058186e-6,2.0,2,10,type:5; code:5,profiled
report_type_description,String,0,0.0,6,6.002394955587279e-6,10.819909143748356,19,27,description:8; _desc:7; descr:7; type:5,profiled
filed_online,String,801024,80.13437361507242,2,0.000010071659859903211,4.0,4,0,"",profiled
incident_code,String,0,0.0,866,0.0008663456719230973,5.0,5,5,code:5,profiled
incident_category,String,1484,0.1484592352348587,50,0.0000500943276189064,13.722487443856782,44,8,category:8,profiled
incident_subcategory,String,1484,0.1484592352348587,73,0.00007313771832360335,15.737636970415291,40,16,category:8; subcategory:8,profiled
incident_description,String,0,0.0,863,0.0008633444744453037,29.395270713014494,84,22,description:8; _desc:7; descr:7,profiled
resolution,String,0,0.0,4,4.001596637058186e-6,15.200298919268787,20,0,"",profiled
intersection,String,55501,5.552315373834159,6574,0.006963245418917487,23.39333968859231,84,-100,excluded:intersection,profiled
cnn,String,55501,5.552315373834159,6705,0.007102001906577693,8.0,8,0,"",profiled
police_district,String,0,0.0,11,0.000011004390751910012,7.708710775599465,10,-100,excluded:district,profiled
analysis_neighborhood,String,55797,5.581927188948391,42,0.00004450076498934101,13.818653025416294,30,0,"",profiled
supervisor_district,String,56127,5.614940361204121,12,0.00001271895144964249,1.1404151041788115,2,-100,excluded:district,profiled
supervisor_district_2012,String,55592,5.561419006183467,12,0.000012711743214312575,1.1459170410451596,2,-100,excluded:district,profiled
latitude,String,55501,5.552315373834159,5936,0.006287469547717403,17.211063446668785,18,-100,excluded:latitude,profiled
longitude,String,55501,5.552315373834159,5476,0.005800233026162483,18.77401546446351,19,-100,excluded:longitude,profiled
point,String,55501,5.552315373834159,6705,0.007102001906577693,59.77648024573668,60,0,"",profiled
data_as_of,String,0,0.0,390,0.00039015567211317316,23.0,23,0,"",profiled
data_loaded_at,String,0,0.0,389,0.00038915527295390863,23.0,23,0,"",profiled
computed_region_jwn9_ihcz,String,860983,86.13266693410671,117,0.0008440462277626282,2.0922968157093593,3,0,"",profiled
computed_region_jg9y_a9du,String,997592,99.79901980890375,2,0.0009955201592832255,1.0,1,0,"",profiled
computed_region_h4ep_8xdi,String,980896,98.12875337259567,2,0.00010692328254477412,1.0,1,0,"",profiled
computed_region_n4xg_c4py,String,980496,98.08873740622508,2,0.00010468463752944256,1.0,1,0,"",profiled
computed_region_nqbw_i6c3,String,966142,96.65276445301674,6,0.00017932394871335067,1.0,1,0,"",profiled
computed_region_viu7_rrfi,String,999601,100.0,1,,,,0,"",profiled
computed_region_26cr_cadq,String,860091,86.0434313291003,12,0.00008601533940219338,1.3431940362698014,2,0,"",profiled
computed_region_qgnn_b9vv,String,860316,86.06594031018376,11,0.00007897476397314858,1.071579854255663,2,0,"",profiled
source_city,String,0,0.0,1,1.0003991592645466e-6,13.0,13,-100,ingestion_metadata,profiled
source_dataset_id,String,0,0.0,1,1.0003991592645466e-6,9.0,9,0,"",profiled
source_dataset_kind,String,0,0.0,1,1.0003991592645466e-6,7.0,7,0,"",profiled
source_dataset,String,0,0.0,1,1.0003991592645466e-6,9.0,9,0,"",profiled
source_record_id,String,0,0.0,999601,1.0,11.59108384245314,12,-100,excluded:record.*(?:id|number|num|no),profiled
occurred_at_raw,String,0,0.0,478063,0.47825382327548693,23.0,23,0,"",profiled
occurred_at_end_raw,String,999601,100.0,1,,,,0,"",profiled
latitude_raw,String,55501,5.552315373834159,5936,0.006287469547717403,17.211063446668785,18,-100,excluded:latitude,profiled
longitude_raw,String,55501,5.552315373834159,5476,0.005800233026162483,18.77401546446351,19,-100,excluded:longitude,profiled
downloaded_at_utc,String,0,0.0,8,8.003193274116373e-6,32.0,32,0,"",profiled
source_url,String,0,0.0,1,1.0003991592645466e-6,46.0,46,0,"",profiled
rescued_data,String,852153,85.24931447647612,7,0.000047474363843524496,212.0,212,0,"",profiled
source_file,String,0,0.0,44,0.00004401756300764005,123.45775364370384,155,-100,excluded:source_file,profiled
source_row_hash,String,0,0.0,999601,1.0,64.0,64,0,"",profiled
source_system,String,0,0.0,1,1.0003991592645466e-6,13.0,13,0,"",profiled
ingested_at,"Datetime(time_unit='ns', time_zone=None)",0,0.0,3,3.0011974777936396e-6,,,-100,excluded:ingest,profiled
source_file_uri,String,0,0.0,8,8.003193274116373e-6,167.0,167,-100,ingestion_metadata,profiled
ingestion_run_id,String,0,0.0,1,1.0003991592645466e-6,36.0,36,-100,ingestion_metadata,profiled
ingested_at_utc,"Datetime(time_unit='us', time_zone='UTC')",0,0.0,1,1.0003991592645466e-6,,,-100,ingestion_metadata,profiled
snapshot_id,String,0,0.0,1,1.0003991592645466e-6,36.0,36,-100,ingestion_metadata,profiled
occurrence_year,Int64,0,0.0,8,8.003193274116373e-6,,,-100,ingestion_metadata,profiled
