report_type_description,incident_description,incident_subcategory,report_type_code,incident_category,incident_code,source_file_uri
Initial,"Weapon, Carrying Concealed with Felony or Narcotics Conviction",Weapons Offense,II,Weapons Offense,12010,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial Supplement,Found  Property,Non-Criminal,IS,Non-Criminal,72000,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,Domestic Violence (secondary only),Other,II,Offences Against The Family And Children,15200,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,Suspicious Occurrence,Suspicious Occ,II,Suspicious Occ,64070,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,"Theft, From Locked Vehicle, $200-$950",Larceny - From Vehicle,II,Larceny Theft,06243,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Coplogic Initial,"Theft, From Unlocked Vehicle, >$950",Larceny - From Vehicle,II,Larceny Theft,06224,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,"Driving, License Suspended or Revoked",Other,II,Other Miscellaneous,65016,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,Investigative Detention,Other,II,Other Miscellaneous,64085,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,Suspicious Occurrence,Suspicious Occ,II,Suspicious Occ,64070,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,"Parole Violation, Adult",Other,II,Other Miscellaneous,26150,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,Found  Property,Non-Criminal,II,Non-Criminal,72000,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Coplogic Initial,"Theft, Other Property, $50-$200",Larceny Theft - Other,II,Larceny Theft,06372,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,"Warrant Arrest, Local SF Warrant",Other,II,Warrant,63010,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Coplogic Initial,Lost Property,Lost Property,II,Lost Property,71000,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,Battery,Simple Assault,II,Assault,04134,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,Courtesy Report,Courtesy Report,II,Courtesy Report,68030,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,"Theft, Other Property, >$950",Larceny Theft - Other,II,Larceny Theft,06374,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,"EPO or Restraining Order Violation, DVU related",Other,II,Offences Against The Family And Children,15150,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,"Fraudulent Game or Trick, Obtaining Money or Property",Fraud,II,Fraud,09024,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,"Burglary, Vehicle (Arrest made)",Theft From Vehicle,II,Larceny Theft,05014,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,"Theft, From Locked Vehicle, >$950",Larceny - From Vehicle,II,Larceny Theft,06244,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,"Warrant Arrest, Enroute To Outside Jurisdiction",Warrant,II,Warrant,62050,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,"Death Report, Cause Unknown",Other,II,Other,61030,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Vehicle Supplement,"Vehicle, Recovered, Motorcycle",Recovered Vehicle,VS,Recovered Vehicle,07043,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Coplogic Supplement,"Theft, From Locked Vehicle, >$950",Larceny - From Vehicle,IS,Larceny Theft,06244,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Coplogic Initial,"Access Card, incl. Credit, Phone, ATM, Fraudulent Use of",Fraud,II,Fraud,09320,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,Shooting into Inhabited Dwelling or Occupied Vehicle,Aggravated Assault,II,Assault,04081,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial Supplement,"Burglary, Non-residential, Forcible Entry",Burglary - Other,IS,Burglary,05151,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,"Narcotics Paraphernalia, Possession of",Drug Violation,II,Drug Offense,16710,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Coplogic Initial,"Theft, Other Property, $50-$200",Larceny Theft - Other,II,Larceny Theft,06372,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,"Gambling Devices, Possession",Gambling,II,Gambling,66030,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,Traffic Violation Arrest,Traffic Violation Arrest,II,Traffic Violation Arrest,65010,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Vehicle Supplement,"Vehicle, Recovered, Auto",Recovered Vehicle,VS,Recovered Vehicle,07041,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,Suspicious Occurrence,Suspicious Occ,II,Suspicious Occ,64070,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,Miscellaneous Investigation,Miscellaneous Investigation,II,Miscellaneous Investigation,68020,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial Supplement,Traffic Violation Arrest,Traffic Violation Arrest,IS,Traffic Violation Arrest,65010,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Coplogic Initial,"Malicious Mischief, Vandalism to Property",Vandalism,II,Malicious Mischief,28150,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,Aided Case,Non-Criminal,II,Non-Criminal,51040,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,"Theft, Shoplifting, $50-$200",Larceny Theft - Shoplifting,II,Larceny Theft,06362,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Coplogic Initial,"Theft, From Locked Vehicle, >$950",Larceny - From Vehicle,II,Larceny Theft,06244,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial Supplement,Trespassing,Trespass,IS,Other Miscellaneous,27195,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,"Theft, From Building, $200-$950",Larceny Theft - From Building,II,Larceny Theft,06303,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,Trespassing,Trespass,II,Other Miscellaneous,27195,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,"Theft, From Locked Vehicle, >$950",Larceny - From Vehicle,II,Larceny Theft,06244,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Coplogic Supplement,"Theft, Other Property, >$950",Larceny Theft - Other,IS,Larceny Theft,06374,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial Supplement,Driving While Under The Influence Of Drugs,Liquor Law Violation,IS,Other Miscellaneous,65060,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,"Resisting, Delaying, or Obstructing  Peace Officer Duties",Other,II,Other Miscellaneous,27170,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
