column,dtype
row_id,String
incident_datetime,String
incident_date,String
incident_time,String
incident_year,String
incident_day_of_week,String
report_datetime,String
incident_id,String
incident_number,String
cad_number,String
report_type_code,String
report_type_description,String
filed_online,String
incident_code,String
incident_category,String
incident_subcategory,String
incident_description,String
resolution,String
intersection,String
cnn,String
police_district,String
analysis_neighborhood,String
supervisor_district,String
supervisor_district_2012,String
latitude,String
longitude,String
point,String
data_as_of,String
data_loaded_at,String
computed_region_jwn9_ihcz,String
computed_region_jg9y_a9du,String
computed_region_h4ep_8xdi,String
computed_region_n4xg_c4py,String
computed_region_nqbw_i6c3,String
computed_region_viu7_rrfi,String
computed_region_26cr_cadq,String
computed_region_qgnn_b9vv,String
source_city,String
source_dataset_id,String
source_dataset_kind,String
source_dataset,String
source_record_id,String
occurred_at_raw,String
occurred_at_end_raw,String
latitude_raw,String
longitude_raw,String
downloaded_at_utc,String
source_url,String
rescued_data,String
source_file,String
source_row_hash,String
source_system,String
ingested_at,"Datetime(time_unit='ns', time_zone=None)"
source_file_uri,String
ingestion_run_id,String
ingested_at_utc,"Datetime(time_unit='us', time_zone='UTC')"
snapshot_id,String
occurrence_year,Int64
