report_type_description,incident_description,incident_subcategory,report_type_code,incident_category,incident_code,row_count
Coplogic Initial,"Theft, From Locked Vehicle, >$950",Larceny - From Vehicle,II,Larceny Theft,06244,70134
Initial,Battery,Simple Assault,II,Assault,04134,30415
Initial,"Theft, From Locked Vehicle, >$950",Larceny - From Vehicle,II,Larceny Theft,06244,29086
Vehicle Initial,"Vehicle, Stolen, Auto",Motor Vehicle Theft,VI,Motor Vehicle Theft,07021,27196
Vehicle Supplement,"Vehicle, Recovered, Auto",Recovered Vehicle,VS,Recovered Vehicle,07041,27100
Coplogic Initial,"Theft, Other Property, $50-$200",Larceny Theft - Other,II,Larceny Theft,06372,27033
Coplogic Initial,"Theft, Other Property, >$950",Larceny Theft - Other,II,Larceny Theft,06374,19753
Coplogic Initial,Lost Property,Lost Property,II,Lost Property,71000,18267
Initial,"Malicious Mischief, Vandalism to Vehicle",Vandalism,II,Malicious Mischief,28160,18143
Initial,Suspicious Occurrence,Suspicious Occ,II,Suspicious Occ,64070,17810
Coplogic Initial,"Theft, From Unlocked Vehicle, >$950",Larceny - From Vehicle,II,Larceny Theft,06224,17398
Coplogic Initial,"Malicious Mischief, Vandalism to Property",Vandalism,II,Malicious Mischief,28150,17268
Initial,Investigative Detention,Other,II,Other Miscellaneous,64085,16105
Initial,Found  Property,Non-Criminal,II,Non-Criminal,72000,14876
Initial,"Malicious Mischief, Vandalism to Property",Vandalism,II,Malicious Mischief,28150,14486
Vehicle Initial,"License Plate, Stolen",Theft From Vehicle,VI,Larceny Theft,71013,13724
Initial,Miscellaneous Investigation,Miscellaneous Investigation,II,Miscellaneous Investigation,68020,11841
Initial,"Warrant Arrest, Enroute To Outside Jurisdiction",Warrant,II,Warrant,62050,11749
Initial,"Theft, From Locked Vehicle, $200-$950",Larceny - From Vehicle,II,Larceny Theft,06243,11679
Initial,Lost Property,Lost Property,II,Lost Property,71000,11508
Initial,"Warrant Arrest, Local SF Warrant",Other,II,Warrant,63010,10964
Initial,Missing Adult,Missing Adult,II,Missing Person,74000,10775
Initial,Terrorist Threats,Intimidation,II,Disorderly Conduct,19057,10064
Coplogic Supplement,"Theft, From Locked Vehicle, >$950",Larceny - From Vehicle,IS,Larceny Theft,06244,9634
Initial,Trespassing,Trespass,II,Other Miscellaneous,27195,9449
Initial,"Narcotics Paraphernalia, Possession of",Drug Violation,II,Drug Offense,16710,8665
Initial,Traffic Violation Arrest,Traffic Violation Arrest,II,Traffic Violation Arrest,65010,8473
Initial,"Malicious Mischief, Breaking Windows",Vandalism,II,Malicious Mischief,28100,7887
Initial,"Death Report, Cause Unknown",Other,II,Other,61030,7760
Initial,Aided Case,Non-Criminal,II,Non-Criminal,51040,7693
Initial,"Assault, Aggravated, W/ Other Weapon",Aggravated Assault,II,Assault,04013,7437
Initial Supplement,Found Person,Missing Person,IS,Missing Person,75000,6849
Initial,"Resisting, Delaying, or Obstructing  Peace Officer Duties",Other,II,Other Miscellaneous,27170,6404
Initial,"Theft, Shoplifting, $200-$950",Larceny Theft - Shoplifting,II,Larceny Theft,06363,6184
Initial,"Access Card, incl. Credit, Phone, ATM, Fraudulent Use of",Fraud,II,Fraud,09320,6047
Initial,False Personation to Receive Money or Property,Fraud,II,Fraud,09029,6033
Initial,"Theft, From Building, >$950",Larceny Theft - From Building,II,Larceny Theft,06304,5822
Initial,"Robbery, W/ Force",Robbery - Other,II,Robbery,03074,5193
Vehicle Initial,"Vehicle, Stolen, Truck",Motor Vehicle Theft,VI,Motor Vehicle Theft,07025,5099
Initial Supplement,"Warrant Arrest, Local SF Warrant",Other,IS,Warrant,63010,5018
Initial,"Driving, No License Issued",Other,II,Other Miscellaneous,65015,4943
Initial,"Burglary, Other Bldg., Forcible Entry",Burglary - Other,II,Burglary,05071,4913
Initial,"Assault, Aggravated, W/ Force",Aggravated Assault,II,Assault,04014,4903
Vehicle Supplement,"Vehicle, Recovered, Truck",Recovered Vehicle,VS,Recovered Vehicle,07045,4901
Initial,"Fraudulent Game or Trick, Obtaining Money or Property",Fraud,II,Fraud,09024,4874
Initial,"Theft, Shoplifting, $50-$200",Larceny Theft - Shoplifting,II,Larceny Theft,06362,4665
Initial,"Theft, From Building, $200-$950",Larceny Theft - From Building,II,Larceny Theft,06303,4638
Initial,"Burglary, Apartment House, Unlawful Entry",Burglary - Residential,II,Burglary,05013,4533
Vehicle Initial,"Vehicle, Stolen, Motorcycle",Motor Vehicle Theft,VI,Motor Vehicle Theft,07023,4421
Initial,"Theft, Shoplifting, >$950",Larceny Theft - Shoplifting,II,Larceny Theft,06364,4419
Vehicle Initial,"Vehicle, Recovered, Stolen outside SF",Motor Vehicle Theft,VI,Motor Vehicle Theft,07055,4401
Coplogic Initial,"Access Card, incl. Credit, Phone, ATM, Fraudulent Use of",Fraud,II,Fraud,09320,4319
Initial,"Theft, From Locked Vehicle, $50-$200",Larceny - From Vehicle,II,Larceny Theft,06242,4098
Vehicle Initial,"Vehicle, Stolen & Recovered",Motor Vehicle Theft,VI,Motor Vehicle Theft,07020,4061
Initial Supplement,Case Closure,Case Closure,IS,Case Closure,75030,4010
Initial,Found Person,Missing Person,II,Missing Person,75000,3998
Initial,Domestic Violence (secondary only),Other,II,Offences Against The Family And Children,15200,3977
Coplogic Supplement,"Burglary, Other Bldg., Unlawful Entry",Burglary - Other,IS,Burglary,05073,3953
Initial,"Weapon, Deadly, Imitation or Laser Scope, Exhibiting",Weapons Offense,II,Weapons Offense,12030,3951
Initial,"Driving, License Suspended or Revoked",Other,II,Other Miscellaneous,65016,3707
Vehicle Supplement,"Vehicle, Recovered, Motorcycle",Recovered Vehicle,VS,Recovered Vehicle,07043,3613
Vehicle Supplement,"License Plate, Recovered",Other Offenses,VS,Other Offenses,71012,3608
Initial,"Burglary, Non-residential, Forcible Entry",Burglary - Other,II,Burglary,05151,3513
Initial,"Burglary, Other Bldg., Unlawful Entry",Burglary - Other,II,Burglary,05073,3503
Initial,"Theft, From Person, >$950 (other than Pickpocket)",Larceny Theft - Other,II,Larceny Theft,06154,3464
Initial,Violation of Restraining Order,Other,II,Offences Against The Family And Children,15161,3440
Initial,Conspiracy,Other,II,Other Miscellaneous,26080,3397
Initial,"Theft, Shoplifting, <$50",Larceny Theft - Shoplifting,II,Larceny Theft,06361,3207
Initial,"Burglary, Apartment House, Forcible Entry",Burglary - Residential,II,Burglary,05011,3060
Initial,Courtesy Report,Courtesy Report,II,Courtesy Report,68030,2998
Initial,"Burglary, Residence, Forcible Entry",Burglary - Residential,II,Burglary,05041,2949
Initial,"Burglary, Store, Forcible Entry",Burglary - Commercial,II,Burglary,05051,2913
Initial,"Burglary, Residence, Unlawful Entry",Burglary - Residential,II,Burglary,05043,2894
Initial,"Burglary, Hot Prowl, Unlawful Entry",Burglary - Hot Prowl,II,Burglary,05083,2795
Initial,"Stolen Property, Possession with Knowledge, Receiving",Stolen Property,II,Stolen Property,11012,2791
Initial Supplement,Search Warrant Service,Non-Criminal,IS,Non-Criminal,75025,2789
Initial,"Theft, Vehicle Strip, >$950",Larceny - Auto Parts,II,Larceny Theft,06234,2757
Initial,"Methamphetamine, Possession For Sale",Drug Violation,II,Drug Offense,16652,2699
Initial,"Theft, From Locked Vehicle, <$50",Larceny - From Vehicle,II,Larceny Theft,06241,2687
